,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,"[0, 0.36121851221832024]","[165, 0.28263366471978907]","[169, 0.2810710318463953]","[183, 0.2710921016614103]","[188, 0.26946254673601605]","[197, 0.26822164574085505]","[260, 0.2681877575941291]","[272, 0.2675186869562182]","[298, 0.26435987521566223]","[298, 0.2643108714076453]","[311, 0.25468922164886115]","[323, 0.25398459435862336]","[382, 0.24090734909504088]","[382, 0.2408535737086502]","[403, 0.23106728637552765]","[403, 0.22971584635230557]","[413, 0.22947414101696478]","[455, 0.22725644104901]","[455, 0.22719943467907322]","[478, 0.21525337891351548]","[478, 0.21509886226044084]","[512, 0.21380200271768135]","[753, 0.21252618852810537]","[771, 0.21044362028948044]","[941, 0.20386906791154932]","[941, 0.20380551997272353]","[982, 0.19116237300050998]","[1014, 0.1902225733150455]","[1087, 0.18924528770275215]","[1087, 0.18900099325129582]","[1116, 0.17445861820263103]","[1124, 0.1742679341623754]","[1361, 0.15284807140923704]","[1370, 0.15263039129077097]","[1411, 0.1342030937078906]","[1834, 0.1271614884168105]","[1842, 0.12689975393368286]","[1872, 0.12621927951739936]","[1978, 0.12225566966578551]",,,,,,,,
1,"[0, 0.3379980567701145]","[272, 0.31665608471576423]","[272, 0.3148908123981324]","[302, 0.2977376660295286]","[302, 0.29585953680412214]","[333, 0.2949840021787333]","[388, 0.2866467551097282]","[388, 0.2846954688086466]","[418, 0.2837854929054836]","[521, 0.28356808990933363]","[552, 0.2826544845535997]","[601, 0.2769646626158063]","[601, 0.2739422536079725]","[601, 0.2718998088580668]","[630, 0.2709468620975089]","[728, 0.24975902126658542]","[761, 0.24872125909836476]","[892, 0.24718687050877997]","[903, 0.2437955760998374]","[917, 0.24149830366089567]","[972, 0.2404248878434248]","[1149, 0.24015745593670157]","[1149, 0.23782504365021637]","[1162, 0.23748559049501985]","[1216, 0.23727530258763702]","[1226, 0.23726681822651968]","[1300, 0.23722738132752785]","[1490, 0.231226791112537]","[1490, 0.1934901089785077]","[1490, 0.19058743404997444]","[1516, 0.16067066956264506]","[1516, 0.157163010288513]","[1542, 0.15550854583070498]","[1588, 0.13904570651384401]","[1588, 0.13497724343448642]","[1612, 0.13304718061126225]","[1690, 0.08166344893624071]","[1716, 0.07843223135672744]","[1822, 0.07266498982293576]","[1822, 0.06103796453004425]","[1832, 0.05109580079820164]","[1872, 0.04575452854792332]","[2025, 0.04377301871060781]","[2037, 0.02830591655957787]","[2066, 0.025295834001248737]","[2108, 0.016849953581865185]","[2183, 0.011071370342101209]"
2,"[0, 0.4271531580275418]","[165, 0.3172303865516265]","[179, 0.30658389396573454]","[190, 0.30591311265482324]","[210, 0.24734170670713249]","[219, 0.2217668897446524]","[219, 0.2127640361699756]","[238, 0.20452861977270925]","[238, 0.1947304239364033]","[314, 0.19464021616591332]","[320, 0.1843171056886347]","[515, 0.16783977942615472]","[538, 0.1428661714049297]","[569, 0.13897803394338362]","[857, 0.13701724372541305]","[857, 0.1232152513741041]","[903, 0.1194455239194259]","[903, 0.10176057627936283]","[938, 0.09676457221922725]","[1371, 0.08543219452003645]","[1408, 0.07941553634252793]",,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.6412265653962957]","[165, 0.4207988380622304]","[227, 0.42042051015748644]","[494, 0.39778881542913597]","[501, 0.38485090852884174]","[513, 0.3539126561692208]","[513, 0.337127269048434]","[525, 0.3044731532588876]","[525, 0.28478856787924645]","[764, 0.277769288578387]","[781, 0.27719581693074163]","[798, 0.27701019401440896]","[844, 0.26656468949896794]","[869, 0.2659670598668925]","[894, 0.2657735946218857]","[935, 0.25609503776635106]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.23317269839185087]","[269, 0.20773190211387563]","[269, 0.20453214752259813]","[450, 0.2044692423971994]","[481, 0.20411504235269248]","[518, 0.20406415663278035]","[582, 0.20337203436395054]","[597, 0.20322833557496428]","[679, 0.20290106859362128]","[741, 0.20239822102999155]","[1932, 0.19235184942252118]","[1958, 0.17277037891219402]","[1968, 0.15999876549564643]","[1993, 0.15780009984341883]","[2014, 0.1561648277013998]","[2060, 0.15443684590052267]","[2070, 0.14000264462634104]","[2095, 0.13748457023546912]","[2116, 0.13560453146280388]","[2203, 0.07168562724438514]","[2343, 0.042781052278327014]","[2357, 0.03917491262513039]","[2369, 0.03728207622093168]","[2392, 0.03700246903856304]","[2443, 0.03297251967978466]","[2452, 0.03207427432183306]","[2516, 0.029930692092487776]","[2566, 0.029497823241326496]",,,,,,,,,,,,,,,,,,,
