,0,1
0,"[0, 0.36121851221832024]","[3519, 0.12225566966578551]"
1,"[0, 0.3379980567701145]","[2149, 0.011071370342101209]"
2,"[0, 0.4271531580275418]","[2994, 0.07941553634252793]"
3,"[0, 0.6412265653962957]","[6984, 0.25609503776635106]"
4,"[0, 0.23317269839185087]","[2563, 0.029497823241326496]"
