explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,rects_searched_0,rects_searched_1,idx_dim_0,idx_dim_1
OCEAN,20,20,6,0.8,0.8,0.9230769230769231,0.8571428571428571,25.3,13.15,5.0,0.6496188596756906,0.8256464646464647,1.0,0.053082485700517115,2.85,0.0,13.294999837875366,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.8,0.8,0.9230769230769231,0.8571428571428571,25.3,13.15,5.0,0.6496188596756906,0.8256464646464647,1.0,0.06963709041489505,2.85,76.34199666976929,0.9300000667572021,-1,-1,-1,-1,-1,33920,13340,6,6
OCEAN,20,20,6,0.85,0.7692307692307693,1.0,0.8695652173913044,24.26,12.63,5.0,0.3513866881106531,0.7839090909090908,1.0,0.068073387551623,2.7,0.0,14.293001651763916,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.85,0.7692307692307693,1.0,0.8695652173913044,24.26,12.63,5.0,0.3513866881106531,0.7839090909090908,1.0,0.0847975576235977,2.95,75.96699571609497,0.7769994735717773,-1,-1,-1,-1,-1,14479,25090,6,6
OCEAN,20,20,6,1.0,1.0,1.0,1.0,27.3,14.15,5.0,0.14153421798379534,0.8673468013468014,1.0,0.105269632156114,2.95,0.0,18.341999769210815,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,1.0,1.0,1.0,1.0,27.3,14.15,5.0,0.14153421798379534,0.8673468013468014,1.0,0.12322254975635902,3.35,73.92799758911133,1.441999912261963,-1,-1,-1,-1,-1,59953,14209,6,6
OCEAN,20,20,6,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,27.58,14.29,5.0,0.6335225345631427,0.8135084175084175,1.0,0.06757693622480762,3.4,0.0,18.59399914741516,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,27.58,14.29,5.0,0.6335225345631427,0.8135084175084175,1.0,0.08916228279076677,3.7,73.97999858856201,1.101999044418335,-1,-1,-1,-1,-1,27598,28863,6,6
OCEAN,20,20,6,0.75,0.8888888888888888,0.6666666666666666,0.761904761904762,26.6,13.8,5.0,0.5442895686008823,0.824060606060606,1.0,0.0488966457365763,3.05,0.0,12.971001148223877,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.75,0.8888888888888888,0.6666666666666666,0.761904761904762,26.6,13.8,5.0,0.5442895686008823,0.824060606060606,1.0,0.06815296678485817,3.6,74.80099773406982,1.0130000114440918,-1,-1,-1,-1,-1,25293,26185,6,6
