explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,9,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333333,11.4,6.2,3.0,0.46764900040716,0.4298872180451128,1.0,0.07108236643032462,2.45,0.0,0.7829980850219727,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,0.7692307692307693,0.9090909090909091,0.8333333333333333,11.4,6.2,3.0,0.46764900040716,0.4298872180451128,1.0,0.1470185527622829,3.45,0.011999368667602539,0.026000022888183594,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.85,0.7857142857142857,1.0,0.88,11.9,6.45,3.0,0.2164358322457277,0.41414160401002503,1.0,0.0531365013684428,2.65,0.0,0.8679921627044678,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.85,0.7857142857142857,1.0,0.88,11.9,6.45,3.0,0.2164358322457277,0.41414160401002503,1.0,0.13222192362797924,3.45,0.011998653411865234,0.023999929428100586,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.75,0.75,0.6666666666666666,0.7058823529411765,12.2,6.6,3.0,0.29178955933828177,0.38530075187969925,1.0,0.05030382290847779,2.5,0.0,0.841998815536499,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.75,0.75,0.6666666666666666,0.7058823529411765,12.2,6.6,3.0,0.29178955933828177,0.38530075187969925,1.0,0.12490497879667055,3.55,0.010998725891113281,0.026999473571777344,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.7,0.5555555555555556,0.7142857142857143,0.6250000000000001,12.5,6.75,3.0,0.32738758273809204,0.4169736842105263,1.0,0.048973770305019794,2.1,0.0,0.8930001258850098,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.7,0.5555555555555556,0.7142857142857143,0.6250000000000001,12.5,6.75,3.0,0.32738758273809204,0.4169736842105263,1.0,0.1248485077070213,3.45,0.011998414993286133,0.02700018882751465,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.85,0.8,0.8888888888888888,0.8421052631578948,11.2,6.1,3.0,0.4597594333232724,0.35536967418546367,1.0,0.05153671176086862,2.35,0.0,0.7880001068115234,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.85,0.8,0.8888888888888888,0.8421052631578948,11.2,6.1,3.0,0.4597594333232724,0.35536967418546367,1.0,0.13902390845589765,2.85,0.010999441146850586,0.026999473571777344,-1,-1,-1,-1,-1
