,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
146,48.0,1.0,1.0,1.0,1.0,0.0,
147,49.0,1.0,1.0,1.0,1.0,0.0,
148,50.0,1.0,1.0,1.0,1.0,0.0,
149,51.0,1.0,1.0,1.0,1.0,0.0,
150,52.0,1.0,1.0,1.0,1.0,0.0,
151,53.0,1.0,1.0,1.0,1.0,0.0,
152,54.0,1.0,1.0,1.0,1.0,0.0,
153,55.0,1.0,1.0,1.0,1.0,0.0,
154,56.0,1.0,1.0,1.0,1.0,0.0,
155,57.0,1.0,1.0,1.0,1.0,0.0,
156,58.0,1.0,1.0,1.0,1.0,0.0,
157,59.0,1.0,1.0,1.0,1.0,0.0,
158,60.0,1.0,1.0,1.0,1.0,0.0,
159,61.0,1.0,1.0,1.0,1.0,0.0,
160,62.0,1.0,1.0,1.0,1.0,0.0,
161,63.0,1.0,1.0,1.0,1.0,0.0,
162,64.0,1.0,1.0,1.0,1.0,0.0,
163,65.0,1.0,1.0,1.0,1.0,0.0,
164,66.0,1.0,1.0,1.0,1.0,0.0,
165,67.0,1.0,1.0,1.0,1.0,0.0,
166,68.0,1.0,1.0,1.0,1.0,0.0,
167,69.0,1.0,1.0,1.0,1.0,0.0,
168,70.0,1.0,1.0,1.0,1.0,0.0,
169,71.0,1.0,1.0,1.0,1.0,0.0,
170,72.0,1.0,1.0,1.0,1.0,0.0,
171,73.0,1.0,1.0,1.0,1.0,0.0,
172,74.0,1.0,1.0,1.0,1.0,0.0,
173,75.0,1.0,1.0,1.0,1.0,0.0,
174,76.0,1.0,1.0,1.0,1.0,0.0,
175,77.0,1.0,1.0,1.0,1.0,0.0,
176,78.0,1.0,1.0,1.0,1.0,0.0,
177,79.0,1.0,1.0,1.0,1.0,0.0,
178,80.0,1.0,1.0,1.0,1.0,0.0,
179,81.0,1.0,1.0,1.0,1.0,0.0,
180,82.0,1.0,1.0,1.0,1.0,0.0,
181,83.0,1.0,1.0,1.0,1.0,0.0,
182,84.0,1.0,1.0,1.0,1.0,0.0,
183,85.0,1.0,1.0,1.0,1.0,0.0,
184,86.0,1.0,1.0,1.0,1.0,0.0,
185,87.0,1.0,1.0,1.0,1.0,0.0,
186,88.0,1.0,1.0,1.0,1.0,0.0,
187,89.0,1.0,1.0,1.0,1.0,0.0,
188,90.0,1.0,1.0,1.0,1.0,0.0,
189,91.0,1.0,1.0,1.0,1.0,0.0,
190,92.0,1.0,1.0,1.0,1.0,0.0,
191,93.0,1.0,1.0,1.0,1.0,0.0,
192,94.0,1.0,1.0,1.0,1.0,0.0,
193,95.0,1.0,1.0,1.0,1.0,0.0,
194,96.0,1.0,1.0,1.0,1.0,0.0,
195,97.0,1.0,1.0,1.0,1.0,0.0,
196,98.0,1.0,1.0,1.0,1.0,0.0,
197,99.0,1.0,1.0,1.0,1.0,0.0,
198,1.0,0.9804241435562806,0.9801652892561984,1.0,0.9899833055091819,1.0,0.054739199279860346
199,2.0,0.9853181076672104,0.9949152542372881,0.9898819561551433,0.9923922231614539,1.0,0.024261293239935266
200,3.0,0.9967373572593801,0.9966386554621849,1.0,0.9983164983164983,1.0,0.1786984512605976
201,4.0,1.0,1.0,1.0,1.0,1.0,0.12103139397627712
202,5.0,0.99836867862969,0.9983164983164983,1.0,0.9991575400168492,1.0,0.14817633451953421
203,6.0,0.99836867862969,1.0,0.9983136593591906,0.99915611814346,1.0,0.14615405401522533
204,7.0,1.0,1.0,1.0,1.0,1.0,0.1624191569374989
205,8.0,1.0,1.0,1.0,1.0,1.0,0.2842280891123305
206,9.0,1.0,1.0,1.0,1.0,1.0,0.18119448172043348
207,10.0,1.0,1.0,1.0,1.0,1.0,0.22775185458576735
208,11.0,1.0,1.0,1.0,1.0,1.0,0.35365740353754355
209,12.0,1.0,1.0,1.0,1.0,0.9755301794453507,0.36495446012831695
210,13.0,1.0,1.0,1.0,1.0,0.24632952691680265,0.33113802951887933
