n_samples,n_samples_explained,n_features,n_trees,max_depth,avg_nnodes,avg_nleaves,avg_depth,accuracy,precision,recall,f1,ext_min,ext_avg,ext_max,lb_min,lb_avg,lb_max,bt_min,bt_avg,bt_maxinit_time,runtime,order,coverage_ratio,mean_dist,mean_length,dataset,bt_max,init_time
19019,5,10,15,3,15.0,8.0,3.0,0.7568349106203995,0.7316926770708283,0.987444309437019,0.8405447336666092,6303,14786.6,37109,6366,14940.6,37397,6366,14940.6,,3.0910134315490723,PriorityQueue,1.0,0.10752727337616563,2.2,magic,37397.0,0.281008243560791
19019,5,10,15,3,15.0,8.0,3.0,0.7568349106203995,0.7316926770708283,0.987444309437019,0.8405447336666092,2081,3496.0,5713,22848,42374.8,74820,14548,31148.8,,7.891788721084595,Stack,1.0,0.10754454634399573,2.2,magic,52637.0,0.281008243560791
