n_samples,n_samples_explained,n_features,n_trees,max_depth,avg_nnodes,avg_nleaves,avg_depth,accuracy,precision,recall,f1,ext_min,ext_avg,ext_max,lb_min,lb_avg,lb_max,bt_min,bt_avg,bt_maxinit_time,runtime,order,coverage_ratio,mean_dist,mean_length,dataset,bt_max,init_time
4600,5,57,15,3,14.733333333333333,7.866666666666666,3.0,0.9108695652173913,0.926605504587156,0.8393351800554016,0.8808139534883721,9813,22507.0,41700,11176,24652.4,46193,11176,24652.4,,8.132020473480225,PriorityQueue,1.0,0.0076538342823016916,3.2,spambase,46193.0,0.20201826095581055
4600,5,57,15,3,14.733333333333333,7.866666666666666,3.0,0.9108695652173913,0.926605504587156,0.8393351800554016,0.8808139534883721,2450,3937.0,6918,23264,53658.0,105107,12634,33186.8,,16.939087390899658,Stack,1.0,0.0076538342823016916,3.2,spambase,63204.0,0.20201826095581055
