,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,1.0,0.9655629139072848,0.9655629139072848,1.0,0.9824797843665768,0.0,
1,2.0,0.9655629139072848,0.9655629139072848,1.0,0.9824797843665768,0.0,
2,3.0,0.9854304635761589,0.9851351351351352,1.0,0.9925119128658952,1.0,0.07642584338309061
3,4.0,0.990728476821192,0.9931693989071039,0.9972565157750343,0.9952087611225188,1.0,0.11722549998514722
4,5.0,0.990728476821192,0.9918256130790191,0.9986282578875172,0.9952153110047847,1.0,0.11231038638772016
5,6.0,0.9933774834437086,0.9931880108991825,1.0,0.9965823650034177,1.0,0.1390388741670334
6,7.0,0.9947019867549669,0.9945429740791268,1.0,0.9972640218878249,0.9920529801324504,0.16940577964425407
7,8.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.10763896655101361
8,9.0,0.9947019867549669,0.9945429740791268,1.0,0.9972640218878249,1.0,0.11619333831552348
9,10.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.0899950400532351
10,11.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.13293979430904546
11,12.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.09706914624486633
12,13.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.13275753100360854
13,14.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.1261487963716236
14,15.0,0.9947019867549669,0.9945429740791268,1.0,0.9972640218878249,1.0,0.15251841634835916
15,16.0,0.9920529801324504,0.9918367346938776,1.0,0.9959016393442623,1.0,0.11378333680239651
16,17.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.11575043043939473
17,18.0,0.9986754966887417,0.9986301369863013,1.0,0.9993145990404386,1.0,0.09316844846910405
18,19.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.0892620977283278
19,20.0,0.9880794701986755,0.9878048780487805,1.0,0.9938650306748467,1.0,0.12540986591370484
20,21.0,0.9947019867549669,0.9945429740791268,1.0,0.9972640218878249,1.0,0.14969880831780846
21,22.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.08750850119233872
22,23.0,0.9986754966887417,0.9986301369863013,1.0,0.9993145990404386,1.0,0.10489648451859476
23,24.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.11562283104503181
24,25.0,0.9986754966887417,0.9986301369863013,1.0,0.9993145990404386,1.0,0.09073621134965248
25,26.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.1010423088636464
26,27.0,0.9986754966887417,0.9986301369863013,1.0,0.9993145990404386,1.0,0.09787763263526006
27,28.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.10050150524616629
28,29.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,0.9973509933774835,0.10919209518504286
29,30.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.0893207378980759
30,31.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.10485125816886547
31,32.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.0957190440468459
32,33.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.10030220588026993
33,34.0,0.9986754966887417,0.9986301369863013,1.0,0.9993145990404386,1.0,0.11166628242819085
34,35.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.09574519920012739
35,36.0,0.9947019867549669,0.9945429740791268,1.0,0.9972640218878249,1.0,0.11124171407496795
36,37.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.12565413483496776
37,38.0,0.9973509933774835,0.9972640218878249,1.0,0.9986301369863014,1.0,0.09066727939620133
38,39.0,0.9960264900662251,0.9959016393442623,1.0,0.997946611909651,1.0,0.09569351145068673
39,40.0,0.9933774834437086,0.9931880108991825,1.0,0.9965823650034177,0.9814569536423841,0.1276243945015552
