,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,1.0,0.8910081743869209,0.8910081743869209,1.0,0.9423631123919308,0.0,
1,2.0,0.8910081743869209,0.8910081743869209,1.0,0.9423631123919308,0.0,
2,3.0,0.9209809264305178,0.935672514619883,0.9785932721712538,0.9566517189835576,1.0,0.07673335076312957
3,4.0,0.8910081743869209,0.8910081743869209,1.0,0.9423631123919308,0.0,
4,5.0,0.9400544959128065,0.9472140762463344,0.9877675840978594,0.9670658682634732,1.0,0.17532185408673162
5,6.0,0.9237057220708447,0.9462686567164179,0.9694189602446484,0.957703927492447,1.0,0.1539629527771213
6,7.0,0.9618528610354223,0.972809667673716,0.9847094801223242,0.9787234042553191,1.0,0.24399461284794033
7,8.0,0.9809264305177112,0.99079754601227,0.9877675840978594,0.9892802450229708,1.0,0.2317869536139527
8,9.0,0.9945504087193461,0.993920972644377,1.0,0.9969512195121951,1.0,0.30461738401539373
9,10.0,0.9809264305177112,0.99079754601227,0.9877675840978594,0.9892802450229708,1.0,0.2512720073094361
10,11.0,0.9863760217983651,0.9908536585365854,0.9938837920489296,0.9923664122137403,1.0,0.3126516785637013
11,12.0,0.989100817438692,0.9938837920489296,0.9938837920489296,0.9938837920489296,1.0,0.26235160650492784
12,13.0,0.9918256130790191,0.9939024390243902,0.9969418960244648,0.9954198473282444,1.0,0.3909841272930458
13,14.0,0.9945504087193461,0.993920972644377,1.0,0.9969512195121951,1.0,0.3447963775446896
14,15.0,0.989100817438692,0.9938837920489296,0.9938837920489296,0.9938837920489296,0.9863760217983651,0.4055803004440138
15,16.0,0.9945504087193461,0.9969418960244648,0.9969418960244648,0.9969418960244648,1.0,0.304988736777703
16,17.0,0.989100817438692,0.9908814589665653,0.9969418960244648,0.9939024390243902,1.0,0.2793371845742098
17,18.0,0.997275204359673,0.9969512195121951,1.0,0.998473282442748,1.0,0.26342960035401236
18,19.0,0.9918256130790191,0.9939024390243902,0.9969418960244648,0.9954198473282444,1.0,0.26366146679150076
19,20.0,0.9945504087193461,0.9969418960244648,0.9969418960244648,0.9969418960244648,0.9945504087193461,0.28080224509935775
20,21.0,0.9863760217983651,0.9908536585365854,0.9938837920489296,0.9923664122137403,1.0,0.47467311370575915
21,22.0,0.9918256130790191,0.9939024390243902,0.9969418960244648,0.9954198473282444,0.9509536784741144,0.4130931884443594
22,23.0,0.989100817438692,0.9908814589665653,0.9969418960244648,0.9939024390243902,1.0,0.3771039148709721
23,24.0,0.9918256130790191,0.9969325153374233,0.9938837920489296,0.9954058192955589,1.0,0.322922158728876
24,25.0,0.9918256130790191,0.9939024390243902,0.9969418960244648,0.9954198473282444,0.8746594005449592,0.41627529565005156
25,26.0,0.9809264305177112,0.9878048780487805,0.9908256880733946,0.9893129770992366,0.997275204359673,0.2680897533358842
26,27.0,0.989100817438692,0.9879154078549849,1.0,0.9939209726443768,0.9754768392370572,0.323197694112884
27,28.0,0.997275204359673,0.9969512195121951,1.0,0.998473282442748,0.997275204359673,0.29838812927022756
28,29.0,0.9836512261580381,0.9848942598187311,0.9969418960244648,0.9908814589665653,0.8474114441416893,0.36122449259813477
