,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,0.01,0.9973509933774835,0.9973009446693657,1.0,0.9986486486486487,1.0,0.10992141436716467
1,0.1,0.9986754966887417,1.0,0.9986468200270636,0.9993229519295871,1.0,0.09893495972870178
2,0.2,0.9973509933774835,0.9973009446693657,1.0,0.9986486486486487,1.0,0.10400886578523873
3,0.3,0.9986754966887417,1.0,0.9986468200270636,0.9993229519295871,1.0,0.10932336588073938
4,0.4,0.9986754966887417,0.9986486486486487,1.0,0.9993238674780256,1.0,0.12157811895368681
5,0.5,0.9973509933774835,0.9973009446693657,1.0,0.9986486486486487,1.0,0.1308354812171201
6,0.6,1.0,1.0,1.0,1.0,1.0,0.14523440607709603
7,0.7,0.9973509933774835,0.9986468200270636,0.9986468200270636,0.9986468200270636,1.0,0.1508978476228509
8,0.8,0.9986754966887417,0.9986486486486487,1.0,0.9993238674780256,1.0,0.14568995700701587
9,0.9,0.9986754966887417,1.0,0.9986468200270636,0.9993229519295871,1.0,0.1299873386483174
10,1.0,1.0,1.0,1.0,1.0,1.0,0.10563137992012954
