,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,0.01,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.03947368421052633,0.1783860921948419
1,0.1,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.02631578947368418,0.2200171930020602
2,0.2,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,0.0,
3,0.3,0.9473684210526315,0.9859154929577465,0.958904109589041,0.9722222222222222,0.10526315789473684,0.28337195032227835
4,0.4,0.9736842105263158,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.4605263157894737,0.6730399322968972
5,0.5,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.25,0.3717980673451358
6,0.6,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.09210526315789469,0.4121666502537753
7,0.7,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.13157894736842102,0.43378584672523274
8,0.8,0.9736842105263158,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.09210526315789469,0.314865397437019
9,0.9,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.052631578947368474,0.6369897349364247
10,1.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,0.0,
