,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,0.01,0.989100817438692,0.9970326409495549,0.9911504424778761,0.9940828402366864,1.0,0.3970859421847869
1,0.1,0.997275204359673,0.9970588235294118,1.0,0.9985272459499264,0.989100817438692,0.42159074033775873
2,0.2,0.9918256130790191,0.9912280701754386,1.0,0.9955947136563876,1.0,0.35389479007983066
3,0.3,0.9918256130790191,0.9941176470588236,0.9970501474926253,0.995581737849779,0.9945504087193461,0.3981971777551736
4,0.4,0.9945504087193461,0.9941348973607038,1.0,0.9970588235294118,1.0,0.3295940962177037
5,0.5,0.989100817438692,0.9970326409495549,0.9911504424778761,0.9940828402366864,1.0,0.38743793435667073
6,0.6,0.9945504087193461,0.9970501474926253,0.9970501474926253,0.9970501474926253,1.0,0.3789488486827175
7,0.7,0.9836512261580381,0.9970149253731343,0.9852507374631269,0.9910979228486647,1.0,0.4386105133195007
8,0.8,0.9809264305177112,0.9940476190476191,0.9852507374631269,0.9896296296296296,1.0,0.4693190891309968
9,0.9,0.9836512261580381,0.9940652818991098,0.9882005899705014,0.9911242603550297,1.0,0.4341526971135395
10,1.0,0.9809264305177112,0.9970059880239521,0.9823008849557522,0.9895988112927191,1.0,0.5272654113479908
