,0,1,2,3,4,5,6,7,8,9,10,11
0,"[0, 0.5668122156004544]","[436, 0.4121267293302363]","[456, 0.4105635188686202]","[519, 0.38418557909690015]","[604, 0.38225635147730136]","[1239, 0.38122959814811475]","[1522, 0.3760699397039789]","[3781, 0.36366036877538604]","[9656, 0.3452965834865489]","[1224395, 0.33993251936704405]","[1560598, 0.33301335480800787]",
1,"[0, 0.7729717466952959]","[336, 0.30039209582136533]","[1688, 0.2934469014737208]","[66587, 0.28335080998721834]",,,,,,,,
2,"[0, 0.8610899583803996]","[427, 0.35249344994896387]","[1605, 0.351942287769178]","[1654, 0.3482558742969818]","[1790, 0.3346841300481757]","[1896, 0.3304410399091533]",,,,,,
3,"[0, 0.11155645009628054]","[480, 0.001563917492450273]",,,,,,,,,,
4,"[0, 0.641445087668204]","[353, 0.27405448414957984]","[384, 0.2697280414356298]","[424, 0.264250376664224]","[489, 0.2473129307607629]","[21292, 0.24603303231732618]","[22158, 0.2458984557033266]","[30116, 0.2449674188910662]","[30328, 0.2431314072626986]","[31413, 0.23947239415186602]","[43560, 0.23836817374829603]","[44407, 0.22510634736612975]"
