,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,"[0, 0.5668122156004544]","[461, 0.5577167435879058]","[2314, 0.552931603281956]","[2634, 0.5331089217323369]","[2634, 0.5292570840528165]","[2647, 0.5232957093162423]","[2647, 0.4988237262214803]","[22588, 0.4923017778848007]","[22945, 0.4842407450628608]","[36146, 0.47478592206778564]","[36146, 0.4549408449688243]","[45561, 0.45204992307991887]","[45598, 0.4365869890862171]","[45636, 0.42745742394427855]","[283870, 0.41502858656657293]","[283883, 0.415014170540661]","[283896, 0.4148227882779863]","[283941, 0.41446339604428545]","[285373, 0.4048140582342219]","[286066, 0.39638755898303746]","[286079, 0.3812358286230848]","[346176, 0.37937384061183876]","[454340, 0.3784439257703331]","[454357, 0.36594673141662476]","[454781, 0.3659075819329451]","[531222, 0.3636473727894082]","[666968, 0.3562902383398542]","[1077898, 0.3533296342503806]","[1103121, 0.35024256197495873]","[1149091, 0.3452035060150299]","[1293276, 0.34504856089678126]","[1389318, 0.33993251936704405]","[1847587, 0.33301335480800787]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.7729717466952959]","[414, 0.6924717062378579]","[414, 0.6876967429868521]","[414, 0.6876708948594571]","[431, 0.6658386935511172]","[431, 0.6608713280243085]","[431, 0.6608444306542162]","[465, 0.659625470423418]","[465, 0.6595985222492523]","[499, 0.6584108382764342]","[499, 0.6533870050243051]","[499, 0.6533597995413502]","[515, 0.6303403317651229]","[515, 0.6250909375639033]","[515, 0.6250625005122302]","[582, 0.619925678713526]","[582, 0.6145873359443557]","[582, 0.6145584128667204]","[602, 0.6010988335572801]","[602, 0.595591767974237]","[602, 0.595561922389905]","[642, 0.5942090567345635]","[642, 0.5941791416967291]","[681, 0.5816318553417897]","[681, 0.5759386786135197]","[681, 0.5759078145373346]","[700, 0.5615225513938238]","[700, 0.5556233635283744]","[700, 0.555591370901912]","[760, 0.5496865176772476]","[760, 0.5496541794967278]","[774, 0.5484075669347863]","[774, 0.5436262166350843]","[790, 0.5435935179295809]","[863, 0.5406608473168729]","[876, 0.5406496437491781]","[888, 0.5357990679608884]","[970, 0.5353062931281606]","[1005, 0.5346021129978094]","[1041, 0.532656727678696]","[1041, 0.5304381889058987]","[1041, 0.5303954344345074]","[1167, 0.5173665938389778]","[1167, 0.5122956142328267]","[1180, 0.5073630220631579]","[1246, 0.5066413642838515]","[1272, 0.5040434351032462]","[1272, 0.5016983826753616]","[1272, 0.5016531787981351]","[1432, 0.5014950815218031]","[3102, 0.5007582832911446]","[3102, 0.5007129945426765]","[3998, 0.5005546003146716]","[8670, 0.49797227135825634]","[8683, 0.49289636115168495]","[8734, 0.488713627484661]","[8764, 0.4860198783552932]","[8764, 0.48358743249270575]","[8764, 0.48354053551288473]","[8817, 0.48308401822106595]","[8976, 0.48283024005464814]","[8976, 0.4827832695220799]","[9024, 0.4801034817396216]","[9024, 0.4800562444107016]","[9038, 0.4775934259452285]","[15281, 0.4763793852871749]","[21456, 0.47254737378507994]","[21471, 0.47119635988606956]","[21501, 0.4695567027369816]","[21501, 0.46703852067427937]","[21650, 0.4642190132479467]","[22100, 0.4628293448988418]","[22204, 0.45977546597610125]","[39757, 0.4591320113249971]","[41308, 0.45810456767964874]","[44995, 0.4567153465002994]","[45851, 0.452486142021992]","[45875, 0.4493619758457499]","[45875, 0.4467299721804992]","[45875, 0.4466792055419523]","[45939, 0.444985626781212]","[45939, 0.44232758307645853]","[45939, 0.442276311110443]","[45980, 0.4391311505283033]","[45980, 0.43907950531027]","[45991, 0.43638548863579857]","[46413, 0.43543115394143633]","[61229, 0.4350695466014736]","[143803, 0.42785848882587785]","[157986, 0.4209312233719659]","[158048, 0.41576004824660096]","[187939, 0.4094511932412895]","[188140, 0.4089063013089023]","[188215, 0.40552117975912017]","[188225, 0.4008549442429036]","[188302, 0.39726769681169033]","[190170, 0.3944777870846402]","[190257, 0.38494993048517584]","[190263, 0.3783607918051407]","[190612, 0.3678629366273802]","[198191, 0.36559529729597856]","[198547, 0.3547198511130182]","[203378, 0.3517274394945542]","[203378, 0.35072682899896684]","[204410, 0.3506856534558225]","[204410, 0.34968206191626766]","[204473, 0.34343975794105225]","[211214, 0.3425530531149483]","[211433, 0.3337921499685024]","[211485, 0.32724688277994535]","[232583, 0.31580433594621604]","[238257, 0.30039209582136533]","[243668, 0.29665933156025664]","[245125, 0.28335080998721834]"
2,"[0, 0.8610899583803996]","[463, 0.7343330298169612]","[477, 0.7240953083601693]","[488, 0.7234590320226184]","[611, 0.6589601883196069]","[625, 0.6475318885578242]","[636, 0.6468203012623812]","[884, 0.6407863443975174]","[912, 0.6359938378181791]","[1562, 0.6333217427771227]","[1586, 0.6284723163756812]","[1834, 0.6259659193221526]","[1936, 0.624674109656103]","[2064, 0.622274576211316]","[3491, 0.6215199473208288]","[3540, 0.6191081891253042]","[4455, 0.6152521764821675]","[7543, 0.5993510240429164]","[7543, 0.5989707147931205]","[7543, 0.5713637119163154]","[7567, 0.5659836692618904]","[7917, 0.5582536218764945]","[9276, 0.5496693524712309]","[34494, 0.5486442246974916]","[37410, 0.5468756368387643]","[37505, 0.5442892393920188]","[117314, 0.5149327826700336]","[117328, 0.5002247370706038]","[117339, 0.49039956906173765]","[117486, 0.47602877744257915]","[117967, 0.46593206335408466]","[118256, 0.4607960269852871]","[118305, 0.4575378491554039]","[119187, 0.45651098576974686]","[119225, 0.4532220041577789]","[119849, 0.4479402592721762]","[122120, 0.4360606504826878]","[122120, 0.43553778028762785]","[122120, 0.3967161859224836]","[122144, 0.37742913120469807]","[122403, 0.365735343587415]","[123160, 0.35249344994896387]","[244994, 0.351942287769178]","[244994, 0.3505597716591437]","[245027, 0.3482558742969818]","[245039, 0.3465111361209758]","[245271, 0.341720903782712]","[245348, 0.3375662750219755]","[247527, 0.3346841300481757]","[247618, 0.3304410399091533]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.11155645009628054]","[453, 0.09141842224751211]","[469, 0.09132486291981778]","[469, 0.09132247428886853]","[509, 0.08377479471461663]","[509, 0.08377219080574236]","[544, 0.08367008194983912]","[559, 0.08366747478208207]","[666, 0.07401836701995014]","[688, 0.07390278287993715]","[688, 0.07389983112508904]","[728, 0.06433977742852225]","[728, 0.06433638692426959]","[777, 0.06420337486120506]","[799, 0.0641999771533134]","[941, 0.06396526849324045]","[941, 0.06396185813693882]","[992, 0.06382806559366323]","[1015, 0.06382464790616961]","[1176, 0.06034669859008004]","[1176, 0.060343083726633606]","[1213, 0.06020124927888627]","[1229, 0.06019762568121893]","[1332, 0.04585004315751351]","[1354, 0.04566321406389329]","[1354, 0.04565843669643637]","[1393, 0.02762453186567315]","[1393, 0.027616634185127206]","[1442, 0.027305331801943496]","[1464, 0.027297341770432013]","[1602, 0.0267406689269014]","[1602, 0.026732510124859124]","[1653, 0.02641078867952992]","[1676, 0.026402527939429044]","[1852, 0.026388240311902622]","[1898, 0.026379972510908123]","[2097, 0.020780243537393432]","[2114, 0.02076974348399438]","[2190, 0.0203539899157393]","[2236, 0.020343269855349278]","[2397, 0.019589975378594544]","[2414, 0.019578836999461585]","[2490, 0.019137228622519407]","[2536, 0.01912582657738278]","[14732, 0.018753985451450593]","[14732, 0.01874235025899276]","[14781, 0.01828054578862065]","[14803, 0.018268609067123902]","[15000, 0.008274485913242705]","[15017, 0.008248080991721495]","[15093, 0.007136771058755326]","[15139, 0.007106139884820246]","[15294, 0.0045183770304182014]","[15310, 0.004469838241654422]","[15383, 0.0016976792999994043]","[15427, 0.001563917492450273]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.641445087668204]","[414, 0.5142831802697881]","[414, 0.5140501368710796]","[431, 0.48794784040476386]","[431, 0.4877022131018488]","[465, 0.48466159821672106]","[465, 0.4844143045934488]","[499, 0.4712375836574217]","[499, 0.4709832416976784]","[515, 0.44234688390283816]","[515, 0.4420759204110978]","[586, 0.42601615760863737]","[586, 0.4257348003774129]","[626, 0.42224819286047954]","[626, 0.4219643232344519]","[665, 0.3968091106668532]","[665, 0.39650702896290146]","[684, 0.3729174671244368]","[684, 0.3725960158070315]","[744, 0.36202676110404386]","[758, 0.36169563097202695]","[831, 0.3560329735186494]","[923, 0.3531903358058557]","[956, 0.35285091329826734]","[994, 0.3502342076970623]","[994, 0.3489670930237804]","[1120, 0.34685696032557256]","[1133, 0.34087389681666375]","[1199, 0.33960021305533994]","[1225, 0.3348126872441294]","[1225, 0.33348698222256595]","[1385, 0.333238253942148]","[1551, 0.3327355454367586]","[2287, 0.3324862550175492]","[5092, 0.33015298635694573]","[5092, 0.3288084946784198]","[5146, 0.328790601267986]","[5228, 0.32774098121908046]","[5289, 0.3267189666721228]","[5289, 0.3253602848467811]","[5353, 0.32252061667643217]","[5371, 0.3211441731584506]","[6307, 0.318849962939394]","[6339, 0.3137459636375516]","[6339, 0.312330852576454]","[6393, 0.3123120151076643]","[6466, 0.3109402718326936]","[6514, 0.30570424184134626]","[6528, 0.3042517300724371]","[12178, 0.29289472448456116]","[12178, 0.29137836467927025]","[12271, 0.28578415322681683]","[12707, 0.28193054782226984]","[24731, 0.2800910641830579]","[24731, 0.27850500176384024]","[24779, 0.27848387622437315]","[24864, 0.2783079561113043]","[24926, 0.27498282066452673]","[24943, 0.27336712207743286]","[25802, 0.27207203448289824]","[25802, 0.2704389463815118]","[25862, 0.2602320236099731]","[25874, 0.25852415338691354]","[26238, 0.25472583994868486]","[45474, 0.2542684370209879]","[103655, 0.2473129307607629]","[111559, 0.24448748742710893]","[181104, 0.24332415377349073]","[204429, 0.23786292591234692]","[262351, 0.23676054327204793]","[391828, 0.22510634736612975]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
