,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,1.0,1.0,1.0,1.0,1.0,0.2859318534066929,23.6,12.3,7.6,-0.20042132040410401,1.0
1,3.0,1.0,1.0,1.0,1.0,1.0,0.24595635521524573,14.2,7.6,5.4,-0.26338174630118505,0.8473684210526315
2,4.0,1.0,1.0,1.0,1.0,1.0,0.20111959408108607,8.5,4.75,3.25,-0.005263157894736842,0.6302631578947369
3,5.0,1.0,1.0,1.0,1.0,1.0,0.20078547886339237,11.4,6.2,3.95,0.03156171935567232,0.6210526315789474
4,6.0,0.99836867862969,0.9983221476510067,1.0,0.9991603694374475,1.0,0.19899208969018728,13.4,7.2,4.4,0.21026789559824274,0.5444736842105264
5,7.0,1.0,1.0,1.0,1.0,1.0,0.27632997212084376,14.6,7.8,4.35,-0.1736842105263158,0.4794987468671678
6,8.0,1.0,1.0,1.0,1.0,1.0,0.38682795003917525,13.8,7.4,4.45,-0.031578947368421054,0.4119924812030075
7,9.0,1.0,1.0,1.0,1.0,1.0,0.21582577169395986,10.3,5.65,3.55,0.02084583884792403,0.3850668337510442
8,10.0,1.0,1.0,1.0,1.0,1.0,0.252277379820698,11.8,6.4,3.8,0.08407292741658066,0.3553341687552214
9,11.0,1.0,1.0,1.0,1.0,1.0,0.5215334984381499,8.7,4.85,3.0,-0.005263157894736842,0.254093567251462
10,12.0,1.0,1.0,1.0,1.0,1.0,0.6221190097395014,5.6,3.3,1.85,0.0,0.2619966583124478
11,13.0,1.0,1.0,1.0,1.0,1.0,0.5561346400263084,7.5,4.25,2.5,0.02631578947368421,0.20862155388471174
12,14.0,1.0,1.0,1.0,1.0,1.0,0.38243972717947444,8.1,4.55,2.9,0.08408993022654837,0.20778404344193818
13,15.0,1.0,1.0,1.0,1.0,1.0,0.44356092729971175,6.6,3.8,2.3,-0.02108708760444483,0.23644945697577277
14,16.0,1.0,1.0,1.0,1.0,1.0,0.6504136910613082,4.3,2.65,1.5,0.0,0.23619047619047617
15,17.0,1.0,1.0,1.0,1.0,1.0,0.6825360239064223,4.0,2.5,1.35,0.0,0.20324561403508773
16,18.0,1.0,1.0,1.0,1.0,1.0,0.3839628723110878,5.9,3.45,2.05,0.0,0.19831453634085214
17,19.0,1.0,1.0,1.0,1.0,1.0,0.5741326303656986,4.7,2.85,1.6,-0.005263157894736842,0.17614035087719299
18,20.0,1.0,1.0,1.0,1.0,1.0,0.5718473793583446,4.6,2.8,1.7,-0.005263157894736842,0.17149122807017542
19,21.0,1.0,1.0,1.0,1.0,1.0,0.6457246924265034,4.3,2.65,1.5,0.0,0.19228070175438597
20,22.0,1.0,1.0,1.0,1.0,1.0,0.6715699195242393,4.4,2.7,1.6,0.005263157894736842,0.1755263157894737
21,23.0,1.0,1.0,1.0,1.0,1.0,0.7922572990725398,5.2,3.1,1.95,0.0,0.1492982456140351
22,24.0,1.0,1.0,1.0,1.0,1.0,0.7043192382205792,5.0,3.0,1.85,-0.005263157894736842,0.1589598997493734
23,25.0,1.0,1.0,1.0,1.0,1.0,0.54986875058714,6.4,3.7,2.25,-0.005263157894736842,0.14936507936507937
24,26.0,1.0,1.0,1.0,1.0,1.0,0.7473022654881957,4.3,2.65,1.6,0.05263157894736842,0.1807017543859649
25,27.0,1.0,1.0,1.0,1.0,1.0,0.577481069971946,5.3,3.15,1.85,0.005263157894736842,0.2643673577884104
26,28.0,1.0,1.0,1.0,1.0,1.0,0.6927243892656169,6.0,3.5,2.15,0.0,0.15971595655806178
27,29.0,1.0,1.0,1.0,1.0,1.0,0.6637974065877575,6.8,3.9,2.45,-0.05789473684210526,0.1160066833751044
28,30.0,1.0,1.0,1.0,1.0,1.0,0.7303163411055996,4.7,2.85,1.65,0.0,0.1432456140350877
29,31.0,1.0,1.0,1.0,1.0,1.0,0.7655051556234673,3.7,2.35,1.3,-0.005263157894736842,0.13508771929824562
30,32.0,1.0,1.0,1.0,1.0,1.0,0.7625259931218403,4.4,2.7,1.55,0.0,0.12666666666666668
31,33.0,1.0,1.0,1.0,1.0,1.0,0.5326297310377818,4.3,2.65,1.5,-0.005263157894736842,0.14645363408521303
32,34.0,1.0,1.0,1.0,1.0,1.0,0.7635244943132805,4.2,2.6,1.45,0.015789473684210527,0.08461152882205514
33,35.0,1.0,1.0,1.0,1.0,1.0,0.7600040314754217,4.9,2.95,1.7,0.0,0.09219924812030075
