explainer,n_trees,max_depth,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,ext_min,ext_avg,ext_max,avg_nnodes,avg_nleaves,avg_depth
FACETBranchBound,5,3,568,10,30,1.0,1.0,1.0,1.0,0.0,0.14133838383838382,1.0,0.1583165309843335,4.2,0.016001462936401367,0.13499855995178223,31,65.2,81,13.0,7.0,3.0
FACETBranchBound,10,3,568,10,30,1.0,1.0,1.0,1.0,0.0,0.1577529260862594,1.0,0.2068964031634128,4.5,0.05800008773803711,2.6720449924468994,368,600.0,932,11.8,6.4,3.0
FACETBranchBound,15,3,568,10,30,1.0,1.0,1.0,1.0,-0.009523809523809525,0.15853257853257852,1.0,0.16464481649256663,5.1,0.1889967918395996,20.160014867782593,1682,2500.6,4243,13.933333333333334,7.466666666666667,3.0
FACETBranchBound,20,3,568,10,30,1.0,1.0,1.0,1.0,0.0,0.1329486595276069,1.0,0.21464659780780374,6.7,0.436018705368042,725.4331262111664,31423,60932.2,104086,13.2,7.1,3.0
