,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
0,2.0,0.9947019867549669,0.9986338797814208,0.9959128065395095,0.9972714870395634,1.0,0.10962741881877838,58.4,29.7,9.5
1,3.0,0.9880794701986755,0.9919137466307277,0.9959404600811907,0.9939230249831195,1.0,0.1298161732078603,53.6,27.3,8.9
2,4.0,0.990728476821192,0.9959128065395095,0.9945578231292517,0.9952348536419333,1.0,0.12442729925016217,51.4,26.2,8.95
3,5.0,0.9894039735099338,0.9945872801082544,0.9945872801082544,0.9945872801082544,1.0,0.0915882344675129,31.0,16.0,7.8
4,6.0,0.9933774834437086,0.9945578231292517,0.9986338797814208,0.9965916837082481,1.0,0.09003296498038303,22.5,11.75,5.75
5,2.0,0.9801324503311258,0.9891304347826086,0.9904761904761905,0.9898028552005438,1.0,0.1164651742548126,59.8,30.4,10.15
6,3.0,0.9854304635761589,0.9877883310719131,0.9972602739726028,0.9925017041581459,1.0,0.11335284081113953,71.4,36.2,9.9
7,4.0,0.9854304635761589,0.9918367346938776,0.9931880108991825,0.9925119128658951,1.0,0.1150649197572074,30.5,15.75,7.25
8,5.0,0.9973509933774835,0.9972826086956522,1.0,0.998639455782313,1.0,0.08634117208658333,19.5,10.25,4.9
9,6.0,0.9973509933774835,1.0,0.9973045822102425,0.9986504723346828,1.0,0.09733363888529453,27.3,14.15,6.75
10,2.0,0.9947019867549669,0.9959128065395095,0.9986338797814208,0.9972714870395634,1.0,0.07634100997018474,36.4,18.7,8.25
11,3.0,0.9960264900662251,0.9986541049798116,0.9973118279569892,0.9979825151311366,1.0,0.1174974122867157,36.9,18.95,7.35
12,4.0,0.9973509933774835,0.998639455782313,0.998639455782313,0.998639455782313,1.0,0.08639958049249188,22.6,11.8,6.15
13,5.0,0.990728476821192,0.9959239130434783,0.994572591587517,0.9952477936184657,1.0,0.10051445801524875,16.0,8.5,4.35
14,6.0,0.9973509933774835,1.0,0.9972936400541272,0.9986449864498645,1.0,0.08303138460710488,23.3,12.15,5.7
15,2.0,0.9827814569536424,0.9905020352781547,0.9918478260869565,0.991174473862865,1.0,0.08682189696768983,45.8,23.4,9.95
16,3.0,0.990728476821192,0.994572591587517,0.9959239130434783,0.9952477936184657,1.0,0.09174539705793612,46.3,23.65,9.05
17,4.0,0.9894039735099338,0.9959128065395095,0.9932065217391305,0.9945578231292518,1.0,0.09292876813481446,36.3,18.65,7.65
18,5.0,0.990728476821192,0.9959016393442623,0.9945429740791268,0.9952218430034131,1.0,0.09649407225755915,36.6,18.8,7.45
19,6.0,0.9973509933774835,1.0,0.9972789115646259,0.9986376021798365,1.0,0.1029823618561445,24.8,12.9,6.0
20,2.0,0.9788079470198675,0.9878213802435724,0.9905020352781547,0.989159891598916,1.0,0.10272916505171417,74.4,37.7,10.65
21,3.0,0.9947019867549669,0.995945945945946,0.9986449864498645,0.9972936400541274,1.0,0.09024369528097942,33.1,17.05,6.75
22,4.0,1.0,1.0,1.0,1.0,1.0,0.08312608434670732,22.7,11.85,5.7
23,5.0,0.9973509933774835,0.9986449864498645,0.9986449864498645,0.9986449864498645,1.0,0.12584003785134643,21.5,11.25,5.3
24,6.0,0.9973509933774835,0.9986320109439124,0.9986320109439124,0.9986320109439124,1.0,0.09805009176064933,23.5,12.25,5.85
