rf_ntrees, rf_maxdepth, avg_nnodes, avg_nleaves, avg_depth, init_time, clique_time, nkcliques 
1, 3, 15.0, 8.0, 3.0, 0.0020029544830322266, 0.0, 16 
2, 3, 13.0, 7.0, 3.0, 0.0020017623901367188, 0.0, 24 
3, 3, 13.666666666666666, 7.333333333333333, 3.0, 0.003999471664428711, 0.0, 76 
4, 3, 13.0, 7.0, 3.0, 0.005999565124511719, 0.0, 282 
5, 3, 12.6, 6.8, 3.0, 0.010999202728271484, 0.0009984970092773438, 590 
6, 3, 13.666666666666666, 7.333333333333333, 3.0, 0.019001483917236328, 0.0040018558502197266, 4022 
7, 3, 12.714285714285714, 6.857142857142857, 3.0, 0.029000520706176758, 0.007999658584594727, 6454 
8, 3, 12.75, 6.875, 3.0, 0.043999671936035156, 0.017000436782836914, 17275 
9, 3, 12.777777777777779, 6.888888888888889, 3.0, 0.1230001449584961, 0.08899950981140137, 52842 
10, 3, 12.4, 6.7, 3.0, 0.2670607566833496, 0.22606134414672852, 160110 
11, 3, 12.454545454545455, 6.7272727272727275, 3.0, 1.2973644733428955, 1.2484259605407715, 494102 
12, 3, 13.166666666666666, 7.083333333333333, 3.0, 1.5288677215576172, 1.453864574432373, 900823 
13, 3, 12.846153846153847, 6.923076923076923, 3.0, 8.981834173202515, 8.906311273574829, 3344308 
14, 3, 12.714285714285714, 6.857142857142857, 3.0, 42.7413911819458, 42.64938735961914, 13096023 
15, 3, 13.133333333333333, 7.066666666666666, 3.0, 1047.4278025627136, 1047.287802696228, 38515987 
