rf_ntrees, rf_maxdepth, avg_nnodes, avg_nleaves, avg_depth, init_time, clique_time, nkcliques 
1, 3, 11.0, 6.0, 3.0, 0.0010001659393310547, 0.0010001659393310547, 12 
2, 3, 11.0, 6.0, 3.0, 0.0019991397857666016, 0.0, 14 
3, 3, 13.0, 7.0, 3.0, 0.005998849868774414, 0.0, 45 
4, 3, 11.5, 6.25, 3.0, 0.007000446319580078, 0.0, 146 
5, 3, 11.4, 6.2, 3.0, 0.010996818542480469, 0.0, 372 
6, 3, 11.333333333333334, 6.166666666666667, 3.0, 0.01699995994567871, 0.0009989738464355469, 1311 
7, 3, 11.285714285714286, 6.142857142857143, 3.0, 0.022001266479492188, 0.003000974655151367, 2163 
8, 3, 10.25, 5.625, 3.0, 0.030001401901245117, 0.0030014514923095703, 3630 
9, 3, 12.11111111111111, 6.555555555555555, 3.0, 0.053000450134277344, 0.010995626449584961, 11708 
10, 3, 13.2, 7.1, 3.0, 0.10199975967407227, 0.043998003005981445, 39912 
11, 3, 12.636363636363637, 6.818181818181818, 3.0, 0.23000049591064453, 0.15800023078918457, 114537 
12, 3, 11.833333333333334, 6.416666666666667, 3.0, 0.41100072860717773, 0.34200167655944824, 237400 
13, 3, 11.76923076923077, 6.384615384615385, 3.0, 0.6139984130859375, 0.5089993476867676, 296492 
14, 3, 10.428571428571429, 5.714285714285714, 3.0, 0.6879985332489014, 0.6129989624023438, 394728 
15, 3, 10.466666666666667, 5.733333333333333, 3.0, 2.3930816650390625, 2.300084114074707, 1393098 
16, 3, 12.625, 6.8125, 3.0, 27.15000033378601, 27.005000352859497, 11588283 
17, 3, 12.882352941176471, 6.9411764705882355, 3.0, 28.7979998588562, 28.621999740600586, 10585604 
18, 3, 11.555555555555555, 6.277777777777778, 3.0, 85.94299173355103, 85.78799176216125, 16762566 
19, 3, 12.052631578947368, 6.526315789473684, 3.0, 432.2698495388031, 432.0688478946686, 39001017 
