explainer,n_trees,max_depth,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,ext_min,ext_avg,ext_max,avg_nnodes,avg_nleaves,avg_depth
FACETBranchBound,5,3,4600,10,57,0.7,0,0,0,0.2,0.16469697,1,0.014949096,2.7,0.016000032,0.046001911,29,35.5,42,13.8,7.4,3
FACETBranchBound,10,3,4600,10,57,0.8,1,0.333333333,0.5,0.394957265,0.193484047,1,0.005520207,4.1,0.084999084,1.368999958,155,244.1,479,14.8,7.9,3
FACETBranchBound,15,3,4600,10,57,0.8,1,0.333333333,0.5,0.504049654,0.163349983,1,0.007666557,4.4,0.20600009,14.06099916,347,1282.7,3720,14.86666667,7.933333333,3
FACETBranchBound,20,3,4600,10,57,0.8,1,0.333333333,0.5,0.758873144,0.129730094,1,0.006043071,5.8,0.375001192,310.5929983,3217,15826.8,49177,14.7,7.85,3
FACETBranchBound,25,3,4600,5,57,1,1,1,1,-0.015555556,0.145235561,1,0.009280819,4.8,0.632000446,933.5707905,19013,68336.6,131365,14.76,7.88,3
