explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,rects_searched_0,rects_searched_1,idx_dim_0,idx_dim_1
OCEAN,20,20,57,1.0,1.0,1.0,1.0,47.4,24.2,5.0,-0.004088971721891027,0.33931250880136266,1.0,0.007415486336434807,4.75,0.0,3.4149999618530273,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,47.4,24.2,5.0,-0.004088971721891027,0.33931250880136266,1.0,0.020008787145955963,5.85,46.07999134063721,1.5210402011871338,-1,-1,-1,-1,-1,41504,34348,33,33
OCEAN,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,46.5,23.75,5.0,0.20669873022002666,0.3032991516034507,1.0,0.00623831995014666,5.55,0.0,3.3440003395080566,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,46.5,23.75,5.0,0.20669873022002666,0.3032991516034507,1.0,0.02143512095885452,5.6,46.86896872520447,2.072997808456421,-1,-1,-1,-1,-1,75779,26423,34,32
OCEAN,20,20,57,0.8,0.875,0.7,0.7777777777777777,48.5,24.75,5.0,0.9057627610783671,0.35897952849777826,1.0,0.0057205724112895755,4.8,0.0,3.9380006790161133,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.8,0.875,0.7,0.7777777777777777,48.5,24.75,5.0,0.9057627610783671,0.35897952849777826,1.0,0.01679461843836078,6.35,44.38041067123413,1.919999599456787,-1,-1,-1,-1,-1,68186,27339,31,31
OCEAN,20,20,57,1.0,1.0,1.0,1.0,46.7,23.85,5.0,-0.35309496828194886,0.3123215374229879,1.0,0.005853201299127727,5.75,0.0,3.5129997730255127,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,46.7,23.85,5.0,-0.35309496828194886,0.3123215374229879,1.0,0.0201392552712992,6.85,44.48860454559326,1.7615163326263428,-1,-1,-1,-1,-1,47627,41027,31,33
OCEAN,20,20,57,1.0,1.0,1.0,1.0,45.6,23.3,5.0,-0.24102908787119315,0.3002731898362554,1.0,0.005538426641731471,5.5,0.0,3.812190055847168,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,45.6,23.3,5.0,-0.24102908787119315,0.3002731898362554,1.0,0.018067747850093,6.4,45.977306604385376,2.5549991130828857,-1,-1,-1,-1,-1,76535,50026,32,32
