,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0,"[0, 0.5912154474043454]","[226, 0.5195454325743346]","[226, 0.512178201666144]","[226, 0.5120423791407485]","[226, 0.511533127818117]","[241, 0.5110777128773158]","[241, 0.5101430212827903]","[255, 0.5046631760823566]","[255, 0.5029305249698428]","[269, 0.5019806634822371]","[301, 0.49665723265953]","[301, 0.4965171643832417]","[301, 0.4959919730665438]","[313, 0.48924596833896417]","[313, 0.4882694861442358]","[325, 0.48812701100605843]","[338, 0.487592782650622]","[366, 0.48711498584779633]","[379, 0.4861342232358509]","[406, 0.4803805805099977]","[418, 0.47856002108829815]","[499, 0.4742394986281109]","[499, 0.4732320526154873]","[511, 0.4730850487986488]","[524, 0.47253381489168367]","[548, 0.46731958524404427]","[548, 0.46544794167079045]","[559, 0.4644214249678851]","[584, 0.4642716314221164]","[662, 0.4632074894765235]","[689, 0.46217599664064013]","[731, 0.45612023743829566]","[911, 0.44759089363584764]","[911, 0.4095774695385098]","[911, 0.4094076102464652]","[911, 0.4087705152613011]","[923, 0.3421364525237439]","[923, 0.3194177734596275]","[923, 0.3179200961964048]","[934, 0.29064316202753565]","[934, 0.2635219336027614]","[934, 0.2617045720910575]","[945, 0.2614386559549221]","[956, 0.2604398465035336]","[980, 0.25085514183161917]","[980, 0.24735095277009098]","[991, 0.2454138696159961]","[1016, 0.24513028204212087]","[1094, 0.2431087940364146]","[1121, 0.2411376355973186]","[1163, 0.22931720047014234]","[1331, 0.21336445422639852]","[1341, 0.21111575945664093]","[1364, 0.21078603289854586]","[1389, 0.2095459245234201]","[1422, 0.20253576821657318]","[1422, 0.19750666576334203]","[1431, 0.19303645944189537]","[1492, 0.1926757962174157]","[1649, 0.18756989783926042]","[2561, 0.18710863736107985]","[2744, 0.18673652548249012]","[6637, 0.1856447608673622]","[6637, 0.16883166468172153]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.9769080309092715]","[252, 0.6323979752204596]","[252, 0.5949437944088888]","[252, 0.59416571786783]","[272, 0.5824825437796933]","[272, 0.5816877990742199]","[313, 0.5735403106087898]","[313, 0.5664666585055493]","[313, 0.5663189228456752]","[330, 0.565649411722659]","[330, 0.5655014625594115]","[371, 0.5606034990932927]","[371, 0.5598261864212184]","[371, 0.5537179419642427]","[371, 0.5532132659973928]","[388, 0.5528818508839516]","[388, 0.5523764110271633]","[457, 0.5520722352064387]","[457, 0.5519206465249118]","[475, 0.5512336479838481]","[475, 0.5510818286282213]","[518, 0.5460545402091573]","[518, 0.5452564870685314]","[518, 0.5389831508873977]","[518, 0.5384646649158076]","[536, 0.5381241666421003]","[536, 0.5376048522350226]","[600, 0.5341638776157501]","[618, 0.5340072053110683]","[654, 0.5332971310003849]","[670, 0.5331402039875486]","[735, 0.5315827710568578]","[735, 0.5310570599350631]","[751, 0.5304130993866882]","[751, 0.5298862278106296]","[767, 0.5271166208288032]","[831, 0.526238267078444]","[1149, 0.5233294288530741]","[1149, 0.5224447079715061]","[1193, 0.5133578334737374]","[1193, 0.5054426302698111]","[1193, 0.505277052386815]","[1212, 0.5045265446711525]","[1212, 0.5043606660441075]","[1255, 0.498862767192808]","[1255, 0.4979890925497737]","[1255, 0.49220253677772274]","[1273, 0.49126176219422274]","[1382, 0.48925609876776777]","[1382, 0.48908504102671035]","[1400, 0.48830964762658874]","[1400, 0.48813825822183465]","[1443, 0.48245552974202355]","[1443, 0.4815520885490352]","[1461, 0.48149571126065505]","[1461, 0.4805904657498788]","[2030, 0.47979865489801166]","[2049, 0.4767381532587245]","[2187, 0.4757668006032857]","[3448, 0.47487514861727276]","[3467, 0.47389997737710904]","[3580, 0.47182051645229156]","[3580, 0.47164313513497724]","[3598, 0.47083901869859374]","[3598, 0.47066126747768183]","[3641, 0.46476489512710395]","[3641, 0.4638269974352391]","[3659, 0.46376846542887706]","[3659, 0.462828548529082]","[4238, 0.46068416801259005]","[4258, 0.45882713121217067]","[4403, 0.45781777829190734]","[6230, 0.45279864475753034]","[9283, 0.4514279027254161]","[9300, 0.4504019684046855]","[9359, 0.4453294079776761]","[9359, 0.4442893914933093]","[9396, 0.43706751314484477]","[9396, 0.4161625795225276]","[9396, 0.4061525908752803]","[9411, 0.4050119860676352]","[9472, 0.4049299001353695]","[9506, 0.4037858415142709]","[9628, 0.3948575750035356]","[9645, 0.39098294549223767]","[9734, 0.3897979546502696]","[10158, 0.38512381780544114]","[10174, 0.3839207428946581]","[10238, 0.3838341464616926]","[10274, 0.38262701652356396]","[10396, 0.3713969008394978]","[10413, 0.3690908988746836]","[10502, 0.3678353890205094]","[10958, 0.3615693128433158]","[12292, 0.35764598320650937]","[12292, 0.3461887297544018]","[12292, 0.34594693781504915]","[12307, 0.3448498490542134]","[12307, 0.3446071176968883]","[12344, 0.3365092043409319]","[12344, 0.3352126495427169]","[12359, 0.33513165530864825]","[12359, 0.33382975031772694]","[12868, 0.3328651589937525]","[12885, 0.32825961250213154]","[13005, 0.3268472961243478]","[14003, 0.3212585634271902]","[14003, 0.32099799337370516]","[14018, 0.31981533165101633]","[14018, 0.31955358476113643]","[14055, 0.31080359163385296]","[14055, 0.30939933480824444]","[14070, 0.3093115813484041]","[14070, 0.3079005199143576]","[14579, 0.3046676344599918]","[14596, 0.30185228368588723]","[14716, 0.3003158053618439]","[16176, 0.29260737776797596]","[23386, 0.2815526110438772]","[23386, 0.28125525765800014]","[23401, 0.27990472409263184]","[23560, 0.279785935555314]","[24049, 0.2649989627311675]"
2,"[0, 0.8558937920857896]","[252, 0.34067127761164745]","[252, 0.283148357879793]","[252, 0.2810330847178434]","[272, 0.27623926571280555]","[272, 0.2740706734722874]","[313, 0.2736536615403745]","[350, 0.27303961398327375]","[350, 0.272304692313192]","[419, 0.27127679627098616]","[419, 0.26906821129790365]","[439, 0.264057265657616]","[439, 0.2617877798572347]","[480, 0.26135117007482606]","[517, 0.2607081479915078]","[517, 0.25993836400348636]","[619, 0.22628054148317703]","[619, 0.223628007167982]","[640, 0.217573028671861]","[640, 0.2148129999358737]","[683, 0.21428069758695095]","[722, 0.21349595239261943]","[810, 0.21123681279300396]","[810, 0.20839288187207788]","[830, 0.2018814761945069]","[830, 0.1989038274304355]","[871, 0.19832883043919036]","[908, 0.19748070617925795]","[1285, 0.19679452800991123]","[1285, 0.19373871164701945]","[1306, 0.18671696657285966]","[1306, 0.18349339972373285]","[1436, 0.17929359687303542]","[1436, 0.17593406724018446]","[1456, 0.16817054804928594]","[1456, 0.16458412853978477]","[2873, 0.16085669597489832]","[2873, 0.15710340154167282]","[2908, 0.15631929409263415]","[2939, 0.15524183081663503]","[3269, 0.14926646308774277]","[3269, 0.14521390821380603]","[3381, 0.1313961190034095]","[3381, 0.12677358646485223]","[3398, 0.11575871215889026]","[3398, 0.11048385210829688]","[10795, 0.10542826380229085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.7554929917726075]","[252, 0.4480467268592939]","[252, 0.3383769555064855]","[272, 0.3373429693268276]","[313, 0.33705936114785645]","[356, 0.3321337954668426]","[376, 0.33108031205073685]","[414, 0.32416501354071287]","[414, 0.3233797765538696]","[414, 0.3233227324446952]","[451, 0.3230855474023148]","[451, 0.3224577348147705]","[538, 0.3223821284871976]","[538, 0.322313056664664]","[538, 0.3222407359494754]","[538, 0.32213467331604634]","[538, 0.3220556433694223]","[808, 0.28139695741637843]","[829, 0.2801527486561536]","[872, 0.2798111801961426]","[917, 0.2738578859857197]","[938, 0.2725792667334959]","[978, 0.2641367820452267]","[978, 0.26317249763109307]","[978, 0.26310240010471403]","[1017, 0.2628108722363108]","[1017, 0.26203868868399927]","[1105, 0.26194564396701275]","[1105, 0.2618606311034095]","[1105, 0.2617716094816559]","[1749, 0.21826484042446662]","[1770, 0.2166583843333111]","[1813, 0.21658366201665666]","[1858, 0.20883564783425898]","[1879, 0.20715608304550825]","[1919, 0.19591433260227487]","[1919, 0.19461230587805822]","[1919, 0.19451750314727004]","[1958, 0.19412300393152188]","[1958, 0.19307630734250406]","[2046, 0.19295001032153433]","[2046, 0.19283458250962948]","[2046, 0.1927136778238736]","[2729, 0.18039728049200687]","[2729, 0.17898240888168845]","[2729, 0.17887932278652338]","[2763, 0.17845025566054726]","[2778, 0.17819469375556118]","[2778, 0.1778496664755039]","[2890, 0.17770950598314783]","[2890, 0.17760568106974442]","[2924, 0.1771735295494144]","[3468, 0.17687568817445964]","[3565, 0.17633717737168036]","[3899, 0.1755875134936173]","[5610, 0.16694997302274978]","[5610, 0.16530858055149558]","[5666, 0.16392953556828263]","[5783, 0.1634543351276224]","[5783, 0.16302525320344416]","[5868, 0.16162672739905865]","[6017, 0.16154212568523119]","[6035, 0.1593649061346503]","[6072, 0.15926330543452413]","[6111, 0.14855519382283408]","[6129, 0.1461846795944865]","[6163, 0.1297641842897336]","[6163, 0.12778993467624924]","[6163, 0.12764551240068475]","[6196, 0.1270435297871671]","[6196, 0.12543834446612506]","[6272, 0.12524385928445894]","[6272, 0.12506595866601056]","[6272, 0.12487945958318732]","[6856, 0.10487848499238042]","[6856, 0.10242568278745849]","[6856, 0.10224543963400219]","[6888, 0.10149291379549528]","[6902, 0.1010428952872165]","[6902, 0.1004331701721754]","[7005, 0.10018476092779585]","[7005, 0.10000047876701854]","[7037, 0.0992309295450888]","[7530, 0.09869816043155945]","[7620, 0.09772982108239335]","[7930, 0.0963706008088379]","[11692, 0.0736800747530029]","[11692, 0.07014468829347095]","[11692, 0.06988123301188606]","[11724, 0.06877549237926958]","[11738, 0.06810964314496534]","[11738, 0.06720177432288726]","[11840, 0.06682995678190089]","[11840, 0.0665533812435105]","[11870, 0.06539139224464874]","[12329, 0.06458005631683035]","[12405, 0.06309021104821053]","[12660, 0.06096350959030754]","[15906, 0.05450588386100344]","[15946, 0.05416641770453821]","[16011, 0.053663269680413184]","[16011, 0.05250620435341426]","[16861, 0.050168288820247146]","[20743, 0.048418973871597965]","[21569, 0.04790622729410182]","[22911, 0.04744589324087489]",,,,,,,,,,,,,,,,,
4,"[0, 0.695505868559028]","[252, 0.601474113840408]","[252, 0.6014347521332329]","[272, 0.5912667032824164]","[272, 0.5912266620035974]","[313, 0.5836399794247327]","[313, 0.5806958084808319]","[313, 0.5805644956979622]","[332, 0.5805237162411956]","[373, 0.573115023684823]","[373, 0.5727788027145664]","[373, 0.5705253662861264]","[373, 0.5699827527701009]","[392, 0.5699412161871091]","[461, 0.5684329903085527]","[461, 0.5682988440503335]","[481, 0.5682571843825683]","[524, 0.5606864300633388]","[524, 0.5603427516467472]","[524, 0.5580390990422041]","[524, 0.5574843324608307]","[544, 0.5574418645856778]","[646, 0.5375636674305091]","[646, 0.5375196256833773]","[667, 0.526117763748471]","[667, 0.5260727637743194]","[710, 0.5175318468501597]","[710, 0.5142093045720214]","[710, 0.5140610086227743]","[730, 0.5140149531285282]","[773, 0.5056326900967639]","[773, 0.5052515648272323]","[773, 0.5035244123939885]","[793, 0.5034773930676236]","[941, 0.5003195492806151]","[941, 0.5001671351360264]","[961, 0.500119800171558]","[1004, 0.49150062032352115]","[1004, 0.4911085279694123]","[1024, 0.49106031981594894]","[1736, 0.48389508266172204]","[1736, 0.48033992903827943]","[1736, 0.4801811732110303]","[1757, 0.4801318678860846]","[1802, 0.47114717001649026]","[1802, 0.4707381249489194]","[1802, 0.46888385811069344]","[1823, 0.46883336469392617]","[1975, 0.4654405331644585]","[1975, 0.46527669358161233]","[1995, 0.46522580866037155]","[2038, 0.4559474731791631]","[2038, 0.45552477952833753]","[2058, 0.4554728051352787]","[2765, 0.4553683450600609]","[2783, 0.4553163528099971]","[2821, 0.45126307359911716]","[2821, 0.45083598798232505]","[2839, 0.4507834729817168]","[2875, 0.44940098439446585]","[2939, 0.4493483016860907]","[7390, 0.4456824919581135]","[7409, 0.44562936964640576]","[7468, 0.43886525802778314]","[7468, 0.43881131042539434]","[7505, 0.43481096978806905]","[7505, 0.41408601843891196]","[7505, 0.4097398427645494]","[7522, 0.40968205989788803]","[7639, 0.4061380580025115]","[7658, 0.4060797626224563]","[7717, 0.39811063811265873]","[7717, 0.3980511671028329]","[7754, 0.39417739403484137]","[7754, 0.3711906103158436]","[7754, 0.36633588040045323]","[7771, 0.36627125019885776]","[7876, 0.35869262228145926]","[7876, 0.3536663757855365]","[7893, 0.35359942988463]","[7996, 0.35027301735395905]","[8030, 0.35020542277312894]","[8176, 0.3372597595874188]","[8176, 0.3321387388445799]","[8176, 0.3319091043028049]","[8193, 0.33183776905673246]","[8230, 0.31869946693917817]","[8230, 0.31809444618413757]","[8247, 0.3180200121795046]","[8869, 0.31405530346843386]","[8869, 0.3134413184354082]","[8869, 0.31064956175547936]","[8887, 0.3105733434670954]","[9021, 0.29764777798464026]","[9021, 0.29756822947460765]","[9057, 0.28294766999751214]","[9057, 0.2768237351841883]","[9057, 0.27654817308951396]","[9074, 0.2764625535088013]","[9109, 0.26054671125802725]","[9109, 0.2598063032592757]","[9125, 0.259715164491236]","[9724, 0.2595319250721362]","[9740, 0.2594406899179617]","[9774, 0.2522594934646315]","[9774, 0.25149468882843096]","[9790, 0.25140053691742265]","[9822, 0.2489131077778451]","[9878, 0.24881797900691216]","[18838, 0.22581445999735322]","[18838, 0.21809210611161697]","[18838, 0.21774222931260478]","[18853, 0.21763347600836142]","[18883, 0.2083533908578775]","[18883, 0.20496973805418006]","[18935, 0.2048542041830195]",,,,,,,
