,0,1,2,3,4,5,6,7,8
0,"[0, 0.5912154474043454]","[290, 0.18322579330022168]","[316, 0.1718582467813054]","[1111, 0.16883166468172153]",,,,,
1,"[0, 0.9769080309092715]","[252, 0.3224458848877849]","[1898, 0.2856347452666737]","[3690, 0.2649989627311675]",,,,,
2,"[0, 0.8558937920857896]","[276, 0.10845930688245381]","[5576, 0.10542826380229085]",,,,,,
3,"[0, 0.7554929917726075]","[269, 0.04744589324087489]",,,,,,,
4,"[0, 0.695505868559028]","[231, 0.37756760274029233]","[239, 0.3747897058779367]","[250, 0.3625019100645036]","[336, 0.33138892262102426]","[809, 0.2230997321901494]","[1343, 0.2101672825255046]","[1414, 0.20823973428583348]","[4440, 0.2048542041830195]"
