explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,567498,3,1.0,1.0,1.0,1.0,28.6,14.8,6.35,0.0,1.0,1.0,0.12102170036670601,1.95,1.0
OCEAN,567498,3,1.0,1.0,1.0,1.0,28.6,14.8,6.35,0.0,1.0,1.0,0.11356714164705979,1.85,2.5840001106262207
BestCandidate,567498,3,1.0,1.0,1.0,1.0,28.6,14.8,6.35,0.0,1.0,1.0,0.11960771004982942,1.85,0.059999942779541016
GraphMerge,567498,3,1.0,1.0,1.0,1.0,24.0,12.5,5.85,0.0,0.9368421052631579,1.0,0.11911505639064277,1.65,0.9730026721954346
OCEAN,567498,3,1.0,1.0,1.0,1.0,24.0,12.5,5.85,0.0,0.9368421052631579,1.0,0.11707008962313217,2.1,2.1354169845581055
BestCandidate,567498,3,1.0,1.0,1.0,1.0,24.0,12.5,5.85,0.0,0.9368421052631579,1.0,0.12173378705372269,1.8,0.05000042915344238
GraphMerge,567498,3,1.0,1.0,1.0,1.0,27.3,14.15,5.95,0.0,0.9333333333333332,1.0,0.19834501548771416,2.0,0.9840021133422852
OCEAN,567498,3,1.0,1.0,1.0,1.0,27.3,14.15,5.95,0.0,0.9333333333333332,1.0,0.11232464140051883,2.1,2.183009386062622
BestCandidate,567498,3,1.0,1.0,1.0,1.0,27.3,14.15,5.95,0.0,0.9333333333333332,1.0,0.12870188364271856,1.95,0.0579986572265625
GraphMerge,567498,3,1.0,1.0,1.0,1.0,26.3,13.65,6.0,0.0,0.9035087719298247,1.0,0.08868988112827556,1.0,0.9939999580383301
OCEAN,567498,3,1.0,1.0,1.0,1.0,26.3,13.65,6.0,0.0,0.9035087719298247,1.0,0.18730529337356708,2.0,2.655999183654785
BestCandidate,567498,3,1.0,1.0,1.0,1.0,26.3,13.65,6.0,0.0,0.9035087719298247,1.0,0.2156661608770059,2.0,0.05299997329711914
GraphMerge,567498,3,1.0,1.0,1.0,1.0,21.5,11.25,5.95,0.0,0.8517543859649125,1.0,0.0867450518573009,1.25,0.9940066337585449
OCEAN,567498,3,1.0,1.0,1.0,1.0,21.5,11.25,5.95,0.0,0.8517543859649125,1.0,0.11834473506313145,2.0,1.6961760520935059
BestCandidate,567498,3,1.0,1.0,1.0,1.0,21.5,11.25,5.95,0.0,0.8517543859649125,1.0,0.17181993273898907,1.85,0.04503035545349121
