explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,7200,6,1.0,1.0,1.0,1.0,134.6,67.8,14.25,0.0,1.0,1.0,0.01253735655115415,1.2,1.0455191135406494
OCEAN,7200,6,1.0,1.0,1.0,1.0,134.6,67.8,14.25,0.0,1.0,1.0,0.01386768634647099,2.25,10.701512813568115
BestCandidate,7200,6,1.0,1.0,1.0,1.0,134.6,67.8,14.25,0.0,1.0,1.0,0.020192082515380426,1.55,0.28701257705688477
GraphMerge,7200,6,1.0,1.0,1.0,1.0,137.6,69.3,14.65,0.07894736842105263,1.0,1.0,0.00859637833864106,1.05,1.0192484855651855
OCEAN,7200,6,1.0,1.0,1.0,1.0,137.6,69.3,14.65,0.07894736842105263,1.0,1.0,0.012099688113275962,2.45,9.138585329055786
BestCandidate,7200,6,1.0,1.0,1.0,1.0,137.6,69.3,14.65,0.07894736842105263,1.0,1.0,0.017944551806048675,1.65,0.3060131072998047
GraphMerge,7200,6,1.0,1.0,1.0,1.0,147.8,74.4,14.05,-0.06842105263157895,1.0,1.0,0.010273550688220983,1.4,1.0283191204071045
OCEAN,7200,6,1.0,1.0,1.0,1.0,147.8,74.4,14.05,-0.06842105263157895,1.0,1.0,0.012436075510681972,2.5,10.480696439743042
BestCandidate,7200,6,1.0,1.0,1.0,1.0,147.8,74.4,14.05,-0.06842105263157895,1.0,1.0,0.017737611940532555,1.55,0.3270084857940674
GraphMerge,7200,6,1.0,1.0,1.0,1.0,118.3,59.65,13.4,0.021052631578947368,1.0,1.0,0.008007781693096664,1.2,1.0102043151855469
OCEAN,7200,6,1.0,1.0,1.0,1.0,118.3,59.65,13.4,0.021052631578947368,1.0,1.0,0.013823462586705287,1.9,9.249815225601196
BestCandidate,7200,6,1.0,1.0,1.0,1.0,118.3,59.65,13.4,0.021052631578947368,1.0,1.0,0.014137122073051445,1.3,0.26000094413757324
GraphMerge,7200,6,1.0,1.0,1.0,1.0,131.0,66.0,14.1,-0.01754385964912281,1.0,1.0,0.01105790657206779,1.4,1.0090000629425049
OCEAN,7200,6,1.0,1.0,1.0,1.0,131.0,66.0,14.1,-0.01754385964912281,1.0,1.0,0.00866381557265913,1.85,9.604371309280396
BestCandidate,7200,6,1.0,1.0,1.0,1.0,131.0,66.0,14.1,-0.01754385964912281,1.0,1.0,0.011172904258797408,1.35,0.2856557369232178
