explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,5803,36,1.0,1.0,1.0,1.0,22.2,11.6,6.65,0.005263157894736842,0.17859673553864527,1.0,0.25716796351474924,2.65,0.966041088104248
OCEAN,5803,36,1.0,1.0,1.0,1.0,22.2,11.6,6.65,0.005263157894736842,0.17859673553864527,1.0,0.3529777384166406,5.9,1.6470019817352295
BestCandidate,5803,36,1.0,1.0,1.0,1.0,22.2,11.6,6.65,0.005263157894736842,0.17859673553864527,0.0,,,0.049001455307006836
GraphMerge,5803,36,1.0,1.0,1.0,1.0,17.3,9.15,6.05,0.0,0.16813252751720242,1.0,0.0,0.0,0.9709994792938232
OCEAN,5803,36,1.0,1.0,1.0,1.0,17.3,9.15,6.05,0.0,0.16813252751720242,1.0,0.39796801064089704,8.15,1.472001314163208
BestCandidate,5803,36,1.0,1.0,1.0,1.0,17.3,9.15,6.05,0.0,0.16813252751720242,0.0,,,0.04300093650817871
GraphMerge,5803,36,1.0,1.0,1.0,1.0,17.9,9.45,6.35,0.0,0.16010707203737187,1.0,0.275688523539738,3.5,0.9669992923736572
OCEAN,5803,36,1.0,1.0,1.0,1.0,17.9,9.45,6.35,0.0,0.16010707203737187,1.0,0.36726754925619043,7.7,1.5460035800933838
BestCandidate,5803,36,1.0,1.0,1.0,1.0,17.9,9.45,6.35,0.0,0.16010707203737187,0.0,,,0.044996023178100586
GraphMerge,5803,36,1.0,1.0,1.0,1.0,18.2,9.6,6.3,-0.010526315789473684,0.1680270616082087,1.0,0.28550794196542967,3.1,0.9670000076293945
OCEAN,5803,36,1.0,1.0,1.0,1.0,18.2,9.6,6.3,-0.010526315789473684,0.1680270616082087,1.0,0.38547157121441594,6.95,1.4520020484924316
BestCandidate,5803,36,1.0,1.0,1.0,1.0,18.2,9.6,6.3,-0.010526315789473684,0.1680270616082087,0.050000000000000044,0.7463787444745201,3.0,0.04600048065185547
GraphMerge,5803,36,1.0,1.0,1.0,1.0,22.2,11.6,6.7,0.0,0.1822666150996361,1.0,0.3331941368665035,3.05,0.9650006294250488
OCEAN,5803,36,1.0,1.0,1.0,1.0,22.2,11.6,6.7,0.0,0.1822666150996361,1.0,0.4101678989085252,8.45,2.038001298904419
BestCandidate,5803,36,1.0,1.0,1.0,1.0,22.2,11.6,6.7,0.0,0.1822666150996361,0.0,,,0.05099892616271973
