explainer,n_trees,max_depth,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,ext_min,ext_avg,ext_max,avg_nnodes,avg_nleaves,avg_depth
FACETBranchBound,5,3,4600,10,57,0.7,0.0,0.0,0.0,0.5,0.12893939393939394,1.0,0.002142854473769416,1.9,0.018000125885009766,0.059000253677368164,34,40.6,49,14.6,7.8,3.0
FACETBranchBound,10,3,4600,10,57,0.8,1.0,0.3333333333333333,0.5,0.06666666666666667,0.17571052404385737,1.0,0.006947376815141211,3.6,0.07699918746948242,1.2340002059936523,157,286.4,539,14.2,7.6,3.0
FACETBranchBound,15,3,4600,10,57,0.8,1.0,0.3333333333333333,0.5,0.047619047619047616,0.14435083435083437,1.0,0.003974051245321341,2.1,0.21900010108947754,23.419018745422363,783,3064.6,7430,14.866666666666667,7.933333333333334,3.0
FACETBranchBound,20,3,4600,10,57,0.8,1.0,0.3333333333333333,0.5,0.9319838056680163,0.1510573344783871,1.0,0.007549035693872106,3.9,0.35500025749206543,514.4585094451904,6386,28361.2,53827,14.7,7.85,3.0
