explainer,n_trees,max_depth,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,ext_min,ext_avg,ext_max
FACETBranchBound,5,3,20,20,30,0.95,0.6666666666666666,1.0,0.8,0.3,0.14615440115440115,1.0,0.10704606796528271,3.05,0.014000177383422852,0.07800102233886719,47,81.45,209
FACETBranchBound,10,3,20,20,30,0.95,0.6666666666666666,1.0,0.8,0.16296296296296295,0.16355940355940352,1.0,0.16033659637849268,4.4,0.07499933242797852,4.705001354217529,721,4189.4,10413
FACETBranchBound,15,3,20,20,30,0.9,0.5,1.0,0.6666666666666666,0.43751803751803753,0.1741005291005291,1.0,0.18095456633414728,5.8,0.17699909210205078,43.97000026702881,12288,42104.8,197825
FACETBranchBound,20,3,20,20,30,0.9,0.5,1.0,0.6666666666666666,0.6297767145135567,0.15570358004568532,1.0,0.16133963210537275,6.2,0.3169999122619629,523.0042684078217,66111,451751.75,1216901
