dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.36844411845406116,3.35,0.029000520706176758,0.0020003318786621094,-1,-1,-1,-1,-1,2
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.3539668267678425,2.85,0.011996269226074219,0.002000570297241211,-1,-1,-1,-1,-1,5
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.3225338636807534,3.4,0.012998580932617188,0.0019979476928710938,-1,-1,-1,-1,-1,10
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.3383359905899871,2.75,0.006999015808105469,0.0030002593994140625,-1,-1,-1,-1,-1,20
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.3218253116313477,2.9,0.008346796035766602,0.006626605987548828,-1,-1,-1,-1,-1,50
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.2354883547368786,2.9,0.011998176574707031,0.012000322341918945,-1,-1,-1,-1,-1,100
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.23802323455603527,3.05,0.019005775451660156,0.021999835968017578,-1,-1,-1,-1,-1,200
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.2301329511920196,2.9,0.027000904083251953,0.03900027275085449,-1,-1,-1,-1,-1,300
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.18536417388196802,3.2,0.03800368309020996,0.04402446746826172,-1,-1,-1,-1,-1,400
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.17028255409261697,2.75,0.0415194034576416,0.05400729179382324,-1,-1,-1,-1,-1,500
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.18139976154821563,3.0,0.056998252868652344,0.0780022144317627,-1,-1,-1,-1,-1,750
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.1748968894755808,3.15,0.07521414756774902,0.10299968719482422,-1,-1,-1,-1,-1,1000
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.14853430562423564,2.5,0.1419997215270996,0.20299983024597168,-1,-1,-1,-1,-1,2000
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.1413430227926172,2.25,0.21399927139282227,0.3249993324279785,-1,-1,-1,-1,-1,3000
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.12763010655508353,2.35,0.2840549945831299,0.4100015163421631,-1,-1,-1,-1,-1,4000
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.1405258490114562,2.3,0.34799957275390625,0.51300048828125,-1,-1,-1,-1,-1,5000
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.12967399417980047,2.1,0.693000078201294,1.0149996280670166,-1,-1,-1,-1,-1,10000
vertebral,20,FACETIndex,20,20,6,0.9,0.8666666666666667,1.0,0.9285714285714286,12.4,6.7,3.0,0.7835632240435987,0.5312280701754386,1.0,0.1248747429653502,2.05,1.371809482574463,2.046682834625244,-1,-1,-1,-1,-1,20000
