,explainer,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
0,BestCandidate,16,0.9988317001519214,0.9988028050429937,1.0,0.9994010439879384,31.9,16.45,6.25,0.6422909440979698,0.5083059046216941,0.14192139737991272,0.6771513418975774,2.769230769230769,
1,GraphMerge,16,0.9988317001519214,0.9988028050429937,1.0,0.9994010439879384,31.9,16.45,6.25,0.6422909440979698,0.5083059046216941,1.0,0.5164268049413098,1.749636098981077,
2,BestCandidate,16,0.9988889489648036,0.9988602179071948,1.0,0.9994297839926003,35.2,18.1,6.6,0.41354884139795467,0.5535468040731198,0.2110625909752547,0.7840969010060498,2.8551724137931034,
3,GraphMerge,16,0.9988889489648036,0.9988602179071948,1.0,0.9994297839926003,35.2,18.1,6.6,0.41354884139795467,0.5535468040731198,1.0,0.3444547478041543,1.3748180494905387,
4,BestCandidate,16,0.9986482919180578,0.9986279286996423,1.0,0.999313493381807,36.9,18.95,6.45,0.9096679468908396,0.5588644907723855,0.13464337700145557,0.819100193475441,2.8054054054054056,
5,GraphMerge,16,0.9986482919180578,0.9986279286996423,1.0,0.999313493381807,36.9,18.95,6.45,0.9096679468908396,0.5588644907723855,1.0,0.4610722082066479,1.9366812227074235,
6,BestCandidate,16,0.997220252085606,0.9971697135603319,1.0,0.9985828513118084,37.0,19.0,6.65,0.32781846952618376,0.5442512531328321,0.7168850072780204,0.8579594302128124,2.5228426395939088,
7,GraphMerge,16,0.997220252085606,0.9971697135603319,1.0,0.9985828513118084,37.0,19.0,6.65,0.32781846952618376,0.5442512531328321,1.0,0.3375403947537843,1.8973799126637554,
8,BestCandidate,16,0.9986111862060045,1.0,0.9985760281402928,0.9992875067850022,36.1,18.55,6.75,0.21129828529650146,0.5452464202464203,0.16011644832605532,0.771883183211853,2.2454545454545456,
9,GraphMerge,16,0.9986111862060045,1.0,0.9985760281402928,0.9992875067850022,36.1,18.55,6.75,0.21129828529650146,0.5452464202464203,1.0,0.3907984048026589,1.8442503639010188,
