explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
FACETGrow,10,10,9,0.8,0.8,0.8,0.8000000000000002,11.4,6.2,3.0,0.7232804232804232,0.4388359788359788,1.0,0.4075101479041897,3.5,0.04799985885620117,0.012999773025512695,1.4,9.4,-1,-1,-1
OCEAN,10,10,9,0.8,0.8,0.8,0.8000000000000002,11.4,6.2,3.0,0.7232804232804232,0.4388359788359788,1.0,0.03910410348525086,1.9,0.0,0.23299837112426758,-1.0,-1.0,-1,-1,-1
FACETIndex,10,10,9,0.8,0.8,0.8,0.8000000000000002,11.4,6.2,3.0,0.7232804232804232,0.4388359788359788,1.0,0.045380324428647686,1.4,1.5161957740783691,0.9500126838684082,-1.0,-1.0,-1,-1,-1
FACETBranchBound,10,10,9,0.8,0.8,0.8,0.8000000000000002,11.4,6.2,3.0,0.7232804232804232,0.4388359788359788,0.9,0.046614753224169254,1.4444444444444444,0.06699991226196289,0.25300025939941406,-1.0,-1.0,89,142.4,257
