,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,0.01,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.02631578947368418,0.01025567322235621
1,0.1,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.03947368421052633,0.20708048147623526
2,0.2,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
3,0.3,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.052631578947368474,0.4478929265036708
4,0.4,1.0,1.0,1.0,1.0,0.07894736842105265,0.6500740695750652
5,0.5,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
6,0.6,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
7,0.7,1.0,1.0,1.0,1.0,0.052631578947368474,0.4324643118547371
8,0.8,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.02631578947368418,0.25368318720282673
9,0.9,1.0,1.0,1.0,1.0,0.11842105263157898,0.7993239217817536
10,1.0,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.06578947368421051,0.5566205934128147
