,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,0.01,0.9863760217983651,0.9939024390243902,0.9908814589665653,0.9923896499238964,0.888283378746594,0.3808283944758673
1,0.1,0.989100817438692,0.9909365558912386,0.9969604863221885,0.9939393939393939,0.896457765667575,0.45442768803735184
2,0.2,0.9836512261580381,0.9908814589665653,0.9908814589665653,0.9908814589665653,1.0,0.31905379001252226
3,0.3,0.9836512261580381,0.9879154078549849,0.993920972644377,0.990909090909091,1.0,0.32529215779037285
4,0.4,0.9836512261580381,0.9938837920489296,0.9878419452887538,0.9908536585365854,1.0,0.38559316337670835
5,0.5,0.9918256130790191,0.9939393939393939,0.9969604863221885,0.9954476479514416,1.0,0.4429467072850636
6,0.6,0.997275204359673,1.0,0.9969604863221885,0.9984779299847794,1.0,0.38836261836897534
7,0.7,0.989100817438692,0.993920972644377,0.993920972644377,0.993920972644377,1.0,0.5028799379536288
8,0.8,0.9918256130790191,0.9939393939393939,0.9969604863221885,0.9954476479514416,1.0,0.489573641887833
9,0.9,0.989100817438692,0.9969418960244648,0.9908814589665653,0.9939024390243902,1.0,0.550561366562694
10,1.0,0.9863760217983651,0.9879518072289156,0.9969604863221885,0.9924357034795764,1.0,0.6023238087796767
