,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
132,134.0,1.0,1.0,1.0,1.0,0.0,
133,135.0,1.0,1.0,1.0,1.0,0.0,
134,136.0,1.0,1.0,1.0,1.0,0.0,
135,137.0,1.0,1.0,1.0,1.0,0.0,
136,138.0,1.0,1.0,1.0,1.0,0.0,
137,139.0,1.0,1.0,1.0,1.0,0.0,
138,140.0,1.0,1.0,1.0,1.0,0.0,
139,141.0,1.0,1.0,1.0,1.0,0.0,
140,142.0,1.0,1.0,1.0,1.0,0.0,
141,143.0,1.0,1.0,1.0,1.0,0.0,
142,144.0,1.0,1.0,1.0,1.0,0.0,
143,145.0,1.0,1.0,1.0,1.0,0.0,
144,146.0,1.0,1.0,1.0,1.0,0.0,
145,147.0,1.0,1.0,1.0,1.0,0.0,
146,148.0,1.0,1.0,1.0,1.0,0.0,
147,149.0,1.0,1.0,1.0,1.0,0.0,
148,150.0,1.0,1.0,1.0,1.0,0.0,
149,151.0,1.0,1.0,1.0,1.0,0.0,
150,152.0,1.0,1.0,1.0,1.0,0.0,
151,153.0,1.0,1.0,1.0,1.0,0.0,
152,154.0,1.0,1.0,1.0,1.0,0.0,
153,155.0,1.0,1.0,1.0,1.0,0.0,
154,156.0,1.0,1.0,1.0,1.0,0.0,
155,157.0,1.0,1.0,1.0,1.0,0.0,
156,158.0,1.0,1.0,1.0,1.0,0.0,
157,159.0,1.0,1.0,1.0,1.0,0.0,
158,160.0,1.0,1.0,1.0,1.0,0.0,
159,161.0,1.0,1.0,1.0,1.0,0.0,
160,162.0,1.0,1.0,1.0,1.0,0.0,
161,163.0,1.0,1.0,1.0,1.0,0.0,
162,164.0,1.0,1.0,1.0,1.0,0.0,
163,165.0,1.0,1.0,1.0,1.0,0.0,
