,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
1,3.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
2,4.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
3,5.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
4,6.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
5,7.0,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.13157894736842102,0.26556560683061453
6,8.0,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.5526315789473684,0.32095649132542114
7,9.0,0.9736842105263158,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.8552631578947368,0.3103110268562932
8,10.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
9,11.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
10,12.0,0.9605263157894737,0.9722222222222222,0.9859154929577465,0.979020979020979,0.1842105263157895,0.3351195749860792
11,13.0,0.9605263157894737,0.9722222222222222,0.9859154929577465,0.979020979020979,0.17105263157894735,0.27755846531857487
12,14.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.06578947368421051,0.2679749479188635
13,15.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
14,16.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
15,17.0,0.9736842105263158,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.052631578947368474,0.12139912640809156
16,18.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.10526315789473684,0.18608508612491814
17,19.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
18,20.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.07894736842105265,0.32259089116351425
19,21.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,
20,22.0,0.9605263157894737,0.9594594594594594,1.0,0.9793103448275862,0.02631578947368418,0.18984801017972555
21,23.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.02631578947368418,0.3519302777842557
22,24.0,0.9605263157894737,0.9722222222222222,0.9859154929577465,0.979020979020979,0.052631578947368474,0.2621638975527802
23,25.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.052631578947368474,0.3233611854325593
24,26.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.03947368421052633,0.3548564927352771
25,27.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.052631578947368474,0.32010126887343204
26,28.0,0.9736842105263158,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.07894736842105265,0.19983805216959383
27,29.0,0.9736842105263158,0.9726027397260274,1.0,0.9861111111111112,0.02631578947368418,0.1554818936573868
