,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9155313351498637,0.9155313351498637,1.0,0.9559032716927454,0.0,
1,3.0,0.9155313351498637,0.9295774647887324,0.9821428571428571,0.9551374819102749,1.0,0.10169922721780923
2,4.0,0.9591280653950953,0.9706744868035191,0.9851190476190477,0.9778434268833088,1.0,0.13512696028188717
3,5.0,0.9673024523160763,0.9709302325581395,0.9940476190476191,0.9823529411764705,1.0,0.19947738304864898
4,6.0,0.9754768392370572,0.9823008849557522,0.9910714285714286,0.9866666666666667,1.0,0.20756129702597148
5,7.0,0.9836512261580381,0.9852941176470589,0.9970238095238095,0.9911242603550295,1.0,0.21678765002608916
6,8.0,0.9863760217983651,0.9910979228486647,0.9940476190476191,0.9925705794947994,1.0,0.22828331999694712
7,9.0,0.9754768392370572,0.9823008849557522,0.9910714285714286,0.9866666666666667,1.0,0.246021578829317
8,10.0,0.9863760217983651,0.9882005899705014,0.9970238095238095,0.9925925925925925,1.0,0.2636277070830298
9,11.0,0.9809264305177112,0.9824046920821115,0.9970238095238095,0.9896602658788773,1.0,0.24610919547586357
10,12.0,0.9836512261580381,0.9824561403508771,1.0,0.9911504424778761,1.0,0.2283112405895028
11,13.0,0.9918256130790191,0.9911504424778761,1.0,0.9955555555555555,1.0,0.2577200453559001
12,14.0,0.9782016348773842,0.9823529411764705,0.9940476190476191,0.9881656804733727,1.0,0.30152526880551367
13,15.0,0.9863760217983651,0.9882005899705014,0.9970238095238095,0.9925925925925925,1.0,0.3295846194521989
14,16.0,0.9863760217983651,0.9882005899705014,0.9970238095238095,0.9925925925925925,1.0,0.25153414203831626
15,17.0,0.9945504087193461,0.9940828402366864,1.0,0.9970326409495549,1.0,0.280114412731784
16,18.0,0.9945504087193461,0.9940828402366864,1.0,0.9970326409495549,1.0,0.2925781991594808
17,19.0,0.9918256130790191,0.9911504424778761,1.0,0.9955555555555555,0.8392370572207084,0.3422908244209803
18,20.0,0.989100817438692,0.9940476190476191,0.9940476190476191,0.9940476190476191,0.9673024523160763,0.3141570630967097
