dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.21599483489990234,0.6230001449584961,-1,-1,-1,-1,-1,2
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.21699953079223633,0.6230020523071289,-1,-1,-1,-1,-1,5
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.21699762344360352,0.6284961700439453,-1,-1,-1,-1,-1,10
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.22099947929382324,0.6436536312103271,-1,-1,-1,-1,-1,20
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.22645902633666992,0.6240079402923584,-1,-1,-1,-1,-1,50
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.2296617031097412,0.6341514587402344,-1,-1,-1,-1,-1,100
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.2187976837158203,0.6309993267059326,-1,-1,-1,-1,-1,200
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.21689391136169434,0.6280405521392822,-1,-1,-1,-1,-1,300
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.21999144554138184,0.621513843536377,-1,-1,-1,-1,-1,400
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.22799921035766602,0.6263713836669922,-1,-1,-1,-1,-1,500
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.2175431251525879,0.6324319839477539,-1,-1,-1,-1,-1,750
spambase,20,FACETIndex,20,20,57,0.8,0.8333333333333334,0.625,0.7142857142857143,14.3,7.65,3.0,0.44165939411306043,0.13359710464973623,1.0,0.025833547652621976,4.35,0.21610522270202637,0.6295769214630127,-1,-1,-1,-1,-1,1000
