explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,30,0.95,1.0,0.6666666666666666,0.8,21.5,11.25,4.95,0.7536855183169767,0.2107146418705405,1.0,0.1513266853589519,6.05,0.0,2.067000389099121,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,21.5,11.25,4.95,0.7536855183169767,0.2107146418705405,1.0,0.18786175708046876,6.4,38.93844032287598,2.6640005111694336,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.95,1.0,0.8,0.888888888888889,22.3,11.65,4.9,0.5081529129668355,0.20792022827443227,1.0,0.1250418714733719,5.0,0.0,1.8319997787475586,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.8,0.888888888888889,22.3,11.65,4.9,0.5081529129668355,0.20792022827443227,1.0,0.16100702530720168,6.1,39.9752471446991,2.070138692855835,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,22.8,11.9,4.95,0.4470025716397801,0.2123055929007534,1.0,0.16099218237071403,6.2,0.0,1.864999771118164,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,22.8,11.9,4.95,0.4470025716397801,0.2123055929007534,1.0,0.19749570983430031,5.9,41.60453939437866,4.687520980834961,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,21.9,11.45,4.9,0.4017543859649123,0.199621957962556,1.0,0.1762686507317242,6.8,0.0,1.8209989070892334,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,21.9,11.45,4.9,0.4017543859649123,0.199621957962556,1.0,0.23749597509896722,6.75,38.93143343925476,3.983335018157959,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.9,1.0,0.7142857142857143,0.8333333333333333,22.9,11.95,5.0,0.4809979081432171,0.22980430566934557,1.0,0.15926700275702332,6.1,0.0,2.1259994506835938,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.9,1.0,0.7142857142857143,0.8333333333333333,22.9,11.95,5.0,0.4809979081432171,0.22980430566934557,1.0,0.21727335744719872,6.3,36.927732944488525,4.914868593215942,-1,-1,-1,-1,-1
