explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,9,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,22.1,11.55,5.0,0.5899840680052377,0.6001879699248119,1.0,0.08119793280298467,3.6,0.0,1.9054579734802246,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,22.1,11.55,5.0,0.5899840680052377,0.6001879699248119,1.0,0.10259403838061969,3.65,18.79517960548401,0.6950414180755615,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.85,0.7777777777777778,0.875,0.823529411764706,20.1,10.55,5.0,0.45338550869632827,0.5241708437761069,1.0,0.06914817225738865,2.6,0.0,1.5407683849334717,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.85,0.7777777777777778,0.875,0.823529411764706,20.1,10.55,5.0,0.45338550869632827,0.5241708437761069,1.0,0.09088929965944026,2.95,18.94692039489746,0.5008552074432373,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.9,0.8571428571428571,1.0,0.923076923076923,22.1,11.55,5.0,0.12007412557541221,0.597328738512949,1.0,0.02396003531220868,3.55,0.0,1.6682698726654053,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.9,0.8571428571428571,1.0,0.923076923076923,22.1,11.55,5.0,0.12007412557541221,0.597328738512949,1.0,0.04664471828725833,3.6,19.11920428276062,1.002000093460083,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.75,0.8333333333333334,0.7692307692307693,0.8,22.6,11.8,5.0,0.451440826677512,0.6101754385964913,1.0,0.03066353434971373,2.7,0.0,1.6736040115356445,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.75,0.8333333333333334,0.7692307692307693,0.8,22.6,11.8,5.0,0.451440826677512,0.6101754385964913,1.0,0.047933403230533043,2.7,18.68291211128235,0.433121919631958,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.8,1.0,0.75,0.8571428571428571,23.2,12.1,5.0,0.5886200730652853,0.6609962406015037,1.0,0.03925966530622815,2.9,0.0,1.806011438369751,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,1.0,0.75,0.8571428571428571,23.2,12.1,5.0,0.5886200730652853,0.6609962406015037,1.0,0.06188589006841451,3.65,17.904017686843872,0.6849994659423828,-1,-1,-1,-1,-1
