explainer,n_trees,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,ext_min,ext_avg,ext_max,max_depth
FACETBranchBound,5,20,20,6,0.85,1.0,0.8,0.888888888888889,0.18242063492063493,0.58,1.0,0.07883362663923463,1.45,0.05552411079406738,0.11799907684326172,23,50.65,91,3.0
FACETBranchBound,5,20,20,6,0.75,0.8,0.8571428571428571,0.8275862068965518,0.4633381709421881,0.5533333333333333,1.0,0.09410282890372239,2.25,0.04499983787536621,0.1250007152557373,39,58.15,91,3.0
FACETBranchBound,5,20,20,6,0.85,0.9285714285714286,0.8666666666666667,0.896551724137931,0.5301679841897233,0.545,1.0,0.0631612522127901,1.0,0.05600166320800781,0.10700058937072754,31,45.55,73,3.0
FACETBranchBound,5,20,20,6,0.7,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.8875335446464104,0.6166666666666667,1.0,0.06381100176486636,1.65,0.05699944496154785,0.12100052833557129,21,53.05,116,3.0
FACETBranchBound,5,20,20,6,0.7,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.7528158295281583,0.6933333333333334,1.0,0.08108560965534559,1.65,0.057999372482299805,0.11300086975097656,25,46.9,94,3.0
