,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,0.01,0.9986754966887417,0.9986541049798116,1.0,0.9993265993265993,1.0,0.08261172213222753
1,0.1,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.09403041647670345
2,0.2,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.09886496199530725
3,0.3,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.10835221486445515
4,0.4,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.10888142160895926
5,0.5,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.12455853571945472
6,0.6,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.11135425983552422
7,0.7,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.11150737986331576
8,0.8,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.10681007433196674
9,0.9,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.11070247459210178
10,1.0,0.9973509933774835,0.9973118279569892,1.0,0.9986541049798116,1.0,0.10778276586937606
