dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.9227566719055176,2.8769545555114746,-1,-1,-1,-1,-1,2
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8565232753753662,2.89754056930542,-1,-1,-1,-1,-1,5
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8459746837615967,2.8734970092773438,-1,-1,-1,-1,-1,10
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8545160293579102,2.844022274017334,-1,-1,-1,-1,-1,20
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8534789085388184,2.869511842727661,-1,-1,-1,-1,-1,50
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8460736274719238,2.8650336265563965,-1,-1,-1,-1,-1,100
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8379991054534912,2.842867851257324,-1,-1,-1,-1,-1,200
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8459897041320801,2.838005304336548,-1,-1,-1,-1,-1,300
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8460869789123535,2.8590004444122314,-1,-1,-1,-1,-1,400
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8489103317260742,2.830016851425171,-1,-1,-1,-1,-1,500
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8577687740325928,2.838196277618408,-1,-1,-1,-1,-1,750
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8391232490539551,2.9168756008148193,-1,-1,-1,-1,-1,1000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8429992198944092,2.8793656826019287,-1,-1,-1,-1,-1,2000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8436317443847656,2.9250032901763916,-1,-1,-1,-1,-1,3000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8756906986236572,2.9378201961517334,-1,-1,-1,-1,-1,4000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8503668308258057,2.866781711578369,-1,-1,-1,-1,-1,5000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8484096527099609,2.9829392433166504,-1,-1,-1,-1,-1,10000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8534679412841797,2.9180245399475098,-1,-1,-1,-1,-1,20000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8419451713562012,2.9335591793060303,-1,-1,-1,-1,-1,50000
magic,20,FACETIndex,20,20,10,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182,14.9,7.95,3.0,0.5819862499789095,0.48591060985797824,1.0,0.1187433630147339,2.3,0.8540239334106445,2.910428047180176,-1,-1,-1,-1,-1,100000
