,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,"[0, 0.4317133822262108]","[119, 0.3075344242930616]","[130, 0.2969645673533907]","[140, 0.29128977786701654]","[162, 0.28301078913208183]","[162, 0.28203603536775845]","[174, 0.27148782459492615]","[179, 0.27047154634838244]","[189, 0.26526857961265354]","[199, 0.2642283819170728]","[541, 0.16141949297080288]","[2075, 0.1434601739994779]","[2080, 0.14273798167976032]","[2080, 0.14152752384169046]","[2166, 0.14134005643318062]","[3499, 0.13846643556848914]","[3506, 0.13771805861648526]","[3509, 0.13646308020795347]","[3534, 0.12676506765639026]","[3548, 0.12594718046856115]","[4013, 0.12034014518426077]","[4909, 0.057430341964000854]","[4911, 0.05435211834740897]","[5105, 0.048183368010986966]",,,,,,,,,,,,
1,"[0, 0.1815092269106651]","[122, 0.12907361639974121]","[122, 0.1244502294531168]","[141, 0.11551382008310174]","[146, 0.11008917918279165]","[170, 0.1099365854262583]","[181, 0.10520659295879448]","[199, 0.10222924171132475]","[3955, 0.10077376976035167]","[3965, 0.09515265199596405]","[4021, 0.08806673039427414]","[4201, 0.0867890681980287]","[5836, 0.0861959601512326]",,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.23203600708107935]","[219, 0.23000227113667526]","[219, 0.2265625689684329]","[297, 0.22596590218701637]","[397, 0.19165672459491376]","[424, 0.1834702391550937]","[424, 0.17913927984999414]","[490, 0.1783840600468294]","[616, 0.1772991843511234]","[616, 0.17281363864325314]","[627, 0.16853126154991752]","[646, 0.163687453014266]","[651, 0.1588179309896863]","[862, 0.15830921004919354]","[1793, 0.11043226294508429]","[1793, 0.10307685302103217]","[1804, 0.09572392620032515]","[1820, 0.08691298062945561]","[1824, 0.07735256383238605]","[1991, 0.07630262062339851]","[5762, 0.07619703372770609]","[5781, 0.0758659228874487]","[5949, 0.07502669734306838]","[7890, 0.07324496989017576]","[7890, 0.07168514163820452]","[7900, 0.07133309076685644]","[8768, 0.06977643459869366]",,,,,,,,,
3,"[0, 0.46887817481963606]","[119, 0.33736267703432465]","[130, 0.32270542737125235]","[140, 0.3142333543523933]","[162, 0.28655141670123463]","[162, 0.285611949720142]","[162, 0.28339366113915593]","[174, 0.26914109944893433]","[179, 0.26814064000452725]","[183, 0.2657765681412703]","[193, 0.2589222654490635]","[203, 0.2578821648635896]","[211, 0.25542316321282504]","[233, 0.25536598698838986]","[248, 0.2471392605239702]","[857, 0.24449876240333235]","[868, 0.24339703413603353]","[877, 0.24079015257508204]","[892, 0.23320260064899642]","[907, 0.23204724596278153]","[919, 0.22931137283140898]","[2098, 0.20328487823477034]","[2100, 0.1988089396362637]","[2117, 0.19777924836196797]","[2132, 0.19442298236985409]","[2250, 0.1933940027082945]","[2829, 0.1651623397259464]","[2834, 0.1631590950085606]","[2834, 0.1596209611051101]","[2855, 0.15833662819274807]","[2872, 0.15778527142387389]","[2872, 0.15624589481875073]","[2881, 0.15412382300738625]","[3329, 0.1525116630141839]","[3354, 0.15250655285816334]","[5499, 0.15212832444034408]"
4,"[0, 0.35571940652243644]","[119, 0.1655860253503631]","[119, 0.1649705692140777]","[130, 0.14990809966724997]","[134, 0.1492279975786443]","[144, 0.14155651020693902]","[152, 0.14083608379052914]","[174, 0.13928593085803329]","[187, 0.13855369879752236]","[392, 0.11453177559499766]","[395, 0.11364015371526306]","[410, 0.0903948791439978]","[417, 0.08926248423018307]","[431, 0.07574325984256977]","[483, 0.07140984781247363]","[549, 0.06965760978336423]","[1293, 0.0618927780184525]","[1314, 0.061836970255739226]","[1340, 0.05650699889273045]","[1361, 0.056445866486668286]","[1425, 0.041913835382115475]","[1452, 0.04183138195191281]","[1476, 0.033452870571307906]","[1503, 0.03334950477935797]","[1575, 0.03327007167265317]","[1751, 0.02166154708521721]",,,,,,,,,,
