,0,1,2,3,4,5
0,"[0, 0.22338508014923364]","[213, 0.05526037529351736]","[2076, 0.02900044335503046]",,,
1,"[0, 0.3661589539082413]","[208, 0.16774991670068357]","[219, 0.14481773546104984]","[270, 0.14076774173175605]","[390, 0.12850125862300574]","[794, 0.12469515694026449]"
2,"[0, 0.3906866578272565]","[213, 0.05130070826342052]",,,,
3,"[0, 0.20322620811070247]","[294, 0.06853682927731675]","[3763, 0.042250175184668566]",,,
4,"[0, 0.6472944492661683]","[240, 0.10367919817789475]","[265, 0.07438927777920193]",,,
