,0,1
0,"[0, 0.22338508014923364]","[4260, 0.02900044335503046]"
1,"[0, 0.3661589539082413]","[9747, 0.12469515694026449]"
2,"[0, 0.3906866578272565]","[4508, 0.05130070826342052]"
3,"[0, 0.20322620811070247]","[7824, 0.042250175184668566]"
4,"[0, 0.6472944492661683]","[5457, 0.07438927777920193]"
