,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,"[0, 0.45242735077770646]","[280, 0.2574917274006129]","[280, 0.2524076663936799]","[280, 0.1355613789228404]","[321, 0.13475601355454836]","[434, 0.11860050020373117]","[493, 0.11767911616861737]","[611, 0.11765203054691087]","[1312, 0.10989116533833712]","[2552, 0.10986215967748883]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.34505476371516614]","[281, 0.2420875354992305]","[318, 0.24169092893878244]","[335, 0.24168988385243148]","[392, 0.23522149999920974]","[426, 0.23481329678933988]","[441, 0.23481222109249095]","[487, 0.23399510197588247]","[499, 0.23387973992290764]","[527, 0.23363254184055637]","[527, 0.23358475557258446]","[539, 0.23358367421807172]","[563, 0.23346919075888217]","[584, 0.23346810886910774]","[639, 0.23256372809101172]","[651, 0.23244765565884573]","[695, 0.231925157124597]","[715, 0.2318185451442786]","[715, 0.2318087649442365]","[757, 0.2315209346091775]","[757, 0.23151114183656343]","[776, 0.2315100507964603]","[815, 0.23140433911232158]","[833, 0.23139454140530774]","[868, 0.2313934498154235]","[911, 0.23131077531811936]","[982, 0.2306785643049352]","[1004, 0.2306687357704734]","[1075, 0.23026230763411215]","[1115, 0.23025246133135877]","[1359, 0.16355853421200048]","[1396, 0.16297093115270134]","[1413, 0.1629693812533163]","[1470, 0.15321283670556188]","[1504, 0.15258539778945282]","[1519, 0.1525837423970057]","[1565, 0.15132325339547317]","[1577, 0.15114480479293316]","[1605, 0.15076201072009576]","[1605, 0.15068794678205344]","[1617, 0.15068627054480183]","[1641, 0.15050874493893787]","[1662, 0.15050706670586766]","[1717, 0.1491003249261281]","[1729, 0.14891921263148103]","[1773, 0.14810232198299916]","[1793, 0.1479353140473798]","[1793, 0.1479199877449266]","[1835, 0.14746851335723837]","[1835, 0.14745313853545589]","[1854, 0.14745142552470145]","[1893, 0.14728539448803904]","[1911, 0.14727000054885456]","[1946, 0.14726828540785644]","[1989, 0.14713835002390246]","[2060, 0.14614246234162429]","[2082, 0.14612694799877063]","[2153, 0.1454845338394204]","[2193, 0.14546894932814977]","[4031, 0.13219329655359444]","[4031, 0.13219138579732342]","[4080, 0.11915471820911497]","[4080, 0.11915259836362711]","[4229, 0.10805469637545538]","[4229, 0.08865208884898716]","[4229, 0.08659611876378184]","[4243, 0.08322928281964093]","[4243, 0.08103584667499977]","[4258, 0.08103272963219438]","[4329, 0.06769026573352885]","[4329, 0.06497435650114625]","[4343, 0.06041434214206764]","[4343, 0.05735492711285671]","[4357, 0.05735052300922239]","[4534, 0.05701027554838793]","[4534, 0.05625990798416583]","[6312, 0.04931556348094164]","[6320, 0.04858429299609705]","[6320, 0.04646143097722969]","[6342, 0.045516148003813775]","[6358, 0.04472279568176503]","[6759, 0.04315154055338994]","[6787, 0.042132061577663846]","[6808, 0.04127371242415538]"
2,"[0, 0.18363823404683655]","[106, 0.12199988571386773]","[107, 0.12080503177926796]","[110, 0.07692807650089488]","[178, 0.033204954026216885]","[181, 0.028503553478054854]","[199, 0.024923672536300265]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.5537383185385955]","[277, 0.3656115984511227]","[277, 0.36080178655808]","[316, 0.24996065539101445]","[316, 0.24287119529706033]","[373, 0.24171436118869657]","[373, 0.23437559742084288]","[419, 0.23006753681886022]","[419, 0.222344686825242]","[431, 0.22225644307383502]","[479, 0.22164061399448937]","[574, 0.20657004678199362]","[574, 0.1979324947779732]","[631, 0.19651129074144627]","[631, 0.1874107138089671]","[677, 0.18199430343257222]","[677, 0.17212790228032326]","[689, 0.17201389906586742]","[737, 0.17121745458878831]","[814, 0.17115324356595385]","[829, 0.16766698749403755]","[829, 0.16062229311233253]","[902, 0.15886766802751567]","[916, 0.15510551845978898]","[916, 0.147461941551094]","[974, 0.14051396741085512]","[985, 0.12838596209567985]","[985, 0.12754094683799813]","[985, 0.127476520579502]","[1007, 0.12732254328073295]","[1065, 0.1262444664589125]","[1161, 0.11914607752778192]","[1207, 0.09451835190835324]","[1207, 0.09336732139550231]","[1207, 0.09327929504072248]","[1224, 0.0930687574415393]","[3279, 0.0832058303593977]","[3335, 0.04075710076798828]","[3335, 0.03801156560984662]","[3335, 0.03779483164183699]","[3356, 0.03727218838829727]","[3415, 0.03340436066255548]","[3530, 0.028880849519106556]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.3585158992589556]","[277, 0.33915537920570205]","[277, 0.33887111256489016]","[316, 0.2466455780604154]","[351, 0.2455514149101486]","[367, 0.2451586365013047]","[424, 0.24506679846452473]","[458, 0.24396555473523604]","[473, 0.24357021900075215]","[519, 0.23264122643226914]","[531, 0.23238023682024347]","[559, 0.23158730441143585]","[559, 0.2314808770147759]","[572, 0.23117080103542045]","[583, 0.23112075919683045]","[583, 0.23106418179876498]","[607, 0.23100362771637742]","[607, 0.230858050672792]","[617, 0.23080140887580133]","[663, 0.22646539762036094]","[663, 0.22640765688898776]","[740, 0.22542242338474883]","[740, 0.225273239660124]","[759, 0.22521519328318212]","[831, 0.2249945080473207]","[1079, 0.17293253942943873]","[1116, 0.17136837333981395]","[1133, 0.17080509087242324]","[1190, 0.17067324842051226]","[1224, 0.16908818383917124]","[1239, 0.16851727982860473]","[1285, 0.15229432771008986]","[1297, 0.151895347135422]","[1325, 0.150679466355947]","[1325, 0.15051584116061578]","[1338, 0.15003853261117914]","[1349, 0.149961419533416]","[1349, 0.1498742076779411]","[1373, 0.1497808333361936]","[1373, 0.14955621544154996]","[1383, 0.14946876715826865]","[1429, 0.14268215843652665]","[1429, 0.14259049447533143]","[1506, 0.14102088845774186]","[1506, 0.14078229478072013]","[1525, 0.14068939299868702]","[1597, 0.14033584954748296]","[3878, 0.12010834481306704]","[3878, 0.11452617727694477]","[3892, 0.10960287040018007]","[3908, 0.10884024121687781]","[3908, 0.1087200482282894]","[3983, 0.10600228173418805]","[3999, 0.10521355730628851]","[3999, 0.105089216476559]","[4149, 0.09064610323167423]","[4149, 0.08821449385292246]","[4149, 0.08716394831554386]","[4157, 0.08391606948475458]","[4157, 0.08310804304652415]","[4165, 0.08044891368851953]","[4173, 0.07946026614149329]","[4217, 0.07911892682338628]","[4410, 0.0694940747623706]","[4447, 0.06300631805007358]",,,,,,,,,,,,,,,,,,,
