,0,1,2,3,4,5,6,7,8,9
0,"[0, 0.4317133822262108]","[160, 0.05435211834740897]","[173, 0.048183368010986966]",,,,,,,
1,"[0, 0.1815092269106651]","[173, 0.0867890681980287]","[1041, 0.0861959601512326]",,,,,,,
2,"[0, 0.23203600708107935]","[238, 0.07790886488179188]","[246, 0.07324496989017576]","[284, 0.0713779861570014]","[376, 0.06977643459869366]",,,,,
3,"[0, 0.46887817481963606]","[133, 0.2916969118825018]","[663, 0.25280760284401876]","[901, 0.15958670994682603]","[1008, 0.15958182634930632]","[1353, 0.15408834993582554]","[1515, 0.1540832920704682]","[1664, 0.1525116630141839]","[1856, 0.15250655285816334]","[4139, 0.15212832444034408]"
4,"[0, 0.35571940652243644]","[152, 0.02166154708521721]",,,,,,,,
