,0,1,2,3
0,"[0, 0.45242735077770646]","[377, 0.12973404171805458]","[525, 0.1280112378906806]","[892, 0.10986215967748883]"
1,"[0, 0.34505476371516614]","[252, 0.04220559463045439]","[647, 0.04127371242415538]",
2,"[0, 0.18363823404683655]","[132, 0.024923672536300265]",,
3,"[0, 0.5537383185385955]","[211, 0.05174456523709182]","[350, 0.028880849519106556]",
4,"[0, 0.3585158992589556]","[270, 0.06300631805007358]",,
