,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417
0,"[0, 0.2736107869852276]","[250, 0.06323852106904104]","[267, 0.06193619597382364]","[331, 0.06152102750813254]","[393, 0.06150618109960371]","[499, 0.05431669315606461]","[533, 0.05279474386829068]","[620, 0.052307068681650755]","[705, 0.05228960625083896]","[857, 0.036255105343896935]","[874, 0.03393249899735361]","[938, 0.03316864396013073]","[1000, 0.03314109880427571]","[1106, 0.01629801435474864]","[1140, 0.01012951610966351]","[1227, 0.007165999620739992]","[1312, 0.007037402813914641]","[1475, 0.0037838591525595263]","[1513, 0.0033092093184427475]","[1577, 0.003210854357592156]","[1672, 0.0030206545837146485]","[1765, 0.0029125716311391445]","[1968, 0.0024154744005871723]","[2032, 0.0015709210058916954]","[2126, 0.0013514851827349048]","[2255, 0.0008007999797700904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.20343271800329693]","[329, 0.15208968209554002]","[329, 0.1520878287752665]","[353, 0.1512242677570649]","[353, 0.1512224038306256]","[372, 0.15122025821608598]","[393, 0.15121839424022485]","[477, 0.15118726030170004]","[477, 0.1511853959190052]","[496, 0.15118324977924397]","[517, 0.151181385347091]","[592, 0.15091839061814508]","[612, 0.15091652291390553]","[652, 0.15091437295052545]","[1025, 0.15083195191893722]","[1047, 0.15083008314434138]","[1091, 0.1508279319488133]","[1533, 0.15079499594390586]","[1798, 0.15063584692437093]","[4335, 0.1477175145755758]","[4335, 0.1477156063997227]","[4359, 0.14682633234921957]","[4359, 0.1468244125912848]","[4378, 0.14682220270586716]","[4399, 0.14682028289393495]","[4447, 0.14669837246460787]","[4468, 0.14669645103211312]","[4511, 0.14669423921900981]","[4713, 0.14666022297350556]","[4734, 0.1466583010411982]","[4777, 0.1466560886527308]","[4975, 0.14651127376155748]","[4995, 0.14650934987531133]","[5035, 0.14650713523754844]","[5216, 0.1463830384705666]","[5736, 0.1462939200540506]","[9676, 0.14627223475790374]","[28206, 0.11383831744786084]","[28231, 0.11267950247537466]","[28251, 0.11267412131619765]","[28338, 0.11229237120775228]","[28358, 0.11228697149597942]","[28436, 0.11226865878867767]","[28742, 0.10842028486861646]","[28767, 0.10720291940861486]","[28787, 0.10719726333264872]","[28875, 0.10715070904386738]","[28895, 0.10714505021177034]","[28973, 0.10677100448080713]","[30516, 0.10672929922303272]","[30516, 0.10672665821757936]","[30536, 0.10672361804642361]","[30558, 0.10672097690037916]","[30606, 0.10655319763048404]","[30627, 0.10655055226010486]","[30670, 0.10654750706403343]","[30718, 0.10654486155236487]","[30796, 0.1065282077199738]","[30845, 0.10652556172901523]","[30919, 0.10652251581853082]","[31354, 0.1026475759683197]","[31354, 0.10264482994201077]","[31379, 0.10136090277276535]","[31379, 0.10135812188750508]","[31399, 0.1013549206856246]","[31421, 0.10135213963622869]","[31473, 0.10117545761473642]","[31496, 0.10117267163223315]","[31543, 0.1011694645623401]","[31594, 0.10116667841479692]","[31681, 0.10112013519781746]","[31704, 0.1011173476910724]","[31751, 0.10111413886645201]","[31803, 0.10111135119439602]","[31881, 0.10090398445562274]","[31902, 0.1009011909774751]","[31944, 0.10089797527849516]","[31991, 0.10089518163397182]","[32066, 0.10071769800616917]","[32113, 0.10071489936108877]","[32184, 0.10071167771386373]","[32985, 0.10069251244015719]","[35550, 0.10068641850381156]","[35696, 0.10066503917164557]","[35696, 0.10056991922545384]","[36141, 0.10051426352457576]","[36568, 0.10039218578603698]","[36568, 0.10029680707023299]","[36950, 0.10027534467050109]","[45473, 0.09058450709897192]","[45498, 0.08912385025963433]","[45518, 0.08911704674965945]","[45605, 0.0886338932827809]","[45625, 0.08862705216096638]","[45703, 0.08860384953946576]","[46009, 0.083674061560293]","[46034, 0.08209053743723287]","[46054, 0.08208315096908131]","[46142, 0.08202234363639753]","[46162, 0.08201495102654481]","[46240, 0.08152568800595489]","[47783, 0.08147106062672445]","[47783, 0.08146760080728876]","[47803, 0.08146361798939863]","[47825, 0.08146015785385527]","[47873, 0.08124022607233898]","[47894, 0.08123675642181372]","[47937, 0.08123276228569364]","[48139, 0.08120744699246273]","[48731, 0.07604548151715342]","[48731, 0.07604177484007107]","[48756, 0.07429954924435107]","[48756, 0.07429575546130543]","[48776, 0.07429138815632005]","[48798, 0.07428759395649692]","[48850, 0.07404636135932059]","[48873, 0.07404255460346726]","[48920, 0.07403817236287204]","[49138, 0.07397075198636713]","[49161, 0.07396694133922926]","[49208, 0.07396255461858994]","[49419, 0.07367499227026979]","[49440, 0.07367116632493786]","[49482, 0.07366676199144073]","[49674, 0.07341965063023422]","[52568, 0.07337673526485383]","[52714, 0.07334739612578416]","[53275, 0.07330043517607515]","[53416, 0.07327106548499378]","[53955, 0.07297246997259943]","[62910, 0.07041246572503136]","[62910, 0.07040846249657112]","[62935, 0.06852315731354433]","[62935, 0.06851904370223719]","[62956, 0.06851430817351954]","[62978, 0.06851019403087655]","[63029, 0.06824854358049028]","[63051, 0.06824441341612093]","[63098, 0.06823965882928595]","[63148, 0.06823552812713982]","[63233, 0.06816650364901836]","[63255, 0.06816236851360125]","[63302, 0.06815760820341993]","[63353, 0.06815347252828165]","[63432, 0.06784544609866833]","[63453, 0.06784129139380864]","[63497, 0.06783650855259704]","[63545, 0.0678323533003162]","[63619, 0.06756807803222352]","[63665, 0.06756390627118145]","[63737, 0.0675591037925157]","[64160, 0.06737478951265236]","[64210, 0.06737060578268951]","[64288, 0.06736578952371503]","[65135, 0.06733713412169785]","[67761, 0.067242407734259]","[69049, 0.06704818036908906]","[70649, 0.06703537225411717]","[71437, 0.06688720757447185]","[71458, 0.06670887099811942]","[72204, 0.06667659791971986]","[79817, 0.04844326345864338]","[79817, 0.04843744456694509]","[79843, 0.045653669439176085]","[79843, 0.04564749494675372]","[79865, 0.04564038638684847]","[79888, 0.04563421009717566]","[79978, 0.04553093511158223]","[79978, 0.045524743972783166]","[80000, 0.045517616242663386]","[80023, 0.045511423292034274]","[80105, 0.04463002354214173]","[80127, 0.0446237074101253]","[80173, 0.044616435734506944]","[80222, 0.04461011767865822]","[80350, 0.04433684804175519]","[80374, 0.044330490138617194]","[80424, 0.04432317035769162]","[80477, 0.04431681049228722]","[80597, 0.04421096217369264]","[80667, 0.0441972455318535]","[80844, 0.04366505185183697]","[80844, 0.04328258455268927]","[82556, 0.03218606044526973]","[82556, 0.03217730176131776]","[82582, 0.027810973476751658]","[82582, 0.027800836451030216]","[82604, 0.027789163031726]","[82627, 0.02777901804701154]","[82680, 0.0271273083509205]","[82703, 0.027116915754161038]","[82752, 0.027104947789014164]","[82803, 0.027094546615463594]","[82891, 0.026920241032343528]","[82914, 0.02690976846596451]","[82963, 0.02689770833210024]","[83015, 0.026887226989243063]","[83097, 0.026096584332727327]","[83119, 0.026085781097898816]","[83165, 0.02607333983429073]","[83214, 0.02606252696433632]","[83291, 0.025366756325484074]","[83338, 0.025355642135998686]","[83412, 0.025342842436391164]","[83844, 0.024847322177290077]","[83895, 0.02483597554021982]","[83975, 0.024822907880852996]","[84829, 0.024745035648213665]","[87491, 0.02448608901821962]","[88788, 0.023947560383340526]","[90383, 0.02391167687043091]","[91160, 0.023493098872186372]","[91181, 0.02298044010352234]","[91922, 0.02288658706875777]","[99460, 0.01729704016145294]","[99481, 0.017280736674090656]","[99524, 0.017261950487305267]","[99720, 0.01617492537813553]","[100273, 0.015825192885453362]","[100829, 0.014379466834951877]","[102346, 0.013441955191230407]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.17687726292536343]","[250, 0.10533854514315093]","[267, 0.10456189993292961]","[329, 0.06916766113417874]","[348, 0.06459930217257484]","[367, 0.06329004111111974]","[429, 0.06327560976907354]","[512, 0.06317004946539086]","[529, 0.06183053139124328]","[588, 0.06181575931689563]","[700, 0.0611175748470365]","[738, 0.05849890955731491]","[738, 0.055895102196830825]","[776, 0.05437666698371421]","[865, 0.05435986938963892]","[971, 0.05423695933466824]","[1005, 0.05267074349706912]","[1086, 0.05265340167866552]","[1244, 0.04582016437410605]","[1263, 0.03857968322421984]","[1282, 0.036344895382223116]","[1347, 0.036319759197241265]","[1430, 0.03613554020569561]","[1447, 0.033739246118149074]","[1506, 0.03371216718666846]","[1618, 0.032414195527278256]","[1656, 0.027155930031807534]","[1656, 0.020966272107641803]","[1694, 0.016496788437610276]","[1783, 0.016441335607429223]","[1889, 0.016030279921697334]","[1923, 0.009461994347470627]","[2004, 0.009364978634914983]","[2157, 0.007245369317952597]","[2191, 0.007009183460317521]","[2247, 0.006963287454413248]","[2332, 0.006877655165914957]","[2415, 0.006830875491006766]","[2562, 0.0026156650440380146]","[2598, 0.0018641297834277011]","[2688, 0.0012839266530102911]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.2206191426101667]","[250, 0.1366671513652177]","[250, 0.13349643246895443]","[250, 0.13294029380809563]","[250, 0.13266144157485618]","[250, 0.1315442438752334]","[250, 0.131534018835122]","[267, 0.13092314509442254]","[267, 0.13091287154297154]","[329, 0.09273462997691245]","[329, 0.08799487949085252]","[329, 0.08714885571511731]","[329, 0.08672288864763744]","[329, 0.0850040553819547]","[329, 0.08498823121815029]","[348, 0.07301247246636386]","[348, 0.06688952350933834]","[348, 0.0657725823664466]","[348, 0.06520712349189461]","[348, 0.06290309189598785]","[348, 0.06288170627683735]","[367, 0.061557765007663204]","[367, 0.06153591184787985]","[430, 0.06152106903127487]","[534, 0.06151518933264698]","[650, 0.06101852942768781]","[650, 0.05854990136204758]","[650, 0.058526925117563244]","[668, 0.057270543784306585]","[668, 0.05724705406884735]","[684, 0.05659648012463074]","[700, 0.05469034383507613]","[700, 0.05392579696662461]","[714, 0.05390084964726414]","[753, 0.05313749308597878]","[753, 0.05235027259861417]","[770, 0.052324574105868916]","[862, 0.052307117519142805]","[992, 0.05230020197897837]","[1152, 0.05144067701876654]","[1152, 0.042302842360813574]","[1152, 0.04051363607044572]","[1152, 0.0395890271487531]","[1152, 0.0356668065093107]","[1152, 0.03562907661986151]","[1171, 0.0332367349364555]","[1171, 0.03319624321286305]","[1237, 0.033168720976974736]","[1341, 0.03315781408852099]","[1457, 0.03222705462829515]","[1457, 0.027265602249042984]","[1457, 0.027216228251070576]","[1475, 0.024397485564043163]","[1475, 0.024342294798540443]","[1491, 0.02277023669168239]","[1507, 0.017503023318740294]","[1507, 0.014943684116814595]","[1521, 0.01485340732608149]","[1560, 0.011786232984289758]","[1560, 0.007474834957825503]","[1577, 0.007292679333282431]","[1669, 0.007166356093506147]","[1799, 0.007115704008701435]","[1963, 0.00434041440057202]","[1981, 0.004018608139648287]","[2020, 0.0039335065012724695]","[2059, 0.0035752604949719794]","[2125, 0.003484423481626122]","[2222, 0.0033099811793657202]","[2732, 0.0031988371775181494]","[3873, 0.0027687791305069692]","[3933, 0.0026437473194381206]","[3991, 0.002073502857579595]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.2871282660851124]","[329, 0.16188905447785024]","[329, 0.1618876578804658]","[329, 0.16188731334290749]","[353, 0.1507640970885182]","[353, 0.15076259743453121]","[353, 0.1507622274728272]","[377, 0.15022652049270535]","[377, 0.15022501547224285]","[377, 0.1502246441866233]","[401, 0.15022248432117105]","[401, 0.1502209792602713]","[401, 0.15022060796467585]","[458, 0.15022034986983915]","[458, 0.15021884478755407]","[458, 0.15021847348668282]","[536, 0.15005582932126874]","[559, 0.1500551969504655]","[559, 0.15005432258880153]","[623, 0.15005178855839407]","[646, 0.15005115617056158]","[646, 0.15005028178535146]","[771, 0.1500496516789206]","[796, 0.15004901928208217]","[796, 0.1500481448844196]","[816, 0.15004777316114273]","[935, 0.14996889346194198]","[959, 0.14996826072455652]","[959, 0.1499673858560243]","[1026, 0.14996485035660378]","[1050, 0.14996421760215944]","[1050, 0.1499633427100401]","[1180, 0.14996271223831265]","[1206, 0.1499620794748467]","[1206, 0.14996120457025322]","[1227, 0.1499608326314685]","[1352, 0.14983316182645431]","[1352, 0.14983165285480507]","[1376, 0.14982911505842816]","[1376, 0.14982760604602238]","[1433, 0.1498269750031152]","[1433, 0.1498254659691552]","[1433, 0.14982509369340122]","[1511, 0.14981316392002236]","[1511, 0.14979942368700108]","[1511, 0.1496665162335773]","[1534, 0.14966138799105874]","[1603, 0.14965733657822955]","[1712, 0.14965582812751604]","[1737, 0.14965519406650038]","[1737, 0.14965431736780263]","[1976, 0.1496537714583339]","[2455, 0.14900937881915213]","[2455, 0.14900786150522383]","[2455, 0.14900748718679183]","[2478, 0.14846544872292228]","[2478, 0.1484639258499823]","[2478, 0.1484635501601353]","[2501, 0.14846136467370197]","[2501, 0.1484598417588686]","[2501, 0.14845946605868646]","[2556, 0.14845920490212228]","[2556, 0.14845768196513343]","[2556, 0.1484573062594855]","[2631, 0.14829273049764502]","[2653, 0.14829209060835458]","[2653, 0.14829120585097944]","[2714, 0.1482886416915552]","[2736, 0.14828800178462082]","[2736, 0.14828711700284963]","[2856, 0.1482864794042897]","[2880, 0.14828583948802432]","[2880, 0.1482849546933512]","[2899, 0.14828457855006766]","[3014, 0.14820476042068534]","[3037, 0.14820412015157342]","[3037, 0.1482032348690241]","[3101, 0.14820066918753103]","[3124, 0.1482000289007437]","[3124, 0.14819914359375488]","[3249, 0.14819850561670453]","[3274, 0.14819786532056956]","[3274, 0.14819698000065581]","[3294, 0.14819660363408046]","[3415, 0.14806741163424816]","[3415, 0.1480658846674556]","[3438, 0.14806331660592081]","[3438, 0.1480617895968961]","[3493, 0.14806115102800446]","[3493, 0.1480596239966451]","[3493, 0.1480592472809108]","[3568, 0.14804717521412197]","[3568, 0.14803327106468703]","[3568, 0.1478987764880058]","[3590, 0.14789358694873714]","[3656, 0.14788948710724142]","[3761, 0.14788796062454193]","[3785, 0.14788731898386462]","[3785, 0.1478864318048699]","[4015, 0.1478858793693863]","[4468, 0.1472274870707776]","[4468, 0.14722595139263445]","[4468, 0.1472255725437274]","[4489, 0.14667694923744856]","[4489, 0.14667540779522462]","[4489, 0.14667502752431108]","[4510, 0.14667281538814317]","[4510, 0.14667127390247453]","[4510, 0.1466708936208431]","[4560, 0.14667062927960978]","[4560, 0.1466690877709652]","[4560, 0.14666870748366562]","[4630, 0.14650212248139471]","[4651, 0.14650147477108497]","[4651, 0.14650057919968765]","[4708, 0.14649798369886474]","[4729, 0.14649733597025616]","[4729, 0.14649644037355725]","[4839, 0.14649579498137563]","[4862, 0.14649514724308962]","[4862, 0.14649425163300986]","[4879, 0.14649387089184854]","[4986, 0.1464130765487125]","[5008, 0.14641242844447466]","[5008, 0.14641153232839796]","[5068, 0.1464089352489745]","[5090, 0.14640828712640439]","[5090, 0.14640739098497993]","[5205, 0.14640674520024957]","[5229, 0.1464060970679844]","[5229, 0.14640520091315465]","[5247, 0.14640481994040752]","[5357, 0.14627404541193317]","[5357, 0.14627249972384646]","[5378, 0.14626990017584462]","[5378, 0.1462683544439532]","[5428, 0.14626770804536435]","[5428, 0.14626616229030664]","[5428, 0.14626578095541107]","[5498, 0.1462535608523339]","[5498, 0.14623948616983548]","[5498, 0.14610334034427652]","[5519, 0.1460980870294682]","[5582, 0.14609393680077667]","[5681, 0.14609239155682427]","[5704, 0.14609174202993724]","[5704, 0.1460908439467814]","[5925, 0.14609028472134306]","[6878, 0.1459871296391401]","[6904, 0.14598647964391895]","[6904, 0.14598558091320346]","[6925, 0.1459851988453879]","[6977, 0.14598297625598117]","[7002, 0.1459823262422668]","[7002, 0.14598142748598103]","[7023, 0.14598104540729492]","[7128, 0.1459424103617241]","[7177, 0.1459417601673323]","[7196, 0.145940861161226]","[7333, 0.14593825570586053]","[7382, 0.14593760549295853]","[7401, 0.14593670646125845]","[7658, 0.1458114757974269]","[7713, 0.1458108250191764]","[7734, 0.145809925205776]","[7780, 0.1458095426776861]","[7858, 0.145807317410694]","[7911, 0.1458066666138834]","[7932, 0.14580576677482016]","[7978, 0.14580538423582037]","[8138, 0.14580520645598868]","[8187, 0.14580430660791402]","[10397, 0.10498645588739099]","[10397, 0.10498430232223038]","[10397, 0.10498377103842021]","[10422, 0.08685564420910635]","[10422, 0.08685304108244711]","[10422, 0.08685239888817818]","[10447, 0.08591913302290675]","[10447, 0.08591650152152566]","[10447, 0.08591585232691516]","[10472, 0.08591207572679878]","[10472, 0.0859094440092449]","[10472, 0.08590879476130225]","[10531, 0.08590834345440267]","[10531, 0.08590571162251079]","[10531, 0.08590506234635975]","[10618, 0.08565142589944176]","[10618, 0.08564878617293965]","[10618, 0.08564813494910388]","[10642, 0.0856443465436384]","[10642, 0.08564170659892995]","[10642, 0.08564105532126033]","[10699, 0.08564060260343354]","[10699, 0.08563796254331138]","[10699, 0.08563731123716795]","[10777, 0.08562033562978166]","[10800, 0.08561769494471826]","[10866, 0.08561325370312543]","[10889, 0.08561061279961789]","[11018, 0.08560950840314481]","[11043, 0.08560686738409774]","[11065, 0.08560621584137725]","[11196, 0.07814786528743761]","[11196, 0.07814497209209222]","[11221, 0.07710566345874065]","[11221, 0.07710273115592566]","[11246, 0.0770977994088796]","[11246, 0.07709486680695551]","[11305, 0.07709364041919564]","[11305, 0.07709070765905973]","[11305, 0.0770899841402019]","[11386, 0.07706679595148366]","[11386, 0.07704008236923031]","[11386, 0.07678133260106772]","[11386, 0.07678040554265876]","[11410, 0.07677133586118162]","[11482, 0.07676343756105256]","[11595, 0.07676049665702242]","[11621, 0.07675926045489244]","[11621, 0.07675755116809763]","[12118, 0.07470656500025241]","[12118, 0.07470353852681488]","[12142, 0.07361565962868237]","[12142, 0.0736125883042866]","[12166, 0.07360742271568323]","[12166, 0.07360435104758178]","[12223, 0.07360306650023271]","[12223, 0.07359999465032627]","[12223, 0.0735992368159482]","[12301, 0.07357494847691748]","[12301, 0.07354696660373719]","[12301, 0.07327588307996859]","[12301, 0.07327491167138031]","[12324, 0.07326540803860847]","[12393, 0.07325713174389956]","[12502, 0.07325405007360475]","[12527, 0.07325275469724983]","[12527, 0.07325096358735882]","[13004, 0.07108592566214031]","[13004, 0.07108274503375425]","[13026, 0.06993856815572089]","[13026, 0.06993533534603799]","[13048, 0.06992989812627842]","[13048, 0.06992666491576767]","[13100, 0.06992531280833915]","[13100, 0.06992207938580242]","[13100, 0.06992128168874212]","[13173, 0.06989571529419712]","[13173, 0.06986625988070087]","[13173, 0.06958083798184402]","[13173, 0.0695798149864958]","[13195, 0.06956980658425171]","[13261, 0.06956109059272617]","[13364, 0.06955784517430505]","[13388, 0.06955648096217819]","[13388, 0.06955459466910124]","[14356, 0.06935195556109026]","[14380, 0.0693505872988593]","[14380, 0.06934869540544952]","[14399, 0.06934789111285063]","[14449, 0.06934321218711102]","[14473, 0.06934184375235466]","[14473, 0.06933995162038317]","[14492, 0.06933914722636159]","[14581, 0.06933649093208588]","[14608, 0.06933512236467526]","[14608, 0.06933323004927437]","[14630, 0.06933242557726921]","[14684, 0.06932774560776148]","[14710, 0.06932637686770998]","[14710, 0.06932448431358768]","[14732, 0.06932367974009196]","[14841, 0.06924228546697461]","[14892, 0.0692409150375648]","[14912, 0.06923902014746004]","[15055, 0.06923352824296379]","[15106, 0.06923215764020742]","[15126, 0.06923026251040537]","[15382, 0.06898143369121834]","[15433, 0.06898005807945669]","[15452, 0.06897815602338415]","[15494, 0.06897734741020634]","[15567, 0.06897264334774487]","[15618, 0.0689712675606624]","[15637, 0.06896936526216253]","[15679, 0.06896855654591853]","[15798, 0.06896588597795102]","[15855, 0.06896451005606438]","[15877, 0.06896260757116218]","[15925, 0.06896179877567063]","[16006, 0.06895709365252427]","[16061, 0.06895571755519818]","[16083, 0.06895381482770462]","[16131, 0.06895300592907715]","[16400, 0.05282322725830586]","[16400, 0.052818946906134]","[16400, 0.052817890904834255]","[16425, 0.051268780231362096]","[16425, 0.05126437008978146]","[16425, 0.05126328206488588]","[16450, 0.05125695233518052]","[16450, 0.05125254117584163]","[16450, 0.05125145289982824]","[16509, 0.05125069640583792]","[16509, 0.051246284708003395]","[16509, 0.05124519629912362]","[16596, 0.050818866236972675]","[16596, 0.050814417047740465]","[16596, 0.050813319388361824]","[16620, 0.050806933600548894]","[16620, 0.050802483366278066]","[16620, 0.050801385449049816]","[16677, 0.05080062225291128]","[16677, 0.05079617146570556]","[16677, 0.05079507341204785]","[16755, 0.05076644837252472]","[16778, 0.05076199458896974]","[16844, 0.05075450341240154]","[16867, 0.050750048580566455]","[16996, 0.05074818554423281]","[17021, 0.05074373015774713]","[17043, 0.05074263096927697]","[17174, 0.03678966235217788]","[17174, 0.036783516284847335]","[17199, 0.03452062781028658]","[17199, 0.034514077688773695]","[17224, 0.03450305900489975]","[17224, 0.034496505547460435]","[17283, 0.03449376465519521]","[17283, 0.034487209431590275]","[17283, 0.03448559208916587]","[17364, 0.03443372540448357]","[17364, 0.03437389559624495]","[17364, 0.033789990278180644]","[17364, 0.03378788366114252]","[17388, 0.03376726842541619]","[17460, 0.03374930744761101]","[17573, 0.03374261777095113]","[17599, 0.03373980546158753]","[17599, 0.033735916592363135]","[18096, 0.02876562638185891]","[18096, 0.028757765480493653]","[18120, 0.025800305222415]","[18120, 0.025791540548407526]","[18144, 0.025776793552516133]","[18144, 0.02576802088130581]","[18201, 0.025764351442282365]","[18201, 0.02575557453313384]","[18201, 0.02575340884026391]","[18279, 0.025683914234104196]","[18279, 0.025603646295303158]","[18279, 0.024814218669000753]","[18279, 0.024811349972388545]","[18302, 0.024783268994778562]","[18371, 0.024758791536478815]","[18480, 0.024749671900652553]","[18505, 0.024745837584111297]","[18505, 0.024740535028174422]","[18982, 0.017308935098586994]","[18982, 0.01729586796137944]","[19004, 0.011738557095153306]","[19004, 0.01171928056522878]","[19026, 0.011686789933742996]","[19026, 0.011667427876177836]","[19078, 0.011659321521762613]","[19078, 0.011639913772799687]","[19078, 0.011635120970586544]","[19151, 0.011480480107174073]","[19151, 0.011299764454243747]","[19151, 0.009374615792627713]","[19151, 0.009367019833369874]","[19173, 0.009292383718613425]","[19239, 0.009226902592593816]","[19342, 0.00920240361516218]","[19366, 0.009192086316262196]","[19366, 0.00917780183849733]","[20334, 0.007488934981103639]","[20358, 0.007476253453466015]","[20358, 0.007458683626590739]","[20377, 0.007451201836183453]","[20427, 0.0074075288342645255]","[20451, 0.0073947077007631016]","[20451, 0.007376943657154728]","[20470, 0.00736937888039462]","[20559, 0.00734434352266999]","[20586, 0.007331411891869764]","[20586, 0.007313494108109998]","[20608, 0.0073058636335022395]","[20662, 0.007261316551304402]","[20688, 0.0072482367930078]","[20688, 0.0072301128862986815]","[20710, 0.007222394319794036]","[20819, 0.006394099130742394]","[20870, 0.0063792415100092726]","[20890, 0.006358641205802986]","[21033, 0.006298558563117694]","[21084, 0.006283475035542672]","[21104, 0.006262559721343841]","[21360, 0.0021974078137002415]","[21411, 0.002153791923323983]","[21430, 0.0020919883819194318]","[21472, 0.0020651544136109476]","[21545, 0.001901561826229553]","[21596, 0.00185098782498379]","[21615, 0.001778693809892102]","[21657, 0.001747054387052497]","[21776, 0.0016382416572342901]","[21833, 0.0015792575080595633]","[21855, 0.0014938708169961554]","[21903, 0.0014560554178477054]","[21984, 0.0012129187964411926]","[22039, 0.0011319852278298952]","[22061, 0.0010094485113839931]","[22109, 0.0009525931235875337]","[22388, 0.000894290934523051]","[22433, 0.0007330429841969513]","[23564, 0.00061152015250427]"
