,0,1
0,"[0, 0.2736107869852276]","[267, 0.0008007999797700904]"
1,"[0, 0.20343271800329693]","[348, 0.013441955191230407]"
2,"[0, 0.17687726292536343]","[281, 0.0012839266530102911]"
3,"[0, 0.2206191426101667]","[246, 0.002073502857579595]"
4,"[0, 0.2871282660851124]","[315, 0.00061152015250427]"
