,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
0,"[0, 0.7339699012226546]","[271, 0.5447545110613676]","[271, 0.5385371017724918]","[271, 0.5370887235423375]","[292, 0.5298477428028108]","[292, 0.5234533056701801]","[292, 0.49447450295831247]","[309, 0.49428959463983335]","[345, 0.46909313679110554]","[380, 0.46889821952941924]","[444, 0.46679257004707236]","[481, 0.4665966917419063]","[535, 0.46208568895381014]","[774, 0.45573743518482684]","[813, 0.4555368032576345]","[880, 0.45336910161090194]","[919, 0.4531674211467732]","[976, 0.44852137382765017]","[1201, 0.42929144020787907]","[1230, 0.4290784426291952]","[1272, 0.4241686234512418]","[1479, 0.4088447817119855]","[1720, 0.4062031363736045]","[1948, 0.4055534159327252]","[1948, 0.4028240814678969]","[3040, 0.3828976526212605]","[3081, 0.37714518804783637]","[3168, 0.3598243005693717]","[4344, 0.3537894328819925]","[4517, 0.35282080494057516]","[4868, 0.319000773707326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.5555991983262253]","[271, 0.3345322229238795]","[271, 0.33424494856806775]","[271, 0.33296410471310983]","[292, 0.32392432704576735]","[292, 0.32362763652217846]","[292, 0.3092928183380661]","[328, 0.30444446465877884]","[400, 0.303945369907676]","[436, 0.29901032168502223]","[490, 0.2945815944456759]","[564, 0.29048042135284263]","[659, 0.27732612617151725]","[750, 0.27134944383600706]","[832, 0.2690312028617871]","[1667, 0.25593469973864225]","[4751, 0.24758405096416958]","[4796, 0.2414999935356003]","[4872, 0.23535026241033755]","[5567, 0.23356172792260113]","[64581, 0.23058697061211406]","[64594, 0.229433070524562]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.5515770245023645]","[271, 0.3917828284725041]","[271, 0.39143739940603856]","[271, 0.38999009290532405]","[292, 0.37740719081707347]","[292, 0.3770485918927186]","[292, 0.35561566666018124]","[328, 0.341397801399497]","[392, 0.33845892164957236]","[446, 0.33427154091896477]","[524, 0.332198897134669]","[576, 0.32917790038408007]","[618, 0.32487091517311784]","[695, 0.316766589296506]","[737, 0.31228847804344156]","[828, 0.28899621224690447]","[919, 0.2855184644411615]","[997, 0.2824507890716447]","[1826, 0.2646348517127877]","[3837, 0.24784396886048918]","[4272, 0.24652817289634685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.4680599337319014]","[271, 0.3371551469691788]","[271, 0.3346623208440519]","[271, 0.3344993597545994]","[292, 0.33361630802237985]","[292, 0.33109683907189746]","[292, 0.33079393627461723]","[309, 0.33063142988325156]","[346, 0.3305967477836101]","[420, 0.3298138009921363]","[438, 0.32964844305470375]","[481, 0.3287523616806985]","[499, 0.32619532672243384]","[513, 0.32588786815131504]","[550, 0.3257229140831158]","[781, 0.3193189726941852]","[796, 0.3166857783156489]","[808, 0.31651356190675006]","[841, 0.31554385018821246]","[855, 0.312878885923163]","[865, 0.3125583284591425]","[892, 0.3123863358723636]","[944, 0.31155762953190813]","[973, 0.3113825769099027]","[1020, 0.310396835879096]","[1045, 0.3076872951369182]","[1066, 0.30736132323590515]","[1278, 0.30657071796066726]","[1537, 0.3053909696031167]","[1594, 0.3026366140770979]","[2780, 0.302398375432687]","[2792, 0.3017702682768359]","[3170, 0.29999600810113625]","[3170, 0.2998142050672829]","[3188, 0.29864877534147233]","[3188, 0.29583165293436703]","[3188, 0.29549260280171713]","[3221, 0.2954537959292278]","[3281, 0.2952208696166739]","[3281, 0.2945774587587624]","[3298, 0.2943923094992125]","[3333, 0.2938517449217707]","[3333, 0.2932053296669666]","[3347, 0.29098818508401325]","[3347, 0.2903353943459756]","[3361, 0.28998991817421294]","[3406, 0.28995037482497443]","[3478, 0.2834480990495693]","[3478, 0.28277790261326935]","[3491, 0.2804783426928593]","[3491, 0.2798010330060956]","[3504, 0.27969563330147335]","[3504, 0.2796060992803769]","[3533, 0.2789957958008215]","[3533, 0.27831487819748135]","[3545, 0.2759781330820474]","[3545, 0.275289751518282]","[3557, 0.2751826239202459]","[3557, 0.274925369370764]","[3603, 0.27467503536340243]","[3616, 0.27398337979416115]","[3646, 0.27387574120404606]","[3657, 0.27378430394553543]","[3699, 0.27316099356732293]","[3710, 0.2724654946194696]","[3733, 0.27007814475000674]","[3744, 0.26937468630728983]","[3768, 0.2692652054012639]","[3777, 0.2690022919155233]","[3943, 0.26880248571539184]","[4149, 0.26851852732354814]","[4149, 0.26745911275943535]","[4251, 0.26538175404674236]","[4251, 0.2643097668702065]","[4351, 0.26393022618797657]","[4930, 0.26238518903713376]","[6284, 0.26132881637398103]","[6369, 0.2599438198373614]","[6392, 0.25670228930914735]","[6581, 0.25582184233231264]","[6747, 0.2544068674751359]","[6795, 0.2510938670764978]","[7759, 0.24799024956647384]","[7775, 0.24777028991295902]","[7810, 0.2465768356228911]","[7824, 0.24315717495216305]","[7838, 0.24274456361239152]","[7867, 0.2425230655297725]","[8050, 0.24140720414311445]","[8081, 0.24118124076242978]","[8132, 0.2411352996056246]","[8132, 0.23995501703017508]","[8161, 0.2376373467719519]","[8161, 0.23643960341463566]","[8187, 0.23601524843857813]","[8583, 0.2268587693032487]","[8608, 0.22313712616842404]","[8632, 0.22300494678669625]","[8641, 0.22289264177673734]","[8681, 0.22151346748880962]","[8704, 0.21770046427105866]","[8726, 0.21756498192601798]","[8734, 0.21723950740251657]","[8875, 0.21579724605948183]","[9063, 0.21411793621990025]","[9099, 0.21017080310068725]","[17718, 0.20702636312464873]","[37382, 0.2046576481254334]","[37444, 0.19808654729576136]","[37444, 0.18588749533493185]","[37545, 0.18132687828011843]","[38282, 0.17671303261918525]","[38786, 0.17190919627055384]"
4,"[0, 0.6410308919652722]","[271, 0.2694006284382881]","[271, 0.26761148991375067]","[292, 0.26123953134805117]","[292, 0.23841005980891453]","[309, 0.23653389102278036]","[309, 0.23455584982861147]","[345, 0.23405442391208908]","[380, 0.23012727657440313]","[450, 0.22900049546995158]","[486, 0.22848687837484472]","[521, 0.22446234352383698]","[579, 0.22303492975966605]","[774, 0.218989245900317]","[774, 0.19881598923831975]","[774, 0.19117937571592367]","[793, 0.1888345272544633]","[793, 0.1863508620046128]","[831, 0.18571933241819497]","[868, 0.18074501515834934]","[941, 0.17930818164970447]","[979, 0.1786517580952429]","[1016, 0.17347489945595332]","[1077, 0.17162394056173888]","[1454, 0.1675407341450454]","[1515, 0.16455955136665476]","[3060, 0.16418056583200746]","[3632, 0.16394118432660834]","[3649, 0.16107413512062252]","[3690, 0.1572619671698519]","[3905, 0.15689016694644484]","[4560, 0.15685359474152955]","[6731, 0.15578948974730925]","[9999, 0.1526709963123528]","[10016, 0.1495880951194046]","[10053, 0.14657940914650452]","[10085, 0.14336557561766342]","[10136, 0.1425437299083398]","[10323, 0.1387861351394721]","[10353, 0.13538743070683262]","[10408, 0.1320555995695894]","[10696, 0.13201214745825623]","[22036, 0.1305612246427518]","[22069, 0.1224737703187427]","[22161, 0.11982185498398831]","[30438, 0.11270736080364575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
