,0,1,2,3,4
0,"[0, 0.7339699012226546]","[217, 0.3763217329582552]","[366, 0.319000773707326]",,
1,"[0, 0.5555991983262253]","[232, 0.2616807433691279]","[240, 0.24379117571725867]","[318, 0.23356172792260113]","[353, 0.229433070524562]"
2,"[0, 0.5515770245023645]","[231, 0.24652817289634685]",,,
3,"[0, 0.4680599337319014]","[253, 0.20031088762279795]","[334, 0.18109074986286233]","[631, 0.17190919627055384]",
4,"[0, 0.6410308919652722]","[229, 0.1224737703187427]","[356, 0.12188999083761105]","[9882, 0.11982185498398831]","[10724, 0.11270736080364575]"
