,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,"[0, 0.22338508014923364]","[280, 0.1775636270606067]","[293, 0.17647562035622838]","[304, 0.16884331916446146]","[380, 0.16426234737281284]","[423, 0.16382808590729245]","[540, 0.14868981595147207]","[553, 0.14738882010817533]","[564, 0.13815891624950094]","[644, 0.13799824336829938]","[657, 0.13659545416277155]","[668, 0.1265809620136076]","[744, 0.12040262572819914]","[788, 0.11980949565817128]","[930, 0.11928580052895921]","[1036, 0.11515194476651767]","[1104, 0.11453162598658809]","[1191, 0.1127082718605386]","[1250, 0.11207442845453033]","[1427, 0.07173793069293566]","[1454, 0.06792733239583015]","[1454, 0.05774871214409764]","[1522, 0.05557134895220763]","[1531, 0.046331520378534725]","[1531, 0.04253194202309932]","[3707, 0.02900044335503046]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.3661589539082413]","[300, 0.3608544193452805]","[429, 0.35635190844781994]","[447, 0.35436526368798876]","[516, 0.3534634267123491]","[606, 0.34905139604692]","[624, 0.34098393054079823]","[668, 0.33890721199364626]","[1737, 0.33643291941533965]","[1754, 0.3280552896556868]","[1886, 0.3273548121771909]","[2412, 0.3230960287042545]","[2429, 0.32090356996879116]","[2493, 0.3199074165024831]","[2579, 0.3150257738540782]","[2596, 0.30606274192901844]","[2638, 0.30374736122535007]","[3617, 0.2528145953787926]","[3631, 0.20800807514508704]","[3709, 0.1952371730830595]","[3725, 0.18041817413501515]","[3842, 0.171235184035281]","[3924, 0.1554724499051099]","[3941, 0.136399583885894]","[5811, 0.12850125862300574]","[9156, 0.12469515694026449]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.3906866578272565]","[292, 0.3715189071958258]","[310, 0.36883774311453765]","[390, 0.36295712511041156]","[404, 0.35049206137941336]","[445, 0.3476487702147607]","[573, 0.34324563393717306]","[589, 0.3300369307191353]","[633, 0.32701583750692004]","[717, 0.3261482251090939]","[882, 0.31746824432359816]","[923, 0.314326372574356]","[1054, 0.3117509403602875]","[1111, 0.3094494567467346]","[1127, 0.29473000645069153]","[1170, 0.2913430264212097]","[1254, 0.29036884441298033]","[1407, 0.21135010224597484]","[1419, 0.20660069714603832]","[1495, 0.1959092697751139]","[1510, 0.17171852668071041]","[1553, 0.16583797739733466]","[1673, 0.1603688570818717]","[1690, 0.12971114348166582]","[1736, 0.1218193871482135]","[1907, 0.11728914170888285]","[1907, 0.1165415174766303]","[2019, 0.1148479408795224]","[2019, 0.11408431994457255]","[2193, 0.10843191592036298]","[2224, 0.10718181573099439]","[2224, 0.10709221404961572]","[2269, 0.10653701131392038]","[2269, 0.10644686686961846]","[2278, 0.10190903326224329]","[2725, 0.0753293628095243]","[2725, 0.05530196734412778]","[2725, 0.0536981389349789]","[2839, 0.05130070826342052]",,,,,,,,,,,,,,,,
3,"[0, 0.20322620811070247]","[271, 0.19575123859337598]","[271, 0.19515151577160997]","[285, 0.1735369014329077]","[285, 0.17286012511869492]","[366, 0.10129428768564658]","[440, 0.09240915487483484]","[455, 0.09113187478482676]","[573, 0.07396225126478904]","[654, 0.06461559947634585]","[732, 0.04953882197455066]","[748, 0.047113284535705596]","[900, 0.04454924510849876]","[964, 0.04452712253428891]","[1320, 0.042250175184668566]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.6472944492661683]","[292, 0.39506170829350823]","[306, 0.3910756779734754]","[323, 0.3843527994849782]","[406, 0.3839835770319639]","[443, 0.3784063963473524]","[482, 0.3751080204060059]","[482, 0.37295671135189007]","[615, 0.3667245311229913]","[703, 0.36510910969773275]","[721, 0.3578987993187424]","[771, 0.3567071356934651]","[862, 0.35150515910644486]","[904, 0.347951868876674]","[904, 0.3456315735349921]","[985, 0.34439746620019335]","[1160, 0.34291851924441313]","[1288, 0.34090346919636155]","[1328, 0.3372384934826356]","[1328, 0.3348439682239209]","[1404, 0.3335699524189504]","[1530, 0.32647810470560096]","[1580, 0.3251713132381146]","[1671, 0.3194562241948199]","[1713, 0.3155422402042776]","[1713, 0.31298176771601016]","[1794, 0.31161838364171845]","[1947, 0.25897117588942764]","[1960, 0.2528487739424128]","[1971, 0.24232084320938582]","[2053, 0.2417347803110468]","[2078, 0.23277396198535055]","[2119, 0.2238057754486799]","[2236, 0.21325852458728517]","[2316, 0.20237044717918484]","[2400, 0.2016683189046449]","[2425, 0.19083533272471565]","[2467, 0.17978718519955875]","[2638, 0.17791914224984445]","[2638, 0.17450931552797555]","[2750, 0.1720521179959178]","[2927, 0.13118517045287348]","[2954, 0.12770207280326293]","[2954, 0.1180752465397457]","[2954, 0.11801977231852386]","[3013, 0.11257830728608044]","[3043, 0.111766788802361]","[3043, 0.11170818184844854]","[3085, 0.10855985865044718]","[3085, 0.10849951945930245]","[3093, 0.10299422383293767]","[3093, 0.09698499971681915]","[3531, 0.09269455326248775]","[5647, 0.08317543008402492]","[5647, 0.07444470124688127]"
