,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9880794701986755,0.9958904109589041,0.9918144611186903,0.9938482570061516,1.0,0.08524530079178702
1,3.0,0.9933774834437086,0.9959128065395095,0.9972714870395635,0.9965916837082481,1.0,0.08305043732438525
2,4.0,0.990728476821192,0.9959016393442623,0.9945429740791268,0.9952218430034131,1.0,0.08214454521584577
3,5.0,0.9920529801324504,0.9959072305593452,0.9959072305593452,0.9959072305593452,1.0,0.08310625219333678
4,2.0,0.9867549668874173,0.9959183673469387,0.9905277401894452,0.9932157394843962,1.0,0.0847362138022796
5,3.0,0.9933774834437086,0.9946091644204852,0.9986468200270636,0.9966239027683997,1.0,0.09226281875637099
6,4.0,0.9947019867549669,0.9972936400541272,0.9972936400541272,0.9972936400541272,1.0,0.08520974571254285
7,5.0,0.9960264900662251,0.9972972972972973,0.9986468200270636,0.997971602434077,1.0,0.09183831743681281
8,2.0,0.9854304635761589,0.9932157394843962,0.991869918699187,0.9925423728813559,1.0,0.02557382500341135
9,3.0,0.9801324503311258,0.9878542510121457,0.991869918699187,0.9898580121703855,1.0,0.06794782809242603
10,4.0,0.9814569536423841,0.9918478260869565,0.989159891598916,0.9905020352781547,1.0,0.05658438236251
11,5.0,0.9854304635761589,0.9932157394843962,0.991869918699187,0.9925423728813559,1.0,0.12172417689260587
12,2.0,0.9894039735099338,0.9932432432432432,0.9959349593495935,0.9945872801082545,1.0,0.11040393440250816
13,3.0,0.9867549668874173,0.9918918918918919,0.994579945799458,0.993234100135318,1.0,0.12674870295877072
14,4.0,0.9880794701986755,0.9919028340080972,0.9959349593495935,0.9939148073022313,1.0,0.0966416451485448
15,5.0,0.9973509933774835,0.9986449864498645,0.9986449864498645,0.9986449864498645,1.0,0.08561426763840241
16,2.0,0.9867549668874173,0.9905020352781547,0.9959072305593452,0.9931972789115647,1.0,0.06769132441866646
17,3.0,0.9973509933774835,0.9986357435197817,0.9986357435197817,0.9986357435197817,1.0,0.08690266278083761
18,4.0,0.9973509933774835,0.9986357435197817,0.9986357435197817,0.9986357435197817,1.0,0.08597381156352149
19,5.0,0.9973509933774835,0.9986357435197817,0.9986357435197817,0.9986357435197817,1.0,0.09016784048767199
