,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9427792915531336,0.9436619718309859,0.9970238095238095,0.9696092619392186,1.0,0.21307092392081242
1,3.0,0.9427792915531336,0.9538904899135446,0.9851190476190477,0.9692532942898975,1.0,0.19934224820698904
2,4.0,0.9591280653950953,0.9652173913043478,0.9910714285714286,0.9779735682819383,1.0,0.14834500575406878
3,5.0,0.9645776566757494,0.9708454810495627,0.9910714285714286,0.9808541973490427,1.0,0.16728244696118455
4,6.0,0.9754768392370572,0.990990990990991,0.9821428571428571,0.9865470852017937,1.0,0.12632770303178756
5,7.0,0.9836512261580381,0.9852941176470589,0.9970238095238095,0.9911242603550295,1.0,0.18067044931016535
6,8.0,0.9809264305177112,0.9852507374631269,0.9940476190476191,0.9896296296296296,1.0,0.23080769407443866
7,9.0,0.9700272479564033,0.9850746268656716,0.9821428571428571,0.9836065573770492,1.0,0.2661474010112016
8,10.0,0.9782016348773842,0.9880952380952381,0.9880952380952381,0.9880952380952381,1.0,0.23176272521949928
9,11.0,0.9836512261580381,0.9940119760479041,0.9880952380952381,0.991044776119403,1.0,0.21061508895218317
10,12.0,0.9754768392370572,0.9880597014925373,0.9851190476190477,0.9865871833084948,1.0,0.2202865876345964
11,13.0,0.989100817438692,0.9911242603550295,0.9970238095238095,0.9940652818991098,1.0,0.24035941919780215
12,14.0,0.9863760217983651,0.9882005899705014,0.9970238095238095,0.9925925925925925,1.0,0.3826802761293491
13,15.0,0.9809264305177112,0.9881305637982196,0.9910714285714286,0.9895988112927192,1.0,0.24704000165353013
14,16.0,0.9836512261580381,0.9852941176470589,0.9970238095238095,0.9911242603550295,0.9591280653950953,0.3367568423335641
15,17.0,0.9809264305177112,0.9795918367346939,1.0,0.9896907216494846,0.9400544959128065,0.43851123413456883
16,18.0,0.9836512261580381,0.9881656804733728,0.9940476190476191,0.9910979228486648,1.0,0.23147132894754152
17,19.0,0.9918256130790191,0.9911504424778761,1.0,0.9955555555555555,0.8310626702997275,0.3613400359898965
18,20.0,0.9836512261580381,0.9824561403508771,1.0,0.9911504424778761,0.9782016348773842,0.29518544118290835
19,2.0,0.9400544959128065,0.9460227272727273,0.9910714285714286,0.9680232558139535,1.0,0.025572990641799152
20,3.0,0.9645776566757494,0.9708454810495627,0.9910714285714286,0.9808541973490427,1.0,0.045626058194604455
21,4.0,0.9645776566757494,0.9736070381231672,0.9880952380952381,0.980797636632201,1.0,0.11358822525381845
22,5.0,0.9673024523160763,0.9792899408284024,0.9851190476190477,0.9821958456973294,1.0,0.17082058219328436
23,6.0,0.9700272479564033,0.9793510324483776,0.9880952380952381,0.9837037037037037,1.0,0.17969123368925977
24,7.0,0.9754768392370572,0.9823008849557522,0.9910714285714286,0.9866666666666667,1.0,0.2422931934017201
25,8.0,0.9836512261580381,0.9881656804733728,0.9940476190476191,0.9910979228486648,1.0,0.2497172725464905
26,9.0,0.9809264305177112,0.9881305637982196,0.9910714285714286,0.9895988112927192,1.0,0.26713710819757264
27,10.0,0.9782016348773842,0.9823529411764705,0.9940476190476191,0.9881656804733727,1.0,0.2851107376674769
28,11.0,0.9809264305177112,0.9852507374631269,0.9940476190476191,0.9896296296296296,1.0,0.27860985969571295
29,12.0,0.9836512261580381,0.9910714285714286,0.9910714285714286,0.9910714285714286,1.0,0.23877028296152109
30,13.0,0.9809264305177112,0.9852507374631269,0.9940476190476191,0.9896296296296296,1.0,0.25659433347796573
31,14.0,0.9836512261580381,0.9881656804733728,0.9940476190476191,0.9910979228486648,1.0,0.2490511625875401
32,15.0,0.9863760217983651,0.9882005899705014,0.9970238095238095,0.9925925925925925,1.0,0.30496796548049926
33,16.0,0.9918256130790191,0.9940652818991098,0.9970238095238095,0.9955423476968797,1.0,0.2824470358951925
34,17.0,0.9863760217983651,0.9882005899705014,0.9970238095238095,0.9925925925925925,1.0,0.3278761962909312
35,18.0,0.9727520435967303,0.9851190476190477,0.9851190476190477,0.9851190476190477,1.0,0.2522254106000677
36,19.0,0.9836512261580381,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9536784741144414,0.2762284451457919
37,20.0,0.997275204359673,0.9970326409495549,1.0,0.9985141158989599,1.0,0.2856193898540365
38,2.0,0.9373297002724795,0.9425287356321839,0.9909365558912386,0.9661266568483062,1.0,0.11583353426231749
39,3.0,0.9291553133514986,0.9420289855072463,0.9818731117824774,0.9615384615384615,1.0,0.030760442509337054
40,4.0,0.9346049046321526,0.9501466275659824,0.9788519637462235,0.9642857142857143,1.0,0.07117204883832619
41,5.0,0.9727520435967303,0.9706744868035191,1.0,0.9851190476190477,1.0,0.12762287939049724
42,6.0,0.9727520435967303,0.9734513274336283,0.9969788519637462,0.9850746268656716,1.0,0.15595494945459645
43,7.0,0.9645776566757494,0.9649122807017544,0.9969788519637462,0.9806835066864785,1.0,0.2309271344082265
44,8.0,0.9645776566757494,0.9649122807017544,0.9969788519637462,0.9806835066864785,1.0,0.27458592435603757
45,9.0,0.9754768392370572,0.9763313609467456,0.9969788519637462,0.9865470852017937,1.0,0.28033653430426886
46,10.0,0.9754768392370572,0.9791666666666666,0.9939577039274925,0.9865067466266866,1.0,0.2314598173654093
47,11.0,0.9727520435967303,0.9762611275964391,0.9939577039274925,0.9850299401197605,1.0,0.3098083991748857
48,12.0,0.9754768392370572,0.9791666666666666,0.9939577039274925,0.9865067466266866,1.0,0.2622481728107436
49,13.0,0.9809264305177112,0.9821428571428571,0.9969788519637462,0.9895052473763118,1.0,0.32940343734384875
50,14.0,0.9836512261580381,0.9850746268656716,0.9969788519637462,0.990990990990991,1.0,0.22130314049682073
51,15.0,0.9754768392370572,0.9849397590361446,0.9879154078549849,0.9864253393665159,1.0,0.24548157206255317
52,16.0,0.9782016348773842,0.982089552238806,0.9939577039274925,0.987987987987988,1.0,0.25911335373643757
53,17.0,0.9809264305177112,0.9850299401197605,0.9939577039274925,0.9894736842105264,0.9945504087193461,0.32261350822924684
54,18.0,0.9782016348773842,0.984984984984985,0.9909365558912386,0.9879518072289156,1.0,0.29896278797331477
55,19.0,0.9809264305177112,0.9821428571428571,0.9969788519637462,0.9895052473763118,0.8664850136239782,0.35479193561812633
56,20.0,0.9809264305177112,0.9850299401197605,0.9939577039274925,0.9894736842105264,0.989100817438692,0.2817153805558503
57,2.0,0.9237057220708447,0.9552238805970149,0.960960960960961,0.9580838323353293,1.0,0.03514582428820354
58,3.0,0.9400544959128065,0.9641791044776119,0.96996996996997,0.967065868263473,1.0,0.06610469087540942
59,4.0,0.9836512261580381,0.9823008849557522,1.0,0.9910714285714286,1.0,0.08626222138691962
60,5.0,0.9782016348773842,0.9821958456973294,0.993993993993994,0.9880597014925374,1.0,0.0660405201063073
61,6.0,0.9809264305177112,0.9880239520958084,0.990990990990991,0.9895052473763118,1.0,0.1214352148050146
62,7.0,0.9836512261580381,0.9880597014925373,0.993993993993994,0.9910179640718564,1.0,0.1804021852312145
63,8.0,0.9836512261580381,0.9880597014925373,0.993993993993994,0.9910179640718564,1.0,0.23174629560074875
64,9.0,0.9809264305177112,0.9909638554216867,0.987987987987988,0.9894736842105263,1.0,0.22975717162691645
65,10.0,0.989100817438692,0.9969788519637462,0.990990990990991,0.9939759036144578,1.0,0.24493203372300076
66,11.0,0.9945504087193461,0.9940298507462687,1.0,0.997005988023952,1.0,0.22038353818091116
67,12.0,0.989100817438692,0.993993993993994,0.993993993993994,0.993993993993994,1.0,0.2558654534275048
68,13.0,0.9863760217983651,0.9939759036144579,0.990990990990991,0.9924812030075187,1.0,0.3172137737323055
69,14.0,0.9836512261580381,0.9939577039274925,0.987987987987988,0.9909638554216867,1.0,0.2374159870624745
70,15.0,0.9863760217983651,0.9939759036144579,0.990990990990991,0.9924812030075187,1.0,0.3707371314415382
71,16.0,0.9863760217983651,0.9939759036144579,0.990990990990991,0.9924812030075187,1.0,0.2249080723429969
72,17.0,0.989100817438692,0.9969788519637462,0.990990990990991,0.9939759036144578,0.9945504087193461,0.32129674667973457
73,18.0,0.989100817438692,0.9969788519637462,0.990990990990991,0.9939759036144578,0.9945504087193461,0.25972297169053454
74,19.0,0.9836512261580381,0.9880597014925373,0.993993993993994,0.9910179640718564,1.0,0.2697346189748365
75,20.0,0.989100817438692,0.993993993993994,0.993993993993994,0.993993993993994,0.997275204359673,0.3544042241440937
76,2.0,0.9182561307901907,0.9183098591549296,0.9969418960244648,0.9560117302052786,1.0,0.2541955701274964
77,3.0,0.9073569482288828,0.9246376811594202,0.9755351681957186,0.9494047619047619,1.0,0.1652945572285262
78,4.0,0.9182561307901907,0.9279538904899135,0.9847094801223242,0.9554896142433236,1.0,0.06381695273790045
79,5.0,0.9209809264305178,0.930635838150289,0.9847094801223242,0.9569093610698366,1.0,0.0674681573756886
80,6.0,0.9373297002724795,0.9367816091954023,0.9969418960244648,0.965925925925926,1.0,0.09184582733729141
81,7.0,0.9618528610354223,0.9589442815249267,1.0,0.9790419161676647,1.0,0.182056096292304
82,8.0,0.9618528610354223,0.9643916913946587,0.9938837920489296,0.9789156626506025,1.0,0.1513902866294526
83,9.0,0.9673024523160763,0.9646017699115044,1.0,0.9819819819819819,1.0,0.1805369248225964
84,10.0,0.9618528610354223,0.9671641791044776,0.9908256880733946,0.9788519637462235,1.0,0.16735559995637275
85,11.0,0.9782016348773842,0.9761194029850746,1.0,0.9879154078549849,1.0,0.17720338489794155
86,12.0,0.9727520435967303,0.9788519637462235,0.9908256880733946,0.9848024316109422,1.0,0.2304040870842795
87,13.0,0.9836512261580381,0.9878419452887538,0.9938837920489296,0.9908536585365854,1.0,0.2732342599833177
88,14.0,0.9836512261580381,0.9878419452887538,0.9938837920489296,0.9908536585365854,1.0,0.25461336752800356
89,15.0,0.989100817438692,0.9879154078549849,1.0,0.9939209726443768,1.0,0.33761494653871515
90,16.0,0.9836512261580381,0.9878419452887538,0.9938837920489296,0.9908536585365854,1.0,0.22470669337443153
91,17.0,0.9836512261580381,0.9848942598187311,0.9969418960244648,0.9908814589665653,1.0,0.2571391097723763
92,18.0,0.9863760217983651,0.9878787878787879,0.9969418960244648,0.9923896499238966,1.0,0.32607179014487186
93,19.0,0.9809264305177112,0.9819277108433735,0.9969418960244648,0.9893778452200304,1.0,0.2993067165489289
94,20.0,0.989100817438692,0.9879154078549849,1.0,0.9939209726443768,1.0,0.26469389933710935
