,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.966068824986386,0.966068824986386,1.0,0.9827416138324411,1.0,0.5187717733612734,0.9960264900662251
1,11.0,0.9981344528958139,0.9980695191248486,1.0,0.9990338269731491,1.0,0.10761942217819896,1.9337748344370862
2,21.0,0.9968240026700862,0.9967470781276988,1.0,0.9983708893790638,1.0,0.08514454731438108,2.2781456953642385
3,31.0,0.9962443128919494,0.9969875526103699,0.9991815107588257,0.9980833260120809,1.0,0.07186591100386683,1.8821192052980134
4,41.0,0.9919721748906495,0.9928397856983192,0.9989154052357996,0.9958683289786546,1.0,0.08313423370299676,1.9086092715231788
5,51.0,0.9976812408874524,0.9976374232162545,1.0,0.998817314515493,1.0,0.08841164804123501,1.6317880794701987
6,61.0,0.9905563265234423,0.990354251593271,1.0,0.9951537529567875,1.0,0.0899748932484329,2.390728476821192
7,71.0,0.9974072057196058,0.9993065638069647,0.9980305588018872,0.9986681537145518,1.0,0.08366553116695467,1.8847682119205298
8,81.0,0.9986192843466194,0.9985862393967955,1.0,0.9992926196651734,1.0,0.02876791728020888,0.9986754966887417
9,91.0,1.0,1.0,1.0,1.0,1.0,0.08020127511220083,1.2105960264900661
