,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.9968886540891148,0.9966804146567122,1.0,0.9983374478364588,1.0,0.24730842685313337,1.0
1,11.0,1.0,1.0,1.0,1.0,1.0,0.01925355485756316,1.0958248472505092
2,21.0,0.9999765822486808,0.9999748985017919,1.0,0.9999874490933726,1.0,0.023065101030729864,1.3804480651731161
3,31.0,0.9996968552386796,1.0,0.9996709896799266,0.9998354677735631,1.0,0.009889620698879449,1.025458248472505
4,41.0,0.9999439550362581,1.0,0.9999397943623192,0.9999698962749526,1.0,0.010492772147449684,2.180549898167006
5,51.0,0.9999201846704372,1.0,0.9999146364142378,0.9999573163853057,1.0,0.01662704836784185,1.3715885947046844
6,61.0,0.9999065364150181,1.0,0.9998995335914989,0.9999497642722479,1.0,0.010356426493173053,1.305600814663951
7,71.0,0.9998310769116528,0.9998190615220597,1.0,0.9999095225756061,1.0,0.015516820615460659,1.610285132382892
8,81.0,0.9998071198675663,0.9997919677679123,1.0,0.9998959730634783,1.0,0.02162440885512898,1.4638492871690427
9,91.0,0.9999609220163991,1.0,0.9999578902600059,0.999978944686686,1.0,0.014959221171692755,1.129938900203666
