,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.9834858378098724,0.9834858378098724,1.0,0.9916741718668572,1.0,0.010504502031165527,0.9810771470160117
1,11.0,0.9969371885107994,0.9968799105768763,1.0,0.9984375177462612,1.0,0.3177630193283958,2.2561863173216885
2,21.0,0.998676916324499,0.9986444036027581,1.0,0.9993217420793823,1.0,0.36455419672220074,1.7656477438136826
3,31.0,0.9985645390251375,0.998517548546453,1.0,0.9992582244501055,1.0,0.3949281843801838,1.2263464337700145
4,41.0,0.998178639619783,0.9981425782052419,1.0,0.9990704257969286,1.0,0.3982132991775332,2.064774381368268
5,51.0,0.999659687612311,0.9996537889083026,1.0,0.9998268644834332,1.0,0.3136039242112264,1.4512372634643378
6,61.0,1.0,1.0,1.0,1.0,1.0,0.41875450551112836,1.6011644832605532
7,71.0,1.0,1.0,1.0,1.0,1.0,0.37296422468250695,1.7954876273653566
8,81.0,0.9990702368722642,0.9990553060668309,1.0,0.9995274298163227,1.0,0.43760363742149605,2.3064046579330424
9,91.0,0.9990066270801727,0.9989804900393768,1.0,0.999489985037021,1.0,0.49840536461853785,1.8617176128093158
