,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.922649795382596,0.922649795382596,1.0,0.9597689580270067,1.0,0.5305171077748927,0.9979166666666667
1,11.0,0.9822282063161146,0.9946610129662605,0.9862262005604375,0.9904256486333162,1.0,0.01571374800773753,1.6145833333333333
2,21.0,0.9782150027024941,0.9855511910504675,0.9908326606278888,0.9881848690316472,1.0,0.01464337500958663,1.5395833333333333
3,31.0,0.98491236197977,0.9975683316636157,0.9861923918149942,0.9918477438923268,1.0,0.011260888347014495,1.3805555555555555
4,41.0,0.9903048027179369,0.9984316215472206,0.9910404696896096,0.9947223160652279,1.0,0.012052918760780506,1.4930555555555556
5,51.0,0.9848004015133967,0.9961291412764341,0.9875525837928167,0.9918223219246727,1.0,0.013243490357453133,1.1923611111111112
6,61.0,0.9909456798702803,0.9992108147606868,0.9910697553061184,0.99512363490627,1.0,0.014051991881398582,1.5784722222222223
7,71.0,0.9832483978071191,0.9950814470623084,0.9867353349145009,0.9908908168138854,1.0,0.016212267182462044,1.525
8,81.0,0.9832696316886727,0.9947359419243268,0.9870639260795776,0.9908850839083397,1.0,0.008607097300259332,1.0097222222222222
9,91.0,0.9912593622114122,0.9997667305180579,0.9908008009988535,0.9952635735542549,1.0,0.011137801474579018,1.351388888888889
