dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects,cover_xtrain,cover_xtest
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.34836355241940753,6.15,0.13101768493652344,0.02700066566467285,-1,-1,-1,-1,-1,100,0.013013473545842919,0.0
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.26942985596613,4.85,1.1117901802062988,0.22800874710083008,-1,-1,-1,-1,-1,1000,0.03128491620111732,0.0
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.23416943878914598,5.5,5.480972528457642,1.1069300174713135,-1,-1,-1,-1,-1,5000,0.09884981925731186,0.05
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.22266675558834637,4.85,11.017283201217651,2.2267913818359375,-1,-1,-1,-1,-1,10000,0.18935261255340124,0.15
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.20788514398862262,4.85,21.997086763381958,4.397109508514404,-1,-1,-1,-1,-1,20000,0.12967466316135393,0.1
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.21886507278629566,5.0,34.30297827720642,6.880014657974243,-1,-1,-1,-1,-1,30000,0.25829773250082155,0.2
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.20489089357754922,4.95,44.19607472419739,8.901291131973267,-1,-1,-1,-1,-1,40000,0.2843904042063753,0.2
magic,100,FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,14.96,7.98,3.0,0.8517113367535268,0.4537202982202982,1.0,0.20308951679368112,5.05,54.59793949127197,11.03453540802002,-1,-1,-1,-1,-1,50000,0.2865593164640158,0.15
