explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
FACETGrow,10,10,57,0.6,0.0,0.0,0.0,14.8,7.9,3.0,0.45770655270655275,0.14090304756971425,1.0,0.049883660852265976,6.4,0.0690004825592041,0.01600027084350586,1.9,10.0,-1,-1,-1
OCEAN,10,10,57,0.6,0.0,0.0,0.0,14.8,7.9,3.0,0.45770655270655275,0.14090304756971425,1.0,0.004175763152131829,2.4,0.0,0.2890019416809082,-1.0,-1.0,-1,-1,-1
FACETIndex,10,10,57,0.6,0.0,0.0,0.0,14.8,7.9,3.0,0.45770655270655275,0.14090304756971425,1.0,0.05872536191459915,7.6,1.9229986667633057,0.20252585411071777,-1.0,-1.0,-1,-1,-1
FACETBranchBound,10,10,57,0.6,0.0,0.0,0.0,14.8,7.9,3.0,0.45770655270655275,0.14090304756971425,1.0,0.003479424846907607,3.0,0.15593838691711426,1.5830082893371582,-1.0,-1.0,142,211.4,273
