explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
OCEAN,3772,6,1.0,1.0,1.0,1.0,29.5,15.25,6.75,0.0,0.8150877192982455,0.050000000000000044,0.06464639597151235,4.0,87.76685500144958
GraphMerge,3772,6,1.0,1.0,1.0,1.0,29.5,15.25,6.75,0.0,0.8150877192982455,1.0,0.07315087569131784,1.95,1.0180003643035889
OCEAN,3772,6,1.0,1.0,1.0,1.0,20.9,10.95,5.6,0.015789473684210527,0.7635087719298246,0.050000000000000044,0.08443622866544416,1.0,32.88350033760071
GraphMerge,3772,6,1.0,1.0,1.0,1.0,20.9,10.95,5.6,0.015789473684210527,0.7635087719298246,1.0,0.0736775414330452,1.1,0.9889991283416748
OCEAN,3772,6,1.0,1.0,1.0,1.0,25.2,13.1,6.2,0.0,0.7994736842105262,0.0,,,21.64122486114502
GraphMerge,3772,6,1.0,1.0,1.0,1.0,25.2,13.1,6.2,0.0,0.7994736842105262,1.0,0.09759945505648288,1.9,0.9959990978240967
OCEAN,3772,6,1.0,1.0,1.0,1.0,27.9,14.45,6.25,0.0,0.7970175438596492,0.050000000000000044,0.06298236615563667,2.0,49.234638690948486
GraphMerge,3772,6,1.0,1.0,1.0,1.0,27.9,14.45,6.25,0.0,0.7970175438596492,1.0,0.07684612014069106,1.5,1.02089524269104
OCEAN,3772,6,1.0,1.0,1.0,1.0,25.5,13.25,5.7,0.0,0.7814035087719297,0.0,,,42.4302875995636
GraphMerge,3772,6,1.0,1.0,1.0,1.0,25.5,13.25,5.7,0.0,0.7814035087719297,1.0,0.1133446714444507,1.85,1.0120196342468262
