,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,1.0,1.0,1.0,1.0,1.0,0.3996135027661421,7.3,4.15,2.3,0.0,0.7394736842105263,1.5595432300163132
1,3.0,1.0,1.0,1.0,1.0,0.5872756933115824,0.3863522995311134,8.5,4.75,2.9,0.015789473684210527,0.6228070175438596,1.0
2,4.0,1.0,1.0,1.0,1.0,1.0,0.37370500510452676,5.0,3.0,1.8,0.0,0.6004385964912281,1.0
3,5.0,1.0,1.0,1.0,1.0,0.47960848287112556,0.3965962309550423,5.7,3.35,2.1,0.0,0.38754385964912286,1.030612244897959
4,6.0,1.0,1.0,1.0,1.0,1.0,0.3624834581420349,6.7,3.85,2.35,0.005263157894736842,0.43999999999999995,1.0
5,7.0,1.0,1.0,1.0,1.0,0.07177814029363783,0.2329184235541873,6.2,3.6,2.15,0.0,0.27403508771929824,1.1590909090909092
6,8.0,1.0,1.0,1.0,1.0,0.564437194127243,0.2467747381153426,4.6,2.8,1.7,0.0,0.3325438596491228,1.0722543352601157
7,9.0,1.0,1.0,1.0,1.0,1.0,0.3594296937555952,4.0,2.5,1.4,0.0,0.38140350877192986,1.0
8,10.0,1.0,1.0,1.0,1.0,0.3458401305057096,0.5528083071963351,5.0,3.0,1.9,0.0,0.27947368421052626,1.9245283018867925
9,11.0,1.0,1.0,1.0,1.0,0.01631321370309946,0.42857757418418113,5.8,3.4,2.1,0.0,0.24675438596491225,1.8
10,12.0,1.0,1.0,1.0,1.0,0.004893964110929905,0.30167571583994796,5.6,3.3,1.95,-0.015789473684210527,0.2132205513784461,1.3333333333333333
11,13.0,1.0,1.0,1.0,1.0,0.0,,5.8,3.4,2.1,0.0,0.19869674185463657,
12,14.0,1.0,1.0,1.0,1.0,0.0538336052202284,0.5872997824495354,6.8,3.9,2.45,-0.03689378930140408,0.17304947976000606,3.0303030303030303
13,15.0,1.0,1.0,1.0,1.0,0.01794453507340943,0.3035797172754818,6.0,3.5,2.15,-0.005263157894736842,0.214156223893066,2.4545454545454546
14,16.0,1.0,1.0,1.0,1.0,0.0,,5.1,3.05,1.85,0.005263157894736842,0.16578947368421051,
15,17.0,1.0,1.0,1.0,1.0,0.0,,5.9,3.45,2.15,-0.005263157894736842,0.16687134502923975,
16,18.0,1.0,1.0,1.0,1.0,0.0,,4.8,2.9,1.8,0.0,0.14820802005012532,
17,19.0,1.0,1.0,1.0,1.0,0.0,,5.0,3.0,1.8,0.0,0.1905012531328321,
18,20.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.75,0.0,0.18878446115288222,
19,21.0,1.0,1.0,1.0,1.0,0.0,,4.8,2.9,1.8,0.0,0.18359649122807017,
20,22.0,1.0,1.0,1.0,1.0,0.0,,5.3,3.15,1.9,-0.005263157894736842,0.11499582289055972,
21,23.0,1.0,1.0,1.0,1.0,0.0,,5.0,3.0,1.85,0.0,0.1363721804511278,
22,24.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.75,0.0,0.11825814536340852,
23,25.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.6,0.0,0.14566416040100252,
24,26.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45,0.0,0.15666666666666668,
25,27.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3,0.0,0.16842105263157894,
26,28.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.55,0.0,0.10675438596491227,
27,29.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.6,0.0,0.08710526315789473,
28,30.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.12763157894736843,
29,31.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.55,0.0,0.10359649122807017,
30,32.0,1.0,1.0,1.0,1.0,0.0,,5.0,3.0,1.6,0.0,0.09053884711779449,
31,33.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.45,0.0,0.0819298245614035,
32,34.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.5,0.0,0.17928153717627401,
33,35.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,0.0,0.14473684210526316,
34,36.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.11710526315789474,
35,37.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.55,0.0,0.09736842105263158,
36,38.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.35,0.0,0.11421052631578947,
37,39.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.12280701754385964,
38,40.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.12824561403508772,
39,41.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.45,0.0,0.07798245614035088,
40,42.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6,0.0,0.09338345864661654,
41,43.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.45,-0.005263157894736842,0.09187552213868005,
42,44.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.55,0.0,0.08701754385964912,
43,45.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4,0.0,0.09298245614035086,
44,46.0,1.0,1.0,1.0,1.0,0.0,,5.4,3.2,2.05,-0.005263157894736842,0.11735797827903091,
45,47.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.45,0.0,0.11947368421052632,
46,48.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.65,0.0,0.1006140350877193,
47,49.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3,0.0,0.10631578947368422,
48,50.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.8,-0.005263157894736842,0.1269360902255639,
49,51.0,1.0,1.0,1.0,1.0,0.0,,5.0,3.0,1.9,0.0,0.08944862155388471,
50,52.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.12456140350877191,
51,53.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3,0.0,0.09912280701754388,
52,54.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.55,0.0,0.0981578947368421,
53,55.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.14078947368421052,
54,56.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.6,0.0,0.0731140350877193,
55,57.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3,0.0,0.1786842105263158,
56,58.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.07675438596491227,
57,59.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.5,0.0,0.10706766917293233,
58,60.0,1.0,1.0,1.0,1.0,0.0,,4.8,2.9,1.8,0.0,0.06230576441102757,
59,61.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.6,0.07894736842105263,0.10364035087719298,
60,62.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.55,0.0,0.06596491228070174,
61,63.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.45,0.0,0.08837719298245612,
62,64.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.5,0.0,0.08280701754385965,
63,65.0,1.0,1.0,1.0,1.0,0.0,,4.5,2.75,1.7,0.0,0.06324561403508772,
64,66.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.09421052631578947,
65,67.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.07105263157894738,
66,68.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45,0.0,0.06228070175438596,
67,69.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.45,0.0,0.09228070175438595,
68,70.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.07280701754385965,
69,71.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.07368421052631578,
70,72.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,0.0,0.07105263157894737,
71,73.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.04473684210526316,
72,74.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.04473684210526316,
73,75.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4,0.0,0.07412280701754385,
74,76.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4,0.0,0.09561403508771929,
75,77.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.45,0.0,0.06961152882205512,
76,78.0,1.0,1.0,1.0,1.0,0.0,,4.8,2.9,1.75,0.0,0.055720551378446115,
77,79.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.11842105263157894,
78,80.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.55,0.0,0.05587719298245614,
79,81.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.08114035087719298,
80,82.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2,0.0,0.09210526315789473,
81,83.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3,0.0,0.07280701754385964,
82,84.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.09210526315789473,
83,85.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4,0.0,0.05473684210526316,
84,86.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6,0.0,0.08824561403508771,
85,87.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.05263157894736842,
86,88.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.5,0.0,0.06219298245614035,
87,89.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45,0.0,0.08833333333333332,
88,90.0,1.0,1.0,1.0,1.0,0.0,,4.7,2.85,1.8,0.0,0.0431265664160401,
89,91.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.1,0.0,0.09298245614035086,
90,92.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.07342105263157894,
91,93.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.5,0.0,0.06842105263157895,
92,94.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.5,0.0,0.05649122807017543,
93,95.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4,0.0,0.05078947368421053,
94,96.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.5,0.0,0.04122807017543859,
95,97.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.05,
96,98.0,1.0,1.0,1.0,1.0,0.0,,4.5,2.75,1.65,0.0,0.04754803675856307,
97,99.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.7,0.0,0.05578947368421053,
98,100.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.05745614035087719,
99,101.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6,0.0,0.060000000000000005,
100,102.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15,0.0,0.06140350877192982,
101,103.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.05526315789473684,
102,104.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.5,0.0,0.09736842105263158,
103,105.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,0.0,0.03859649122807018,
104,106.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.45,0.0,0.075,
105,107.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.3,0.0,0.04912280701754386,
106,108.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.046491228070175444,
107,109.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.5,0.0,0.042631578947368416,
108,110.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.4,0.0,0.08210526315789475,
109,111.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,-0.005263157894736842,0.06315789473684211,
110,112.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,0.0,0.09210526315789473,
111,113.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.6,0.0,0.06773182957393482,
112,114.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.35,-0.005263157894736842,0.06303258145363408,
113,115.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.07280701754385964,
114,116.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.08026315789473684,
115,117.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.049736842105263156,
116,118.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3,0.0,0.06654135338345864,
117,119.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4,0.0,0.041578947368421056,
118,120.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.6,0.0,0.06767543859649124,
119,121.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6,0.005263157894736842,0.060087719298245613,
120,122.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.3,0.0,0.05,
121,123.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,-0.005263157894736842,0.07894736842105263,
122,124.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4,0.0,0.04473684210526316,
123,125.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4,0.0,0.04429824561403509,
124,126.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.35,0.0,0.054561403508771936,
125,127.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.04035087719298246,
126,128.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.04298245614035087,
127,129.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15,-0.005263157894736842,0.060526315789473685,
128,130.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3,0.0,0.02850877192982456,
129,131.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.3,0.0,0.051754385964912275,
130,132.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,0.0,0.039473684210526314,
131,133.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3,0.0,0.038157894736842106,
132,134.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6,0.0,0.0431578947368421,
133,135.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2,0.0,0.06973684210526315,
134,136.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,-0.005263157894736842,0.045087719298245614,
135,137.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3,0.0,0.035964912280701755,
136,138.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4,0.005263157894736842,0.0425438596491228,
137,139.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.04473684210526316,
138,140.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15,0.0,0.05263157894736842,
139,141.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2,0.0,0.07105263157894735,
140,142.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35,0.0,0.037894736842105266,
141,143.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.05701754385964913,
142,144.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1,0.0,0.06315789473684211,
143,145.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.02894736842105263,
144,146.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2,0.0,0.038157894736842106,
145,147.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.044035087719298247,
146,148.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15,0.0,0.04912280701754386,
147,149.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45,-0.005263157894736842,0.021929824561403504,
148,150.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05,0.0,0.07105263157894737,
149,151.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2,0.0,0.04649122807017543,
150,152.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25,0.0,0.02631578947368421,
151,153.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25,0.0,0.04517543859649122,
152,154.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.04473684210526316,
153,155.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.02807017543859649,
154,156.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35,0.0,0.02166666666666667,
155,157.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05,0.0,0.060526315789473685,
156,158.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.03333333333333333,
157,159.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.15,0.0,0.03859649122807018,
158,160.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.04122807017543859,
159,161.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.02763157894736842,
160,162.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05,0.0,0.05,
161,163.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.051754385964912275,
162,164.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2,0.0,0.04122807017543859,
163,165.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2,0.0,0.02807017543859649,
164,166.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.05,0.0,0.042105263157894736,
165,2.0,0.9918433931484503,0.9983221476510067,0.993322203672788,0.9958158995815899,1.0,0.32019004730157596,46.7,23.85,12.35,0.9632055637882214,1.0,1.0
166,3.0,0.9967373572593801,0.9966666666666667,1.0,0.9983305509181971,1.0,0.35733818693094527,50.5,25.75,11.25,0.35913782950802775,1.0,1.4110929853181076
167,4.0,1.0,1.0,1.0,1.0,1.0,0.32926041664177375,34.7,17.85,10.5,0.17515184966424302,1.0,1.0
168,5.0,1.0,1.0,1.0,1.0,1.0,0.27324805946846503,31.7,16.35,9.2,-0.4587686907397296,0.888421052631579,1.00326264274062
169,6.0,1.0,1.0,1.0,1.0,1.0,0.3819019433076896,6.5,3.75,2.55,0.0,0.4637719298245614,1.0016313213703099
170,7.0,1.0,1.0,1.0,1.0,1.0,0.3827951383758811,7.9,4.45,3.0,0.0052372097046231025,0.4332080200501254,1.00326264274062
171,8.0,1.0,1.0,1.0,1.0,0.6035889070146818,0.3992276904919994,10.6,5.8,3.9,-0.015789473684210527,0.4275,1.008108108108108
172,9.0,1.0,1.0,1.0,1.0,1.0,0.3847116978362258,6.7,3.85,2.65,-3.445602549745878e-05,0.40438596491228074,1.0212071778140293
173,10.0,1.0,1.0,1.0,1.0,0.9853181076672104,0.39458948265549626,4.8,2.9,1.85,0.0,0.32807017543859646,1.0016556291390728
174,11.0,1.0,1.0,1.0,1.0,1.0,0.394929355386601,7.0,4.0,2.45,0.010526315789473684,0.38792606516290734,1.0
175,12.0,1.0,1.0,1.0,1.0,1.0,0.3867665269068519,7.3,4.15,2.8,0.031578947368421054,0.304780701754386,1.0048939641109298
176,13.0,1.0,1.0,1.0,1.0,0.047308319738988636,0.37230489310773995,9.9,5.45,3.7,-0.042105263157894736,0.28319510898458267,1.8275862068965518
177,14.0,1.0,1.0,1.0,1.0,0.7292006525285482,0.5134432152539881,9.9,5.45,3.55,-0.0474373331036265,0.2237394476868161,2.029082774049217
178,15.0,1.0,1.0,1.0,1.0,0.4975530179445351,0.37980209567439605,7.7,4.35,2.85,-0.03684210526315789,0.27174603174603174,1.3573770491803279
179,16.0,1.0,1.0,1.0,1.0,0.2544861337683524,0.39249626896333023,9.0,5.0,3.55,0.010526315789473684,0.26434799119009644,1.0961538461538463
180,17.0,1.0,1.0,1.0,1.0,0.99836867862969,0.3978518988528596,7.9,4.45,2.75,-0.005263157894736842,0.27299251917672973,1.0147058823529411
181,18.0,1.0,1.0,1.0,1.0,1.0,0.39902654885463407,10.4,5.7,3.85,0.047152964722281816,0.2778178400546822,1.0848287112561175
182,19.0,1.0,1.0,1.0,1.0,0.022838499184339334,0.34508790503570835,9.5,5.25,3.4,-0.06842105263157895,0.23711722488038275,1.2142857142857142
183,20.0,1.0,1.0,1.0,1.0,0.9902120717781403,0.41662015432662747,9.0,5.0,3.2,-0.010577999827719873,0.28183080077816913,1.0
184,21.0,1.0,1.0,1.0,1.0,0.006525285481239762,0.2820047694389951,5.0,3.0,1.75,0.0,0.2525062656641604,1.25
185,22.0,1.0,1.0,1.0,1.0,0.0,,5.5,3.25,1.95,-0.005263157894736842,0.19012740183792814,
186,23.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.25008154168941216,5.5,3.25,2.05,0.005263157894736842,0.1893170426065163,1.5
187,24.0,1.0,1.0,1.0,1.0,0.0,,5.5,3.25,2.05,0.005263157894736842,0.1485213032581454,
188,25.0,1.0,1.0,1.0,1.0,0.0,,5.1,3.05,1.85,0.0,0.108734335839599,
189,26.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.55,0.0,0.1356140350877193,
190,27.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.3,0.0,0.12105263157894737,
191,28.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.6,-0.015789473684210527,0.10789473684210527,
192,29.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.5,0.0,0.13124060150375938,
193,30.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4,0.0,0.15578947368421053,
194,31.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.55,0.0,0.15987468671679197,
195,32.0,1.0,1.0,1.0,1.0,0.0,,5.8,3.4,2.05,0.0,0.10630971367813473,
