explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.25,0.0,0.04649122807017543,0.0,,,11.899003505706787
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.25,0.0,0.04649122807017543,0.0,,,0.858999490737915
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.02894736842105263,0.0,,,13.639003038406372
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.02894736842105263,0.0,,,0.8359963893890381
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.15,0.0,0.041666666666666664,0.0,,,11.68400263786316
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.15,0.0,0.041666666666666664,0.0,,,0.8379971981048584
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.2,0.0,0.02894736842105263,0.0,,,12.716002225875854
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.2,0.0,0.02894736842105263,0.0,,,0.8459997177124023
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.3,2.15,1.15,0.0,0.034210526315789476,0.0,,,13.768002986907959
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.3,2.15,1.15,0.0,0.034210526315789476,0.0,,,0.8450000286102295
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.15,0.0,0.034210526315789476,0.0,,,13.691000938415527
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.15,0.0,0.034210526315789476,0.0,,,0.8420009613037109
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.1,2.05,1.05,0.0,0.042105263157894736,0.0,,,13.654000997543335
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.1,2.05,1.05,0.0,0.042105263157894736,0.0,,,0.824998140335083
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.04473684210526316,0.0,,,13.581000328063965
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.04473684210526316,0.0,,,0.8299987316131592
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.8,2.4,1.35,0.0,0.025,0.0,,,14.619000434875488
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.8,2.4,1.35,0.0,0.025,0.0,,,0.8653712272644043
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.05131578947368421,0.0,,,11.801997184753418
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.05131578947368421,0.0,,,0.8529999256134033
